༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ལ་ལི་ཏ་བི་སྟཱ་ར་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྒྱ་ཆེར་རོལ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Play in Full
བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ཐམས་ཅད་ཀྱི་རྒྱུ་འཐུན་པས་ཡོངས་སུ་གྲུབ་པའི་འབྲས་བུ་བརྙེས་པ་ཡོངས་སུ་བརྗོད་པ། བྱང་ཆུབ་སེམས་དཔའི་རྣམ་པར་རོལ་པ་དང་། བདུད་ཀྱི་དཀྱིལ་འཁོར་ཐམས་ཅད་རྣམ་པར་འཇིག་པ་བསྟན་པ། དེ་བཞིན་གཤེགས་པའི་སྟོབས་དང་། མི་འཇིགས་པ་བསྡུས་པ། སངས་རྒྱས་ཀྱི་ཆོས་ཚད་མ་མཆིས་པ་ངེས་པར་བསྟན་པ། སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་སྔོན་ཆད་གསུངས་པ་མཆིས་ཏེ། འདི་ལྟ་སྟེ། བཅོམ་ལྡན་འདས་པད་མའི་བླ་མ་དང་། ཆོས་ཀྱི་ཏོག་དང་། མར་མེ་མཛད་དང་། ཡོན་ཏན་གྱི་ཏོག་དང་། ཡོན་ཏན་འབྱུང་གནས་དང་། འོད་ཟེར་ཆེན་པོ་དང་། དྲང་སྲོང་ལྷ་དང་། དཔལ་གྱི་གཟི་བརྗིད་དང་། བདེན་པའི་ཏོག་དང་། རྡོ་རྗེ་མཁྲེགས་དང་། ཐམས་ཅད་ཟིལ་གྱིས་གནོན་དང་། གསེར་མདོག་དང་། ཤིན་ཏུ་མཐོར་གཤེགས་དང་། བྱི་རུའི་རྒྱ་མཚོ་དང་། མེ་ཏོག་གི་ཏོག་དང་། གཟུགས་བཟང་དང་། སྤྱན་བཟང་དང་། དྲང་སྲོང་སྦེད་དང་། དམག་ཚོགས་ལས་རྒྱལ་དང་། མཐོ་བ་དང་། མེ་ཏོག་རྒྱས་པ་དང་། མཛོད་སྤུ་གཟི་བརྗིད་དང་། ཤིན་ཏུ་རྒྱས་དང་། འོད་ཟེར་བཟང་པོ་དང་། བཀྲ་ཤིས་ལྡན་དང་། བལྟ་ན་བཟང་དང་། སེང་གེའི་གཟི་བརྗིད་ཆེན་པོ་དང་། བློ་གྲོས་བརྟན་པས་བྱིན་དང་། སོས་ཀའི་སྤོས་དྲི་དང་། བདེན་པའི་ཆོས་གྲགས་རྒྱ་ཆེན་དང་། འོད་ལྡན་དང་། སྐར་རྒྱལ་དང་། འཇིག་རྟེན་མཛེས་དང་། འོད་རྒྱ་ཆེན་དང་། རིན་ཆེན་གྲགས་དང་། དྲག་ཤུལ་གཟི་བརྗིད་དང་། རིན་ཆེན་གཟི་བརྗིད་དང་། ཚངས་པའི་གཟི་བརྗིད་དང་། སྒྲ་སྙན་དང་། མེ་ཏོག་བཟང་པོ་དང་། རི་རབ་མེ་ཏོག་དང་། རབ་ཏུ་ཡིད་འོང་དབྱངས་དང་། དགེ་བ་ཚུལ་བཟངས་དང་། རབ་ཏུ་འཛུམ་པའི་སྤྱན་དང་། ཡོན་ཏན་ཕུང་པོ་དང་། འབྲུག་སྒྲ་དང་། ཁ་དོག་མཛེས་དང་། ཚེའི་གཟི་བརྗིད་དང་། དོམ་བག་གླང་པོའི་འགྲོས་དང་། འཇིག་རྟེན་མངོན་པར་སྨོན་དང་། དགྲ་ལས་རྒྱལ་དང་། ཡང་དག་མཆོད་དང་། རྣམ་པར་གཟིགས་དང་། གཙུག་ཏོར་ཅན་དང་། ཐམས་ཅད་སྐྱོབ་དང་། འཁོར་བ་འཇིག་དང་། གསེར་ཐུབ་དང་། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་སྲུང་གིས་ཀྱང་སྔོན་ཆད་གསུངས་པ་ལགས་ན། ||| “This teaching proclaims how he attained the result brought about by the concordant cause of all the bodhisattva activities, showing how he manifested as a bodhisattva and destroyed the legions of Māra. It explains the ten powers, the four fearlessnesses, and the other innumerable qualities of a thus-gone one, and presents the infinite teachings taught by the thus-gone ones of times past, including the blessed Padmottara, Dharmaketu, Dīpaṃkara, Guṇaketu, Mahākara, Ṛṣideva, Śrītejas, Satyaketu, Vajrasaṃhata, Sarvābhibhū, Hemavarṇa, Atyuccagāmin, Prabālasāgara, Puṣpaketu, Vararūpa, Sulocana, Ṛṣigupta, Jinavaktra, Unnata, Puṣpita, Ūrṇatejas, Puṣkara, Suraśmi, Maṅgala, Sudarśana, Mahā­siṃha­tejas, Sthita­buddhi­datta, Vasanta­gandhin, Satya­dharma­vipula­kīrti, Tiṣya, Puṣya, Lokasundara, Vistīrṇabheda, Ratnakīrti, Ugratejas, Brahmatejas, Sughoṣa, Supuṣpa, Sumanojñaghoṣa, Suceṣṭarūpa, Prahasitanetra, Guṇarāśi, Meghasvara, Sundaravarṇa, Āyustejas, Salīlagajagāmin, Lokābhilāṣita, Jitaśatru, Sampūjita, Vipaśyin, Śikhin, Viśvabhū, Krakucchanda, Kanakamuni, and the Thus-Gone One, the Worthy One, the perfectly and completely awakened Kāśyapa.
དེ་བཅོམ་ལྡན་འདས་ཀྱིས་ཀྱང་སྐྱེ་བོ་མང་པོ་ལ་སྨན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བ་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེའི་དོན་དང་། ལྷ་དང་མི་རྣམས་ཀྱི་དོན་དུ་འགྱུར་བ་དང་། སྨན་པ་དང་བདེ་བར་འགྱུར་བ་དང་། ཐེག་པ་ཆེན་པོ་འདིའང་བརྗོད་པ་དང་། ཕས་ཀྱི་རྒོལ་བ་ཐམས་ཅད་ཚར་གཅད་པ་དང་། བདུད་ཐམས་ཅད་ཟིལ་གྱིས་མནན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་བསྟན་པ་དང་། བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་ཐམས་ཅད་ཀྱི་བརྩོན་འགྲུས་བརྩམ་པ་བསྐྱེད་པ་དང་། དམ་པའི་ཆོས་ཡོངས་སུ་གཟུང་བ་དང་། དཀོན་མཆོག་གསུམ་གྱི་གདུང་མི་གཅད་པ་དང་། སངས་རྒྱས་ཀྱི་མཛད་པ་ཡོངས་སུ་རྫོགས་པ་ཡང་ཀུན་ཏུ་བསྟན་པའི་སླད་དུ་ད་བསྟན་དུ་གསོལ་ཞེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ལྷའི་བུ་དེ་དག་དང་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བའི་ཕྱིར་ཅང་མི་གསུང་བས་གནང་ངོ་། །དེ་ནས་ལྷའི་བུ་དེ་དག་ཀྱང་། ||| “Blessed One, please teach this now to benefit the multitude of beings. Teach it to bring them happiness. Teach it out of compassion for the world, to benefit a great multitude of beings, gods and humans alike. Teach it to be our doctor and to bring us happiness. Teach it to propagate this Great Vehicle. Please teach it to defeat our opponents and overpower all demonic forces; to instruct all the bodhisattvas and inspire all those who follow the Bodhisattva Vehicle to arouse diligence; to embrace the true Dharma and ensure the continuity of the Three Jewels. Please teach it to illuminate all the enlightened activities of the Buddha.” Out of compassion for these gods, and indeed for the entire world including the gods, the Blessed One remained silent, thereby offering his consent.
བཅོམ་ལྡན་འདས་ཀྱིས་ཅང་མི་གསུང་བས་གནང་བར་རིག་ནས་ཚིམ་ཞིང་མགུ་ལ་ཡི་རངས་ཤིང་རབ་ཏུ་དགའ་སྟེ། ||| Seeing that this silence indicated the Blessed One’s consent, the gods were overjoyed and content.
དགའ་བ་དང་ཡིད་བདེ་བ་སྐྱེས་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ནས་ཙན་དན་གྱི་ཕྱེ་མ་དང་། ཨ་ག་རུའི་ཕྱེ་མ་དང་། མེ་ཏོག་མན་དཱ་ར་བདག་གིས་ཀྱང་མངོན་པར་གཏོར་ཏེ། ||| With happiness and delight, they prostrated at his feet and circled him three times, scattering sandalwood powder, aloeswood powder, and māndārava flowers.
དེ་ཉིད་དུ་མི་སྣང་བར་གྱུར་ཏོ། ||| Then they vanished.
།དེ་ནས་བཅོམ་ལྡན་འདས་ནུབ་མོ་དེའི་ནམ་ནངས་པ་དང་། སྨྱིག་མའི་ལྡུམ་བུའི་འཁོར་གྱི་ཁྱམས་ག་ལ་བ་དེར་གཤེགས་ཏེ་བྱོན་ནས། ||| At dawn the next day, the Blessed One proceeded to a circular bamboo grove.
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཅིང་ཉན་ཐོས་ཀྱི་དགེ་འདུན་གྱིས་མདུན་གྱིས་བལྟས་ཏེ། གདན་བཤམས་པ་ལ་བཞུགས་སོ། །བཞུགས་ནས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་རྣམས་ལ་བཀའ་སྩལ་པ། ||| Surrounded by the assembly of bodhisattvas, and with the saṅgha of listeners gathered before him, he sat down on the seat they had prepared and addressed the monks:
དགེ་སློང་དག་མདང་འདིར་ངའི་དྲུང་དུ་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་དབང་ཕྱུག་ཅེས་བྱ་བ་དང་། དབང་ཕྱུག་ཆེན་པོ་དང་དགའ་བོ་དང་། ཤིན་ཏུ་དགའ་བོ་དང་། ཙན་དན་དང་། མཆོད་བྱས་དང་། རབ་ཞི་དང་། དུལ་བ་རབ་ཞི་དབང་ཕྱུག་ལ་སོགས་པ་དེ་དག་དང་གནས་གཙང་མའི་རིས་ཀྱི་ལྷའི་བུ་གཞན་ཤིན་ཏུ་མང་པོ་ཞེས་བྱ་བ་ནས། ||| “Monks, this evening a group of gods from the pure realms came before me. Among them were Īśvara, Maheśvara, Nanda, Sunanda, Candana, Mahita, Praśānta, Vinīteśvara, and many others.”
དེ་ཉིད་དུ་མི་སྣང་བར་གྱུར་ཅེས་བྱ་བའི་བར་དུ་སྔ་མ་བཞིན་དུ་གསུངས་སོ། ||| The Blessed One then continued to recount the events of the previous evening, up to the point where the gods disappeared.
།དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་དང་། ཉན་ཐོས་ཆེན་པོ་དེ་དག་གིས་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་དེ། བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Bowing before the Blessed One with palms joined, the bodhisattvas and great listeners then made the following request:
།བཅོམ་ལྡན་འདས་རྒྱ་ཆེར་རོལ་པའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེགས་པར་བསྟན་དུ་གསོལ། ||| “Blessed One! Please grant us the teaching entitled The Play in Full.
དེ་ནི་སྐྱེ་བོ་མང་པོ་ལ་སྨན་པ་དང་། སྐྱེ་བོ་མང་པོ་ལ་བདེ་བ་དང་། འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བར་མཛད་པ་དང་། སྐྱེ་བོ་ཕལ་པོ་ཆེ་དང་། ལྷ་དང་མི་རྣམས་དང་། ད་ལྟར་དང་མ་འོངས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཀྱི་དོན་དང་། སྨན་པ་དང་བདེ་བར་འགྱུར་རོ་ཞེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དེ་དག་དང་ཉན་ཐོས་ཆེན་པོ་དེ་དག་དང་། ལྷ་དང་མི་དང་ལྷ་མ་ཡིན་དང་བཅས་པའི་འཇིག་རྟེན་ལ་ཐུགས་བརྩེ་བའི་ཕྱིར་ཅང་མི་གསུང་བས་གནང་ངོ་། ||| Please teach this now to benefit the multitude of beings and bring them happiness. Please teach it out of compassion for the world and to benefit the myriad of beings, gods and humans alike. Please teach it to benefit the bodhisattva great beings of the present as well as the future. Please teach it to bring benefit and happiness.” Out of compassion for the great bodhisattvas, for the great listeners, for gods, humans, and demigods, and indeed for the entire world, the Blessed One remained silent, thereby offering his consent.
།དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| He then addressed the assembly:
དགེ་སློང་དག་ཀྱེ་ང་ནི་མདང་སུམ་འདིར། །གནས་པ་བཟང་པོས་བདེ་བར་གནས་གྱུར་ཅིང་། །ཉོན་མོངས་མེད་པར་རབ་ཏུ་གནས་གྱུར་ལ། །རྩེ་གཅིག་སེམས་སུ་མཉམ་པར་བཞག་དྲུང་དུ། ||| “Monks, last night as I rested here, Comfortable and free from afflictions, And dwelling evenly with one-pointed concentration, A group of gods arrived before me.
།རྫུ་འཕྲུལ་ཆེ་ཞིང་ཁ་དོག་བཟང་ལྡན་ལ། ||| “With great miraculous powers and brilliant colors,
།དྲི་མེད་དཔལ་འབར་ལྷ་ཡི་བུ་ལྷགས་ནས། ||| They were pristine, blazing with magnificence.
།དཔལ་གྱིས་རྒྱལ་བྱེད་ཚལ་འདི་སྣང་བྱས་ཏེ། ||| Illuminating Jeta Grove with their splendor,
།དགའ་བས་ང་ཡི་གན་དུ་མངོན་པར་ལྷགས། ||| They joyfully approached me.
།དབང་ཕྱུག་དབང་ཕྱུག་ཆེན་པོ་ཙན་དན་དང་། །དགའ་བོ་རབ་ཏུ་སེམས་ཞི་མཆོད་བྱས་དང་། །ཤིན་ཏུ་དགའ་བོ་ཞི་བ་ལྷ་ཡི་བུ། །བྱེ་བ་ལྷ་མང་དེ་དང་དེ་དག་རྣམས། ||| “There were millions of gods, Including Maheśvara, Candana, Īśvara, Nanda, Praśāntacitta, Mahita, Sunanda, And a god called Śānta.
།ང་ཡི་ཞབས་ལ་ཕྱག་འཚལ་བསྐོར་བྱས་ཏེ། ||| “They prostrated at my feet, circumambulated me,
