འཕགས་པ་འཇིག་རྟེན་འཛིན་གྱིས་ཡོངས་སུ་དྲིས་པ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Sūtra The Inquiry of Lokadhara
འཇིག་རྟེན་འཛིན་གཞན་ཡང་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཚོལ་བར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who understand four subjects will pursue the power of mindfulness.
བཞི་གང་ཞེ་ན། ||| What are these four?
བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་རྫོགས་པར་བྱ་བའི་ཕྱིར་རྟག་ཏུ་དྲན་པ་སེམས་ལ་འཇོག་པ་དང་། དྲན་པའི་དབང་པོ་རྣོ་བས་སྔོན་གྱི་གནས་བསྒོམ་པ་ཤེས་པའི་ཤེས་རབ་རྣམ་པར་དག་པ་དང་ལྡན་པ་དང་། དྲན་པ་རྒྱུན་མི་འཆད་པར་མྱུར་དུ་འཐོབ་པར་བྱ་བ་དང་། ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཀྱི་རྒྱུ་བསྐྱེད་པ་དང་བཞིའོ། ། ||| Always applying mindfulness with respect to the mind in order to perfect the factors of awakening, having pure insight that employs an acute power of mindfulness to know what was cultivated in previous existences, swiftly attaining unbroken mindfulness, and generating the cause of omniscient wisdom.
འཇིག་རྟེན་འཛིན་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཚོལ་བར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who understand four subjects will pursue the power of mindfulness.
བཞི་གང་ཞེ་ན། ||| What are these four?
བསམ་པའི་ཐབས་ཡོངས་སུ་རྫོགས་པ་བསྒོམ་པ་དང་། ཡང་དག་པའི་ཡེ་ཤེས་དང་ཤེས་རབ་བསྒོམ་པ་དང་། སངས་རྒྱས་ཀྱི་ཆོས་ཐོབ་པར་བྱ་བའི་ཕྱིར་ཤིན་ཏུ་བརྩོན་འགྲུས་བསྐྱེད་པ་དང་། དྲན་པའི་སྟོབས་རྒྱུན་མི་འཆད་པ་ཐོབ་པར་བྱ་བའི་ཕྱིར་དྲན་པ་མི་བརྗེད་པའོ། ། ||| Cultivating the entirety of contemplative methods, cultivating genuine wisdom and insight, generating tremendous diligence in order to attain the qualities of buddhahood, and not forgetting mindfulness in order to attain the strength of unbroken mindfulness.
འཇིག་རྟེན་འཛིན་འདི་དག་ནི་དོན་རྣམ་པ་བཞི་མཐོང་བའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཚོལ་བ་ཡིན་ནོ། ། ||| Lokadhara, bodhisattva great beings who understand these four subjects will pursue the power of mindfulness.”
འཇིག་རྟེན་འཛིན་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཐོབ་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have four qualities will attain the power of mindfulness.
བཞི་གང་ཞེ་ན། ||| What are these four?
ཤེས་རབ་ཤིན་ཏུ་བྱང་བ་དྲན་པའི་ཕྱིར་རྟག་ཏུ་རྒྱུན་མི་འཆད་པའི་བརྩོན་འགྲུས་དང་། ཆོས་རྣམས་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ཐོབ་པར་བྱ་བའི་ཕྱིར་རྩེ་གཅིག་པའི་སེམས་ཀྱིས་རྟག་ཏུ་རྒྱུན་མི་འཆད་པ་དང་། ཆོས་ཐམས་ཅད་ཡང་དག་པར་དྲན་པར་བྱ་བའི་ཕྱིར་རྟག་ཏུ་ལེ་ལོ་མེད་པ་དང་། ཡང་དག་པའི་ཡིད་ལ་བྱ་བའི་ཕྱིར་རྟག་ཏུ་དབང་པོ་རྣམས་སྲུང་བ་དང་བཞིའོ། ། ||| Constant and unbroken diligence aimed at recollecting the highest insight, constant and unbroken focus aimed at achieving the true characteristics of phenomena, constant vigilance aimed at accurately recalling all phenomena, and constant guarding of one’s faculties in order to obtain correct mental engagement.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཐོབ་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will attain the power of mindfulness.
བཞི་གང་ཞེ་ན། ||| What are these four?
ཚུལ་ཁྲིམས་རྣམ་པར་དག་པ་ལ་གནས་པ་དང་། སྤྱོད་ལམ་རྣམ་པར་དག་པ་དང་ལྡན་པ་དང་། སྤྱོད་པའི་གནས་ཀུན་ཏུ་སེམས་ཀྱི་སྒྲིབ་པ་ལྔ་ཡོངས་སུ་བསལ་ཏེ་འཇིག་རྟེན་གྱི་ཆོས་ལ་མི་ཆགས་པ་དང་། ལས་ཀྱི་སྒྲིབ་པ་དང་ཉོན་མོངས་པའི་སྒྲིབ་པ་ཡོངས་སུ་སྤངས་པ་དང་བཞིའོ། ། ||| Maintaining pure discipline, having pure conduct, dispelling the five mental obscurations concerning all forms of conduct while being unattached to worldly phenomena, and discarding the obscurations of action and affliction.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཐོབ་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will attain the power of mindfulness.
བཞི་གང་ཞེ་ན། ||| What are these four?
མི་འཁྲུགས་པའི་སེམས་ཀྱིས་དགེ་བའི་ཆོས་ཚོལ་བ་དང་། སེམས་ཀྱི་མཚན་ཉིད་གཅིག་ལ་གོམས་པར་བསྒོམས་པ་དང་། ཆོས་རྣམས་ཀྱི་རྣམ་གྲངས་ལ་ཡང་དག་པར་འཇུག་ཅིང་ཤིན་ཏུ་མཁས་པ་དང་། འདུ་འཛི་ལ་མི་མོས་པས་ཁྱིམ་ན་གནས་པ་དང་རབ་ཏུ་བྱུང་བའི་གང་ཟག་སྤོང་བ་དང་བཞིའོ། ། ||| Pursuing virtuous phenomena with an unperturbed mind, cultivating familiarity with the mind’s sole characteristic, having understanding and knowledge of Dharma discourses, and avoiding both householders and renunciates by being uninterested in socializing.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཐོབ་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will attain the power of mindfulness.
བཞི་གང་ཞེ་ན། ||| What are these four?
དགེ་བའི་བཤེས་གཉེན་ལ་བསྟེན་པ་དང་། རྟག་ཏུ་ཆོས་ཟབ་མོ་ལ་ནན་ཏན་བྱེད་པ་དང་། རྟག་ཏུ་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའི་གན་དུ་འགྲོ་བ་ལ་དགའ་བ་དང་། གསོལ་བ་དང་ཞུ་བ་ལ་དགའ་ཞིང་ཤེས་རབ་བསྒོམ་པ་ལ་མོས་པའོ། ། ||| Training under a spiritual friend, constantly applying oneself to the profound Dharma, always being happy to approach buddhas and bodhisattvas, and delighting in supplication and inquiry while being inspired to cultivate insight.
འདི་དག་ནི་ཆོས་རྣམ་པ་འདི་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་དྲན་པའི་མཐུ་ཐོབ་པ་ཡིན་ནོ། ། ||| Bodhisattva great beings who have these four qualities will attain the power of mindfulness.”
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་ཐམས་ཅད་ཀྱི་རྣམ་གྲངས་རྣམ་པར་འབྱེད་པ་ལ་མཁས་ཤིང་ཤེས་རབ་ལ་ནན་ཏན་བྱེད་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will progress toward insight by knowing how to discern the categories of all phenomena.
བཞི་གང་ཞེ་ན། ||| What are these four?
ཆོས་ཐམས་ཅད་ཀྱི་ཡང་དག་པའི་མཚན་ཉིད་ལ་ཤིན་ཏུ་མཁས་པ་དང་། ཆོས་ཐམས་ཅད་ཀྱི་རྒྱུར་གྱུར་པ་རྣམ་པར་འབྱེད་པ་ལ་ཤིན་ཏུ་མཁས་པ་དང་། ཆོས་ཐམས་ཅད་ཀྱི་ངེས་པའི་དོན་ལ་མཁས་པ་དང་། ཆོས་ཐམས་ཅད་ཀྱི་སྨྲ་བ་དང་ཚིག་གི་རྣམ་གྲངས་ལ་མཁས་པ་དང་བཞིའོ། ། ||| Being very knowledgeable with regard to the true characteristics of all phenomena, being very knowledgeable with regard to discerning the causes of all phenomena, being knowledgeable with regard to the definitive meaning of all phenomena, and being knowledgeable with regard to the classifications of words and speech related to all phenomena.
འཇིག་རྟེན་འཛིན་གཞན་ཡང་ཆོས་རྣམ་པ་བཞི་དང་ལྡན་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་རྣམས་ཆོས་ཐམས་ཅད་ཀྱི་རྣམ་གྲངས་རྣམ་པར་འབྱེད་པ་ལ་མཁས་ཤིང་ཤེས་རབ་ལ་ནན་ཏན་བྱེད་པར་འགྱུར་རོ། ། ||| “Lokadhara, bodhisattva great beings who have an alternate set of four qualities will progress toward insight by knowing how to discern the categories of all phenomena.
