༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སརྦ་དྷརྨ་སྭ་བྷཱ་བ་ས་མ་ཏཱ་བི་པཉྩི་ཏ་ས་མཱ་དྷི་རཱ་ཛ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་མཉམ་པ་ཉིད་རྣམ་པར་སྤྲོས་པ་ཏིང་ངེ་འཛིན་གྱི་རྒྱལ་པོ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Mahāyāna Sūtra The King of Samādhis, the Revealed Equality of the Nature of All Phenomena
འདོད་པའི་ས་དང་གཟུགས་ཀྱི་ས་དང་གཟུགས་མེད་པའི་ས་དང་ཉོན་མོངས་པའི་ས་དང་མིང་གི་ས་དང་སྒྲའི་ས་ལས་འདས་ཤིང་ཡི་གེ་དང་ཆོས་ཀྱི་ཚུལ་ལ་མཁས་པ། ཡེ་ཤེས་མི་ཟད་པར་བསྒོམས་པ། ||| They have transcended the level of desire, the level of form, the level of formlessness, the level of the kleśas, the level of names, and the level of language. They are skilled in the way of letters and words.
བརྗོད་དུ་མེད་པའི་ཆོས་རྟོགས་པ། ||| They know freedom from letters. They have mastered the inexpressible Dharma.
ཡི་གེ་ཤེས་པ། ཡི་གེ་ལ་མཁས་པ། ||| They know letters. They are skilled in letters.
ཡི་གེ་དང་ཚིག་རབ་ཏུ་དབྱེ་བ་ཤེས་པ་ལ་མཁས་པ། ||| They are skilled in the knowledge of the categories of letters and words.
ཡི་གེ་དང་ཚིག་རབ་ཏུ་དབྱེ་བ་རྒྱས་པ་ཤེས་པ་ལ་མཁས་པ། ||| They are skilled in the knowledge of the detailed categories of letters and words.
ཆོས་ཐམས་ཅད་རབ་ཏུ་དབྱེ་བ་ཤེས་པ་ལ་མཁས་པ། ||| They are skilled in the knowledge of the categories of all the words of the Dharma.
ཆོས་ཐམས་ཅད་རབ་ཏུ་དབྱེ་བ་རྒྱས་པ་ཤེས་པ་ལ་མཁས་པ། ||| They are skilled in the knowledge of the detailed categories of all the words of the Dharma.
ཆོས་ཐམས་ཅད་རྣམ་པར་དགོད་པ་ལ་མཁས་པ་ཡིན་ཏེ། ||| They are skilled in the knowledge of the presentation of all the Dharma.
གཏན་ལ་དབབ་པའི་བློ་དང་ལྡན་ཞིང་། བདུད་སྡིག་ཅན་དང་བདུད་ཀྱི་རིས་ཀྱི་ལྷ་རྣམས་ཀྱིས་ཟིལ་གྱིས་མི་ནོན་ཏོ། ||| They are endowed with the certainty of understanding, so that all the evil māras and all the devas in their entourages cannot overcome them.”
།ཆོས་ཀྱི་རྣམ་གྲངས་འདི་བཤད་པའི་ཚེ་ལྷ་དང་མིའི་སྐྱེ་དགུ་སྔོན་ཡོངས་སུ་སྦྱང་བ་བྱས་པ་ཁྲག་ཁྲིག་ཕྲག་དགུ་བཅུ་རྩ་བརྒྱད་ཀྱིས་བྱེ་བ་བརྒྱ་སྟོང་འཁྱིལ་པའི་གཟུངས་དང་སྒྲིབ་པ་མེད་པའི་མཐའ་དང་ཆོས་རྣམ་པར་མཐོང་བའི་བཟོད་པ་སོ་སོར་ཐོབ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེ་དག་ཐམས་ཅད་ལ་བསྐལ་པ་གྲངས་མེད་པ་བརྒྱ་སྟོང་ཕྲག་བཞི་བཅུ་རྩ་བརྒྱད་ན། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་སྟེ་ཐམས་ཅད་ཀྱང་མིང་ནི་ཐ་དད། ||| At that time, when this Dharma teaching was given, ninety-eight times a hundred thousand million devas and human beings who had created the karma in previous lifetimes, had accumulated a trillion retentions, were unobscured, and had insight into the Dharma, all attained patience. The Bhagavān prophesied to them all that after four million, eight hundred thousand countless eons they would attain the highest, complete enlightenment of perfect buddhahood.
ཚེའི་ཚད་ནི་གཅིག་པར་སངས་རྒྱས་ཀྱི་ཞིང་སོ་སོར་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱའོ་ཞེས་ལུང་བསྟན་ཏོ། ||| He prophesied to each of them their separate names, their identical lifespans, and the individual buddha realms where they would attain the highest, complete enlightenment of perfect buddhahood.
།དེ་ལ་འདི་སྐད་ཅེས་བྱ་སྟེ། ||| It was said:
བྱང་ཆུབ་སེམས་དཔའ་བློ་དང་ལྡན་པ་གང་། ||| “The wise bodhisattvas who seek to attain
།བླ་ན་མེད་པའི་བྱང་ཆུབ་རབ་ཚོལ་ཞིང་། ||| The highest, supreme enlightenment,
།ཆོས་དང་དེ་བཞིན་དོན་ལ་མཁས་པ་དེ། ||| Who are skilled in meaning and the Dharma,
།ཆོས་ཀྱི་ངོ་བོ་ཉིད་ལ་སྤྱོད་པ་ཡིན། ||| Practice the nature of phenomena. {1}
།ཡང་དག་མ་ཡིན་པ་ཡི་ཚིག་མི་སྨྲ། ||| “They say nothing that is untrue
།སངས་རྒྱས་ཡོན་ཏན་བྱེ་བྲག་ཅི་འདྲ་བ། །རྒྱལ་བ་རྣམས་ཀྱི་ཆོས་ནི་དེ་ཡིན་ཏེ། ||| About the unique qualities of the buddhas.
།དཔའ་བོ་ཐེ་ཙོམ་བྲལ་བས་ཤིན་ཏུ་རིག །ཆོས་ཀུན་དོན་གཅིག་པར་ནི་རབ་ཤེས་ཏེ། ||| The heroes, free of all doubt, Know the nature of the jinas. {2} “They know that all phenomena have but a single meaning,
།མགོ་གཅིག་ཏུ་ནི་སྟོང་པ་ཉིད་ཡིན་པས། ||| And that is solely emptiness.
།དེ་དག་ལ་ནི་ཐ་དད་གྱུར་པ་མེད། ||| They do not have different meanings.
།དོན་གཅིག་ལ་ནི་ཤིན་ཏུ་བསླབས་པ་ཡིན། ||| They become adept in that single meaning. {3}
།རྟོག་པ་མེད་ཅིང་རྣམ་རྟོག་མེད་པ་དང་། །དམིགས་པ་མེད་པར་བློ་གྲོས་ལྡན་པས་ཤེས། ||| “The wise know that they are without thought, Are devoid of thought, and that there is no object. They have eliminated without remainder
།ཟད་པ་དང་ནི་མི་ཟད་འདུ་ཤེས་ཀྱང་། །མ་ལུས་པར་ནི་ཐམས་ཅད་རབ་ཏུ་སྤངས། ||| Every conception of cessation and noncessation. {4}
།དེ་ནི་ཆོས་སྐུ་མི་ཡི་སེང་གེ་ལ། །སྟོབས་བཅུ་ལྡན་པ་གཟུགས་སུ་མི་ལྟ་ཞིང་། ||| “They do not see the one with ten strengths as form, But see the lion of men as the dharmakāya. Neither do they conceive of attributes
།དེ་ནི་ཕྱིན་ཅི་ལོག་ཀུན་རབ་སྤངས་པས། ||| Because they have eliminated all error. {5}
།མཚན་རྣམས་སུ་ཡང་ལྟ་བར་ཡོང་མི་འགྱུར། །ཆོས་རྣམས་འདི་དག་བསམ་མི་ཁྱབ། ||| “The qualities are inconceivable, beyond thought.
།བསམ་དང་བྲལ་ཞིང་རང་བཞིན་ཞི། ||| They have the nature of complete peace.
།དེ་ལྟ་བུར་ནི་རབ་ཤེས་ནས། ||| With this knowledge they thus see
།རྐང་གཉིས་གཙོ་བོ་སངས་རྒྱས་མཐོང་། ||| The buddhas as the supreme among humans. {6}
།ཇི་ལྟར་བདག་གི་འདུ་ཤེས་རིག །དེ་བཞིན་ཀུན་ཏུ་བློ་ཡང་གཏོང་། ||| “Just as they know their own conceptions to be, Thus they direct their understanding of everything.
།ཆོས་ཀུན་དེ་ཡི་རང་བཞིན་ཏེ། ||| All phenomena have that nature,
།རྣམ་པར་དག་པ་ནམ་མཁའ་བཞིན། ||| Which is as completely pure as space. {7}
།ཡིད་ལ་ནམས་ཀྱང་འབྱུང་བ་མེད། ||| “Nothing arises to their conceptual mind.
།ཆོས་རྣམས་ཐམས་ཅད་ཤེས་པས་ན། ||| They know emancipation from all phenomena.
།ཁམས་གསུམ་ལས་ནི་རྣམ་པར་གྲོལ། ||| They are liberated from the three realms
།དེ་ལ་སྨོན་ལམ་འདེབས་པ་མེད། ||| And they have no aspiration for them. {8}
།ཡང་དག་ཇི་བཞིན་དུ་ནི་མཐོང་གྱུར་ཅིང་། ||| “They are those who see correctly and do not say
།མ་ལོག་ཚིག་སྨྲ་རྣམ་པ་གཞན་མི་སྨྲ། ||| Anything to the contrary or any untrue words.
།དེ་ཡི་ཚིག་དང་བརྗོད་པ་ཐམས་ཅད་ཀྱང་། ||| All the words that they speak
།རྒྱལ་བ་དག་གི་མཐུ་ཡིས་འབྱུང་བར་འགྱུར། ||| Come forth through the power of the jinas. {9}
།འདོད་པའི་ས་དང་ཉོན་མོངས་ས་རྣམས་དང་། །གཟུགས་དང་གཟུགས་མེད་ལས་ཀྱང་ཤིན་ཏུ་འདའ། ||| “They transcend the level of desire, And the levels of kleśas, form, and formlessness.
།ཆོས་རྣམས་ལ་ནི་ཡིད་ཀྱང་མ་ཆགས་ཤིང་། ||| Their minds have no attachment to phenomena.
།རབ་ཏུ་དགའ་བས་འགྲོ་ལ་ཕན་པར་སྤྱོད། ||| They practice with joy, benefiting beings. {10}
།མིང་གི་ས་ལས་འདས་ཤིང་སྒྲ་ཡང་ཤེས། ||| “They have transcended the level of words;
།ངོ་བོ་ཉིད་ཀྱིས་གསོག་ཏུ་གྱུར་པ་སྟེ། ||| Their knowledge of language is obtained from its nature.
།ཇི་སྲིད་ཙམ་དུ་ཡུན་རིང་བརྗོད་ན་ཡང་། ||| For however long they speak
།དེ་ལ་གནས་པར་བྱེད་པ་ཡོད་མ་ཡིན། ||| They know those words have no basis. {11}
།འདུ་ཤེས་རབ་ཏུ་རྒྱུ་བ་མེད། ||| “There is no activity of conceptualization;
།ལྟ་བ་ལོག་པ་ཀུན་ནས་ཟད། ||| Incorrect views have completely ceased.
།བློ་ཡང་ཤིན་ཏུ་གཏན་ལ་ཕབ། ||| Their understanding is completely assured.
།བརྟན་པ་ནམ་མཁའ་འདྲ་བར་སྤྱོད། ||| It has a stability like that of space. {12}
།གལ་ཏེ་བདུད་བྱེ་ཁྲག་ཁྲིག་རྣམས། ||| “Even though quintillions of māras
།དེ་ཡི་སེམས་དཀྲུགས་ཕྱིར་འོངས་ཀྱང་། ||| Come to disturb their mind,
།བདུད་རྣམས་ཐམས་ཅད་ཟིལ་མནན་ཏེ། ||| They overcome all the māras
།དེ་ཡི་དབང་དུ་འགྲོ་མི་འགྱུར། ||| And do not fall under their power. {13}
།བདུད་ཀྱི་རྒྱ་མོ་རྣམས་སྤངས་ཏེ། ||| “They have rejected the net of the māras.
།ཚུལ་ཁྲིམས་ཡོངས་དག་གདུང་བ་མེད། ||| They have pure, untroubled conduct.
།བསམ་གཏན་དག་གི་བདེ་ལ་མོས། ||| They aspire to the bliss of dhyāna
