འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཅུ་པ་སྟེ་ཀུན་ནས་སྒོའི་ལེའུ་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ས་མན་ཏ་མུ་ཁ་པ་རི་བརྟ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra The Exposition on the Universal Gateway
རབ་ཏུ་དགའ་ཞིང་། དགའ་བ་དང་། ཡིད་བདེ་བ་སྐྱེས་ནས་དེ་ཉིད་དུ་མི་སྣང་བར་གྱུར་ཏོ། ། ||| He became joyful, delighted, and elated, and instantly disappeared.
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་ཅི་ལས་དགོངས་ཏེ་དེ་སྐད་དུ་ང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་བྱིན་གྱིས་རློབ་པར་མི་བྱེད་དོ་ཞེས་བདུད་སྡིག་ཅན་ལ་བཀའ་སྩལ། ||| Then Prince Mañjuśrī spoke to the Blessed One, “Blessed One, with what intention did you tell the evil Māra that you would not bless this Dharma teaching?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། འཇམ་དཔལ་ཆོས་ཐམས་ཅད་ནི་བྱིན་གྱི་རླབས་མེད་པས་བྱིན་གྱིས་བརླབས་པ་ཡིན་ཏེ། ||| The Blessed One responded, “Mañjuśrī, since no phenomenon is blessed, all phenomena are blessed.
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡང་བྱིན་གྱི་རླབས་མེད་པས་བྱིན་གྱིས་བརླབས་པ་ཡིན་པས། ||| Since this Dharma teaching is not blessed either, it is blessed.
འཇམ་དཔལ་དེའི་ཕྱིར་ངས་བདུད་སྡིག་ཅན་ལ་འདི་སྐད་དུ་ང་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལ་བྱིན་གྱིས་རློབ་པར་མི་བྱེད་དོ་ཞེས་སྨྲས་སོ། ། ||| Mañjuśrī, that is why I told the evil Māra that I would not bless this Dharma teaching.
འཇམ་དཔལ་བདེན་པ་དང་བདེན་པའི་ཚིག་གང་གིས་ཆོས་ཐམས་ཅད་བྱིན་གྱི་རླབས་མེད་པས་བྱིན་གྱིས་བརླབས་པ་དང་། ||| Mañjuśrī, by the power of truth and the truth of these words, since no phenomenon is blessed, they are all blessed.
ཐ་དད་དུ་དབྱེར་མེད་པ་དང་། བརྗོད་དུ་མེད་པ་དང་། མཚན་ཉིད་མེད་པ་དང་། བསྙད་དུ་མེད་པ་དང་། སྨྲར་མེད་པ་དང་། གཉིས་སུ་མེད་པ་དང་། གཉིས་དང་བྲལ་བ་དང་། ཡང་དག་པའི་མཐའ་དང་མཉམ་པ་དང་། ||| They are beyond distinction, inexpressible, without characteristics, inexplicable, unutterable, nondual, without duality, and identical with the limit of reality.
དེ་བཞིན་ཉིད་དུ་ཞུགས་པ་དང་། ཆོས་ཀྱི་དབྱིངས་ཀྱི་མཚན་ཉིད་ཡིན་པའི་བདེན་པ་དང་བདེན་པའི་ཚིག་དེས་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་འཛམ་བུའི་གླིང་ན་རབ་ཏུ་སྤྱོད་པར་གྱུར་ཅིག ། ||| They are steeped in suchness and are of the nature of the realm of phenomena. By the power of this truth and these true words, may this Dharma teaching spread throughout the world!”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བདེན་པའི་བྱིན་གྱིས་བརླབས་དེ་མཛད་ནས་ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་ལ་བཀའ་སྩལ་པ། ཀུན་དགའ་བོ་ཆོས་ཀྱི་ཕུང་པོ་བརྒྱད་ཁྲི་བཞི་སྟོང་གང་ཡིན་པ་དང་། ཆོས་ཀྱི་རྣམ་གྲངས་འདི་གང་ཡིན་པ་དེ་དག་ནི་མཉམ་པའི་ཕྱིར་ཁྱོད་ཀྱིས་ཀུན་ནས་སྒོའི་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཟུང་ཤིག །ཆོངས་ཤིག །ལྷོགས་ཤིག །ཀུན་ཆུབ་པར་གྱིས་ཤིག །གཞན་དག་ལ་ཡང་རྒྱ་ཆེར་ཡང་དག་པར་རབ་ཏུ་སྟོན་ཅིག ། ||| Then, having performed this truth blessing, the Blessed One addressed the venerable Ānanda, “Ānanda, this Dharma teaching and all the eighty-four thousand sections of Dharma are the same, so you must therefore retain this teaching of The Universal Gateway. You must hold it, read it, master it, and teach it extensively and authentically to others.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
ཀུན་དགའ་བོ་དེ་བཞིན་གཤེགས་པ་ནི་ཀུན་ནས་སྒོའི་ཆོས་ཀྱི་དབྱིངས་འདི་ལེགས་པར་ཐུགས་སུ་ཆུད་ནས་སེམས་ཅན་རྣམས་ལ་ཆོས་ཀྱི་ཕུང་པོ་བརྒྱད་ཁྲི་བཞི་སྟོང་སྟོན་པར་མཛད་པའི་ཕྱིར་རོ། ། ||| Ānanda, it is because the thus-gone ones teach the eighty-four thousand sections of the Dharma to beings once they have understood this realm of Dharma of The Universal Gateway.
ཀུན་དགའ་བོ་དེ་ལྟ་བས་ན་ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ལེགས་པར་བསྲུང་བ་དང་། ལེགས་པར་གཟུང་བ་དང་། ལེགས་པར་ཀུན་ཆུབ་པར་གྱིས་ཤིག ། ||| Ānanda, for that reason you must guard, retain, and master this Dharma teaching.”
བཅོམ་ལྡན་འདས་ཀྱིས་དེ་སྐད་ཅེས་བཀའ་སྩལ་ནས། བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དྲི་མ་མེད་པའི་སྙིང་པོ་དང་། འཇམ་དཔལ་གཞོན་ནུར་གྱུར་པ་དང་། ཚེ་དང་ལྡན་པ་ཀུན་དགའ་བོ་དང་། ལྷ་དང་། མི་དང་། ལྷ་མ་ཡིན་དང་། དྲི་ཟར་བཅས་པའི་འཇིག་རྟེན་ཡི་རངས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱིས་གསུངས་པ་ལ་མངོན་པར་བསྟོད་དོ།། །། ||| When the Blessed One had said this, the bodhisattva great being Amalagarbha, Prince Mañjuśrī, Venerable Ānanda, and the whole world with its gods, humans, asuras, and gandharvas rejoiced and praised the Blessed One’s words.
འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས། ཀུན་ནས་སྒོའི་ལེའུ་ཞེས་བྱ་བ་སྟེ་ལེའུ་བཅུ་པ་རྫོགས་སོ།། །། ||| This concludes The Exposition on the Universal Gateway, the tenth of the one hundred thousand sections of the Dharma discourse known as The Noble Great Heap of Jewels.
རྒྱ་གར་གྱི་མཁན་པོ་ཛི་ན་མི་ཏྲ་དང་། སུ་རེན་དྲ་བོ་དྷི་དང་། ཞུ་ཆེན་གྱི་ལོ་ཙྪ་བ་བན་དེ་ཡེ་ཤེས་སྡེས་བསྒྱུར་ཅིང་ཞུས་ཏེ་གཏན་ལ་ཕབ་པ།​། །​། ||| Translated, edited, and finalized by the Indian preceptors Jinamitra and Surendrabodhi along with the chief editor-translator Bandé Yeshé Dé.
