༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྲཧྨ་བི་ཤེ་ཥ་ཙིན་ཏི་པ་རི་པྲྀཙྪ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Brahma­viśeṣacintin
།དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་དྲ་བ་ཅན་གྱི་འོད་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འདི་ལྟར་དེ་བཞིན་གཤེགས་པའི་སྐུའི་བཀོད་པ་ཚད་མ་མཆིས་པར་བསྟན་པ་འདི་དང་། ཐབས་མཁས་པ་བསམ་གྱིས་མི་ཁྱབ་པ་དང་ལྡན་པའི་ཆོས་བསྟན་པ་ངོ་མཚར་ཏོ། ||| The bodhisattva Jālinīprabha replied to the Blessed One, “Blessed One, it is wonderful that you explain in this way the immeasurable array of the thus-gone ones’ physical features, and that you grant such Dharma teachings with inconceivable skillful means.
།བཅོམ་ལྡན་འདས་འོད་ཟེར་འདི་དག་ནི་བདག་ཅག་གིས་སྔོན་མ་ཐོས་ཏེ། ||| Blessed One, we have never before heard about these light rays of the buddhas.
ཇི་ལྟ་ཇི་ལྟར་བཅོམ་ལྡན་འདས་ཀྱིས་བཤད་པའི་དོན་བདག་གིས་འཚལ་བ་ལྟར་ན། བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་གང་ལ་ལ་འོད་ཟེར་འདི་དག་གི་མིང་ཐོས་ནས་དད་པ་རྙེད་པར་འགྱུར་བ་དེ་དག་ཐམས་ཅད་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱི་འོད་ཟེར་འདི་ལྟ་བུས་རབ་ཏུ་སྣང་བར་བགྱིད་པའི་མཐུ་དང་ལྡན་པར་འགྱུར་རོ། ||| By my understanding of what the Blessed One has taught, any bodhisattva who acquires faith upon hearing the names of these light rays will gain the power to illuminate with such light rays of the perfect buddhas.
།ཡང་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་འོད་ཟེར་གང་གིས་སངས་རྒྱས་ཀྱི་ཞིང་གཞན་གྱི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བསྐུལ་མ་ཐག་ཏུ་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་འདིར་མཆི་བར་འགྱུར་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་སུ་དག་འདྲི་བ་དང་། ལུང་བསྟན་པ་དང་། བཤད་པ་ལ་མཐར་ཕྱིན་པ་རྣམས་མཆིས་ནས་དེ་བཞིན་གཤེགས་པ་ལ་ཀུན་ཞུ་ཞིང་བསྙེན་བཀུར་བགྱིད་པ་དང་། སླར་ཞུ་བར་འགྱུར་བའི་འོད་ཟེར་བྱང་ཆུབ་སེམས་དཔའ་བསྐུལ་བ་ཞེས་བགྱི་བ་གཏང་དུ་གསོལ། ||| Now, Blessed One, please send forth those rays of light by which the Thus-Gone One invites bodhisattvas from other buddha realms to come at once to this Enduring world system. In that way, those bodhisattvas who have reached the culmination of the process of question, answer, and further explanation may come here to confer with the Thus-Gone One, pay their respects to him, and receive further clarification. Please send the light called invitation to the bodhisattvas.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་དེའི་ཚེ་འོད་གང་གིས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པར་སྣང་བར་འགྱུར་བའི་འོད་ཟེར་དེ་ལྟ་བུ་སྐུ་ལས་ཕྱུང་སྟེ། ||| The Blessed One then issued from his body light rays that illuminate inconceivable, limitless world systems.
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་འོད་དེས་བསྐུལ་མ་ཐག་ཏུ་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་འདིར་ཕྱིན་པར་གྱུར་ཏོ། ||| As soon as the light had invoked the bodhisattvas, they flocked into this Enduring world system.
།དེ་ནས་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ཤར་ཕྱོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བརྒྱ་སྟོང་ཕྲག་གང་གཱའི་ཀླུང་བདུན་ཅུ་རྩ་གཉིས་ཀྱི་བྱེ་མ་སྙེད་འདས་པ་ན་ཡོངས་སུ་དག་པ་ཞེས་བྱ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ཡོད་དེ། ||| To the east of this buddha realm, past as many hundreds of thousands of buddha realms as there are grains of sand in seventy-two Ganges rivers, there lies a buddha realm called Pariśuddha.
དེ་ན་ཟླ་བའི་འོད་ཅེས་བྱ་བ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ད་ལྟར་བཞུགས་ལ་འཚོ་ཞིང་གཞེས་ཏེ། ||| There at present resides the thus-gone, worthy, and perfect Buddha Candraprabha, alive and well.
བྱང་ཆུབ་སེམས་དཔའ་འབའ་ཞིག་ལ་ཆོས་ཀྱང་འཆད་པའི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ནས་ཕྱིར་མི་ལྡོག་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ཚངས་པ་ཁྱད་པར་སེམས་ཞེས་བྱ་བ་དེ་འོད་དེས་བསྐུལ་མ་ཐག་ཏུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ཟླ་བའི་འོད་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་པ་དང་། ||| In that buddha realm he also explains the Dharma, teaching exclusively to bodhisattvas. One of them is a bodhisattva great being irreversible from the path to awakening called Brahma­viśeṣacintin who, as soon as the light touched him, went before the blessed Thus-Gone One Candraprabha.
བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས། བཅོམ་ལྡན་འདས་དེ་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་འཇིག་རྟེན་དུ་སྣང་བ་ཆེན་པོ་འདི་བྱུང་བའི་རྒྱུ་གང་ལགས། རྐྱེན་གང་ལགས། ||| He prostrated to the feet of that blessed one before asking, “Blessed One, what is the cause and what is the condition for such great light to appear in the world?”
བཅོམ་ལྡན་འདས་དེས་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཚངས་པ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་ནུབ་ཕྱོགས་ན་སངས་རྒྱས་ཀྱི་ཞིང་བརྒྱ་སྟོང་ཕྲག་གང་གཱའི་ཀླུང་བདུན་ཅུ་རྩ་གཉིས་ཀྱི་བྱེ་མ་སྙེད་འདས་པ་ན་མི་མཇེད་ཅེས་བྱ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ཡོད་དེ། དེ་ན་ཤཱཀྱ་ཐུབ་པ་ཞེས་བྱ་བ་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ད་ལྟར་བཞུགས་ཏེ། ||| That blessed one replied, “Brahmā, to the west of this buddha realm, past as many hundreds of thousands of buddha realms as there are grains of sand in seventy-two Ganges rivers, there is a realm called Enduring, where the thus-gone, worthy, and perfect Buddha Śākyamuni at present resides.
འཚོ་ཞིང་གཞེས་ལ་ཆོས་ཀྱང་སྟོན་ཏོ། ||| Alive and well, he is teaching the Dharma.
།དེ་བཞིན་གཤེགས་པ་དེས་འདི་ལྟ་སྟེ། ཕྱོགས་བཅུའི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་བསྡུ་བའི་ཕྱིར་སྐུ་ལས་འོད་འདི་གཏང་ངོ་། ||| That thus-gone one has emanated this light from his body to invite the bodhisattvas of the ten directions.”
།དེ་ནས་བཅོམ་ལྡན་འདས་ལ་ཚངས་པ་ཁྱད་པར་སེམས་ཀྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། །བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དེ་བདག་གཟིགས་པར་བཞེད་ན་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་དེར་བཅོམ་ལྡན་འདས་ཤཱཀྱ་ཐུབ་པ་དེ་ལ་ལྟ་བ་དང་། ཕྱག་འཚལ་བ་དང་། བསྙེན་བཀུར་བགྱི་བ་དང་། ཀུན་ཞུ་བ་དང་། སླར་ཞུ་བའི་སླད་དུ་བདག་མཆིའོ། ། ||| Then Brahma­viśeṣacintin said to the Blessed One, “Since that blessed, thus-gone one wants to see me, I shall go to the world system called Enduring and see the Blessed One Śākyamuni, prostrate to him, pay homage to him, question him, and seek clarification from him.”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། ཚངས་པ་ད་ལྟར་མི་མཇེད་ཀྱི་འཇིག་རྟེན་གྱི་ཁམས་དེར་བྱང་ཆུབ་སེམས་དཔའ་བྱེ་བ་ཕྲག་མང་པོ་ཡང་ཕྱིན་གྱིས་དེའི་དུས་ལ་དབབ་པར་ཤེས་ན་ཁྱོད་སོང་ཤིག །ཚངས་པ་སངས་རྒྱས་ཀྱི་ཞིང་དེར་ལྷག་པའི་བསམ་པ་བཅུ་རྣམས་ཀྱིས་གནས་པར་བྱའོ། །བཅུ་གང་ཞེ་ན། ||| The Blessed One said, “Brahmā, now millions of bodhisattvas in great number are converging in the Enduring world system. So you should go if you think this is the right time. Brahmā, when you are in this buddha realm, you should abide by ten resolves, which are:
སྙན་པར་སྨྲ་བ་དང་། ངན་དུ་སྨྲ་བ་རྣམས་ལ་ཁོང་ཁྲོ་བ་མེད་པའི་སེམས་དང་། སྙན་པ་ཐོས་པ་དང་། མི་སྙན་པ་ཐོས་པ་ལ་བྱམས་པའི་སེམས་དང་། དུས་ཐམས་ཅད་དུ་སེམས་ཅན་རྣམས་ལ་སྙིང་རྗེ་བའི་སེམས་དང་། སེམས་ཅན་རབ་འབྲིང་ཐ་མ་རྣམས་ལ་ཡང་དག་པར་སྦྱོར་བ་དང་། རི་མོ་བྱེད་པ་དང་། བརྙས་པར་བྱེད་པ་རྣམས་ལ་སེམས་མཉམ་པ་དང་། གཞན་གྱི་ལྟུང་བའི་འཁྲུལ་པ་ཐམས་ཅད་ལ་ཉེས་པར་མི་ལྟ་བ་དང་། ཐེག་པ་སྣ་ཚོགས་ལ་རོ་གཅིག་པ་དང་། ངན་སོང་གི་སྡུག་བསྔལ་ཐམས་ཅད་ཀྱི་སྒྲས་མི་སྐྲག་པ་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་སྟོན་པར་འདུ་ཤེས་པ་དང་། སངས་རྒྱས་ཀྱི་ཞིང་སྙིགས་མ་ལྔ་ཅན་ན་དེ་བཞིན་གཤེགས་པ་མཐོང་བ་ལ་ངོ་མཚར་དུ་འདུ་ཤེས་པ་སྟེ། ཚངས་པ་ལྷག་པའི་བསམ་པ་བཅུ་པོ་དེ་དག་གིས་སངས་རྒྱས་ཀྱི་ཞིང་དེར་གནས་པར་བྱའོ། ||| 1. Harbor no anger, whether you hear pleasant or negative words. 2. Be loving, whether you hear pleasant or negative words. 3. Have compassion for beings at all times. 4. Care for good and middling as well as lesser beings. 5. Make no distinction when people worship you or disrespect you. 6. Do not look down on others who have faults and are confused. 7. Consider the various vehicles to be of one taste. 8. Do not be afraid when hearing about the suffering in the lower realms. 9. Consider all bodhisattvas as your teachers. 10. Understand the rarity of seeing a thus-gone one in a realm afflicted by the five degenerations. “Brahmā, as you stay in that buddha realm, abide by these ten resolves.”
