༄༅༅། །རྒྱ་གར་སྐད་དུ། ཤཱ་རྡཱུ་ལ་ཀརྞ་ཨ་བ་དཱ་ན། བོད་སྐད་དུ།
སྟག་རྣའི་རྟོགས་པ་བརྗོད་པ། སངས་རྒྱས་དང་། བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| The Exemplary Tale of Śārdūlakarṇa {M.1} Homage to all buddhas and bodhisattvas!
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །ཅི་གཟུགས་བཟང་མོ་དགེ་སློང་ཀུན་དགའ་བོ་ཁྱིམ་ཐབ་ཏུ་བྱ་བར་འདོད་དམ། ||| The Blessed One then asked the outcaste girl Prakṛti, “Prakṛti, is it that you wish to be married to the monk Ānanda?”
བཙུན་པ་འཚལ་ལགས་སོ། ། ||| “Venerable Sir, it is my wish,” she replied.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། གཟུགས་བཟང་མོ་ཕ་མས་དགེ་སློང་ཀུན་དགའ་བོ་ལ་རྗེས་སུ་འགྲོ་བར་གནང་ངམ། ||| The Blessed One said, {M.7} “Prakṛti, have your parents given you permission regarding the monk Ānanda?”
བཅོམ་ལྡན་འདས་གནང་ལགས་སོ། ། ||| “They have given their permission, Blessed One.
བདེ་བར་གཤེགས་པ་གནང་ལགས་སོ། ། ||| They have given their permission, Well-Gone One.”
བདག་གིས་སླར་ཡང་གོ་བར་བགྱིའོ། ། ||| “Then you must have them give their permission in my presence.”
དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་བཅོམ་ལྡན་འདས་ལ་རབ་ཏུ་མཉན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་སྤྱི་བོས་གཏུགས་ནས་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་སླར་སོང་སྟེ་གང་ན་རང་གི་ཕ་མ་ཡོད་པ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| In obeisance to the Blessed One, the outcaste girl Prakṛti venerated the Blessed One’s feet with her head, circumambulated him three times, and took her leave of him, setting off to her parents.
ཕ་མའི་རྐང་པ་ལ་མགོ་བོས་ཕྱག་འཚལ་ནས། ཕྱོགས་གཅིག་ཏུ་འདུག་སྟེ། རང་གི་ཕ་མ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཡབ་ཡུམ་དགེ་སྦྱོང་གཽ་ཏ་མ་རང་གིས་དགེ་སློང་ཀུན་དགའ་བོ་སྩལ་ཏོ། ། ||| When she reached her parents, she venerated their feet with her head, stood to one side, and said to her parents, “Mother, father, please grant me to Ānanda in the presence of the ascetic Gautama.”
དེ་ནས་ཕ་མས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ཁྲིད་ནས། བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| At this, her parents went with the outcaste girl Prakṛti to where the Blessed One was.
བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་སྤྱི་བོས་ཕྱག་བྱས་ཏེ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ། ||| Having approached him, they venerated the Blessed One’s feet with their heads and sat down to one side.
གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་ཀྱང་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་སྤྱི་བོས་ཕྱག་འཚལ་ནས་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། །ཕྱོགས་གཅིག་ཏུ་འདུག་ནས་ཀྱང་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The outcaste girl Prakṛti then venerated the Blessed One’s feet with her head and stood to one side.
འདི་གཉིས་ནི་བདག་གི་ཕ་མ་ལགས་སོ། ། ||| She said to the Blessed One, “These, Blessed One, are my parents, who have come.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོའི་ཕ་མ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །བུ་མོ་གཟུགས་བཟང་མོ་དགེ་སློང་ཀུན་དགའ་བོ་ལ་སྟེར་རམ། དེ་གཉིས་ཀྱིས་གསོལ་པ། ||| Thereupon the Blessed One asked the parents of the outcaste girl Prakṛti, “Have you given your daughter Prakṛti permission regarding the monk Ānanda?”
བཅོམ་ལྡན་འདས་སྩལ་ལོ། ། ||| “We have given our permission, Blessed One.
བདེ་བར་གཤེགས་པ་སྩལ་ལོ། ། ||| We have given our permission, Well-Gone One.”
དེ་ལྟ་ན་ཁྱེད་གཉིས་རང་གི་ཁྱིམ་དུ་སླར་སོང་ཤིག ། ||| “Then you may return to your home.”
དེ་ནས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོའི་ཕ་མས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་སྤྱི་བོས་ཕྱག་འཚལ་ནས། བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཐད་ནས་སོང་ངོ་། ། ||| At this, the parents of the outcaste girl Prakṛti venerated the Blessed One’s feet with their heads, circumambulated him three times, and took their leave of him.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོའི་ཕ་མ་སོང་ནས་རིང་མོ་མ་ལོན་པར་ཐུགས་སུ་ཆུད་ནས། གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །གཟུགས་བཟང་མོ་དགེ་སློང་ཀུན་དགའ་བོ་དོན་དུ་གཉེར་རམ། ||| Once he knew that the parents of the outcaste girl Prakṛti had left, the Blessed One asked the outcaste girl Prakṛti, “Prakṛti, do you want to be with the monk Ānanda?”
བཅོམ་ལྡན་འདས་དོན་དུ་གཉེར་ལགས་སོ། ། ||| “I want to be with him, Blessed One.
བདེ་བར་གཤེགས་པ་དོན་དུ་གཉེར་ལགས་སོ། ། ||| I want to be with him, Well-Gone One.”
དེ་ལྟ་ཡིན་ན་གཟུགས་བཟང་མོ་དགེ་སློང་ཀུན་དགའ་བོའི་ཆ་བྱད་དུ་གྱིས་ཤིག ། ||| “If so, Prakṛti, then you should adopt the attire of the monk Ānanda.”
བཅོམ་ལྡན་འདས་གཟུང་བར་བགྱིའོ། ། ||| “I will adopt it, Blessed One.
བདེ་བར་གཤེགས་པ་གཟུང་ལགས་སོ། ། ||| I will adopt it, Well-Gone One.
བཅོམ་ལྡན་འདས་རབ་ཏུ་འབྱུང་དུ་གསོལ། ||| Please allow me to go forth, Blessed One.
བདེ་བར་གཤེགས་པ་བདག་རབ་ཏུ་དབྱུང་དུ་གསོལ། ||| Please allow me to go forth, Well-Gone One.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། །དགེ་སློང་མ་འདིར་ལེགས་པར་ཚངས་པར་སྤྱོད་ཅིག་ཅེས་བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ་དང་། ||| {M.8} Then the Blessed One said to the outcaste girl Prakṛti, “Come, nun, live the spiritual life.”
གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་སྐྲ་བྱི་ཞིང་སྣམ་སྦྱར་བགོས་པར་གྱུར་ཏོ། ། ||| When this was said, the outcaste girl Prakṛti had her hair shaven off and became clad in yellow ochre robes by the Blessed One.
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་གདོལ་པའི་བུ་མོ་གཟུགས་བཟང་མོ་དེ་ལྟར་དགེ་སློང་མར་གྱུར་ཞིང་རབ་ཏུ་བྱུང་བ་ལ་ཆོས་ཀྱི་གཏམ་ཡང་སྟོན་པར་མཛད། ཡང་དག་པར་འཛིན་དུ་འཇུག་པར་མཛད། ཡང་དག་པར་གཟེངས་སྟོད་པར་མཛད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད་དེ། ||| When he had thus turned the outcaste girl Prakṛti into a nun and allowed her to go forth, the Blessed One instructed, encouraged, uplifted, and inspired her with a dharmic talk.
གང་ཞིག་འདི་ལྟར་ཡུན་རིང་པོར་འཁོར་བར་བྱིང་བའི་སེམས་ཅན་རྣམས་ཀྱི་གཉེན་པོར་གྱུར་པ་མཉན་པར་བྱ་བ་འདི་ལྟ་སྟེ། སྦྱིན་པའི་གཏམ་དང་། ཚུལ་ཁྲིམས་ཀྱི་གཏམ་དང་། མཐོ་རིས་ཀྱི་གཏམ་དང་། འདོད་པའི་རོ་མྱང་བར་བྱ་བ་མ་ཡིན་ཞིང་སྨད་པའི་གཏམ་དང་། ངེས་པར་འབྱུང་བའི་གཏམ་དང་། འཇིགས་པ་དང་། ཉོན་མོངས་པ་དང་། ཀུན་ནས་ཉོན་མོངས་པ་དང་། རྣམ་པར་བྱང་བ་དང་། བྱང་ཆུབ་ཀྱི་ཕྱོགས་ཀྱི་ཆོས་རྣམས་དགེ་སློང་མ་དེ་ལ་བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་དག་པར་བསྟན་པས། དེ་ནས་དགེ་སློང་མ་གཟུགས་བཟང་མོ་དེ་ལ། བཅོམ་ལྡན་འདས་ཀྱིས་ཡང་དག་པར་བསྟན། ཡང་དག་པར་འཛིན་དུ་བཅུག །ཡང་དག་པར་གཟེངས་བསྟོད། ཡང་དག་པར་རབ་ཏུ་དགའ་བར་མཛད། སེམས་དགའ་བ་ལས་སུ་རུང་བ་དང་། རབ་ཏུ་དགའ་བའི་སེམས་དང་། སྒྲིབ་པ་མེད་པའི་སེམས་དང་། ||| It was a talk to be heard as a remedy for sentient beings who have been stuck in saṃsāra for a long time, that is, a talk about generosity, a talk about ethical conduct, a talk about the heavens, about the dangers associated with sense pleasures, about finding release, about the perils, about the mental afflictions, defilement, and purification, and about the factors pertaining to awakening—these were the things that the Blessed One fully explained to the nun Prakṛti.
ཐ་བ་མེད་པའི་སེམས་ཀྱིས་བཅོམ་ལྡན་འདས་ཀྱི་བཀའ་གང་ཡིན་པ་ཤེས་ནས་དགེ་སློང་མ་གཟུགས་བཟང་མོ་དགའ་བའི་བསམ་པ་དང་། ལས་སུ་རུང་བའི་སེམས་དང་། རབ་ཏུ་དགའ་བའི་སེམས་དང་། སྒྲིབ་པ་མེད་པའི་སེམས་དང་། ཐ་བ་མེད་པའི་སེམས་ཀྱིས་བསྒོམས་པའི་སྟོབས་རབ་ཏུ་ལྡན་པ་ཡང་དག་པར་གསལ་བར་བྱེད་པའི་ཆོས་བསྟན་པ་ཀུན་ཏུ་ཤེས་ཏེ། དེའི་ཚེ་སངས་རྒྱས་བཅོམ་ལྡན་འདས་ཀྱིས་ཀུན་གསལ་བར་བྱེད་པའི་ཆོས་བསྟན་པ་འདི་ལྟ་སྟེ། སྡུག་བསྔལ་དང་། ཀུན་འབྱུང་དང་། འགོག་པ་དང་། ལམ་རྣམས་བཅོམ་ལྡན་འདས་ཀྱིས་དགེ་སློང་མ་གཟུགས་བཟང་མོ་ལ་རྒྱ་ཆེར་བསྟན་པས། ||| Instructed, encouraged, uplifted, and inspired with a dharmic talk by the Blessed One, the nun Prakṛti had a mind that was elated, propitious, rejoicing, without hindrances, upright, and without rigidity, by which she became ready to understand the teaching of the Dharma.{M.9} When the Blessed One knew that the nun Prakṛti had a mind that was elated, propitious, rejoicing, without hindrances, and without rigidity, by which she was ready and able to understand the most elevated Dharma teaching, the Blessed One expounded in full to the nun Prakṛti that most elevated Dharma teaching of the blessed buddhas on penetrating the four truths of the noble ones, that is to say, suffering, its origin, cessation, and the way.
