སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ||| Homage to all the buddhas and bodhisattvas!
བྱང་ཆུབ་སེམས་དཔའ་དེ་དག་ཐམས་ཅད་ཀྱང་བསམ་གཏན་གྱི་དགའ་བའི་ཟས་ཅན་དང་། ཏིང་ངེ་འཛིན་གྱི་དགའ་བའི་ཟས་ཅན་དང་། ཆོས་ཀྱི་དགའ་བའི་ཟས་ཅན་ནོ། ||| All the bodhisattvas of that realm partake of the delightful sustenance of concentration, the delightful sustenance of absorption, and the delightful sustenance of the Dharma.
དེ་བཞིན་གཤེགས་པ་དེ་ཉིད་ཀྱི་འོད་ཀྱིས་འཇིག་རྟེན་གྱི་ཁམས་དེ་ཁྱབ་ ||| The light that shines from that thus-gone one pervades that realm and illuminates it.
ཅིང་དྲི་མ་མེད་པར་གྱུར་པ་མ་གཏོགས་པར་འཇིག་རྟེན་གྱི་ཁམས་དེ་ན་ཟླ་བ་དང་། ཉི་མ་དང་། གཟའ་དང་། སྐར་མ་རྣམས་ཀྱི་འོད་ཀྱང་མི་ཤེས་སོ། ||| Apart from that, that world knows of no moonlight or sunlight, nor of any light from planets or stars.
འཇིག་རྟེན་གྱི་ཁམས་དེ་ལག་མཐིལ་བཞིན་དུ་མཉམ་པར་གྱུར་པ་ལས་འཇིག་རྟེན་གྱི་ཁམས་དེ་ན་རྩྭ་དང་། ཤིང་དང་། བོང་བ་དང་། རྩིག་པ་དང་། རི་ལ་སོགས་པ་ཡང་མི་སྣང་ངོ་། ||| The land there is perfectly even, like the palm of a hand, and there are no grasses, trees, rocks, walls, or mountains.
འཇིག་རྟེན་གྱི་ཁམས་དེ་འདྲ་བ་དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ཞེས་བྱ་བ་ ||| In that realm there was a bodhisattva great being known as Sarva­nīvaraṇa­viṣkam­bhin,
དེའི་མིང་ཐོས་པ་ཙམ་གྱིས་སེམས་ཅན་གྱི་སྒྲིབ་པ་ཐམས་ཅད་ཟད་པར་འགྱུར་བ་ཞིག་གནས་ཏེ། ||| who had the power to exhaust all the obscurations of whoever merely heard his name.
དེས་རེག་སྟེ་བསྐུལ་ནས། ||| touched and inspired
རང་གི་གནས་ནས་བྱུང་སྟེ། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་པད་མའི་སྤྱན་དེ་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། ||| he left his own abode and journeyed to the place where Buddha Padma­netra was residing.
བཅོམ་ལྡན་འདས་དེའི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། ||| He bowed his head down to the feet of the Blessed One
པད་མའི་སྙིང་པོ་ལ་ཕྱོགས་གཅིག་ཏུ་འདུག་གོ། ||| and took his seat before Padma­netra.
དེ་མ་ཡིན་པའི་བྱང་ཆུབ་སེམས་དཔའ་གཞན་དག་ཀྱང་འོད་དེས་རེག་སྟེ་བསྐུལ་བ་དང་། ||| Similarly, other bodhisattvas were touched and inspired by the light,
རང་རང་གི་གནས་ནས་བྱུང་སྟེ། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་པད་མའི་སྤྱན་དེ་ག་ལ་བ་དེར་དོང་སྟེ་ཕྱིན་ནས། ||| so they also left their respective residences and went to see the blessed thus-gone Padma­netra.
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་སྟན་ལས་ལངས་ནས་ ||| At that time the bodhisattva great being Sarva­nīvaraṇa­viṣkam­bhin rose from his seat,
བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ཏེ། པུས་མོ་གཡས་པའི་ལྷ་ང་པད་མའི་སྙིང་པོ་ལ་བཙུགས་ནས། ||| draped his shawl over one shoulder, and knelt with his right knee in the center of a lotus flower.
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་པད་མའི་སྤྱན་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས་ ||| Joining his palms, he bowed toward the blessed thus-gone Padma­netra.
བཅོམ་ལྡན་འདས་འདི་ལྟ་བུའི་འོད་བཟང་པོ་དྲི་མ་མ་མཆིས་པ་རྣམ་པར་དག་པ། ཡིད་དུ་མཆི་བ་ལུས་དང་སེམས་ཤིན་ཏུ་དགའ་བར་བགྱིད་པར་བྱུང་བ་འདི་སུའི་མཐུ་ལགས་ཞེས་དེ་སྐད་ཅེས་གསོལ་པ་ ||| “Blessed One,” he asked, “by whose power is it that this excellent light emerges, which is so bright, immaculate, delightful, and utterly gratifying for the body and mind?”
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་པད་མའི་སྤྱན་དེས་བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| The blessed thus-gone Padma­netra replied,
རིགས་ཀྱི་བུ་ནུབ་ཕྱོགས་ན་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་འཇིག་རྟེན་གྱི་ཁམས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་འདས་པ་ན་མི་མཇེད་ཅེས་བྱ་བའི་འཇིག་རྟེན་གྱི་ཁམས་ཡོད་དེ། ||| “Noble son, in the west, beyond as many worlds as there are grains of sand in the river Gaṅgā, there is a world known as Endurance.
དེ་ན་ཤཱཀྱ་ཐུབ་པ་ཞེས་བྱ་བ་ ||| Therein resides the one known as Śākyamuni.
དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རིག་པ་དང་། རྐང་པར་ལྡན་པ། ||| He is a thus-gone, worthy, perfect buddha, someone with proper knowledge and conduct,
བདེ་བར་གཤེགས་པ། འཇིག་རྟེན་མཁྱེན་པ། སྐྱེས་བུ་འདུལ་བའི་ཁ་ལོ་སྒྱུར་བ། བླ་ན་མེད་པ། ལྷ་དང་མི་རྣམས་ཀྱི་སྟོན་པ། ||| a well-gone one, a knower of the world, an unsurpassed leader of those to be trained, a teacher of gods and humans.
སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེའི་མཚན་ཐོས་པ་ཙམ་གྱིས་སེམས་ཅན་རྣམས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་བ་ཞིག་བཞུགས་ཏེ། ||| Whoever merely hears this blessed buddha’s name will make progress toward unexcelled and complete awakening that is irreversible.
དེས་འོད་བཟང་པོ་དྲི་མ་མེད་པ། རྣམ་པར་དག་པ་ཡིད་དུ་འོང་བ། ལུས་དང་སེམས་ཤིན་ཏུ་རྣམ་པར་དགའ་བར་བྱེད་པ་འདི་ཕྱུང་ངོ་། ||| It is he who sends forth this excellent light that is bright, immaculate, delightful, and utterly gratifying for the body and the mind.”
དེ་སྐད་ཅེས་བཀའ་སྩལ་པ་དང་། བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་པད་མའི་སྤྱན་དེ་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ||| Further addressing the blessed thus-gone Padma­netra, the bodhisattva great being Sarva­nīvaraṇa­viṣkam­bhin then asked,
རྒྱུ་གང་ལགས། རྐྱེན་གང་ལགས ||| what is the cause and what is the condition
དེ་བཞིན་གཤེགས་པ་དེའི་མཚན་ཐོས་པ་ཙམ་གྱིས་སེམས་ཅན་རྣམས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་འགྱུར་བའི་ ||| so that whoever hears the name of that thus-gone one will make irreversible progress toward unexcelled and complete awakening?”
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་པད་མའི་སྤྱན་དེས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ||| To the bodhisattva great being Sarva­nīvaraṇa­viṣkam­bhin the blessed thus-gone Padma­netra replied,
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པ་དེས་སྔོན་བྱང་ཆུབ་སེམས་དཔའི་སྤྱད་པ་སྤྱོད་པ་ན། ||| “Noble son, when that thus-gone one was still pursuing the practices of a bodhisattva,
འདི་ལྟར་སེམས་ཅན་སུ་གང་དག་གིས་བདག་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་པའི་མིང་ཐོས་པ་ ||| ‘Whenever someone hears the name under which I shall gain perfect buddhahood,
དེ་དག་ཐམས་ཅད་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ལས་ཕྱིར་མི་ལྡོག་པར་ཤོག་ཤིག་ཅེས་ ||| may that being thereby make irreversible progress toward unexcelled and complete awakening!’
བྱང་ཆུབ་སེམས་དཔའ་སྒྲིབ་པ་ཐམས་ཅད་རྣམ་པར་སེལ་བས་གསོལ་པ། ||| The bodhisattva Sarva­nīvaraṇa­viṣkam­bhin then inquired,
བཅོམ་ལྡན་འདས་ཅི་ལགས། འཇིག་རྟེན་གྱི་ཁམས་དེའི་སེམས་ཅན་དེ་དག་ཐམས་ཅད་ཕྱིར་མི་ལྡོག་པ་ལགས་སམ། ||| “Blessed One, have all sentient beings of that realm attained the state of irreversible progress?”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་མ་ཡིན་ནོ། ||| “No,” replied the Blessed One, “they have not.”
བཅོམ་ལྡན་འདས་ཅི་ལགས། སེམས་ཅན་དེ་དག་གིས་དེ་བཞིན་གཤེགས་པ་དེའི་མཚན་མ་ཐོས་སམ། ||| “Blessed One, is it because they have not heard the name of that thus-gone one?”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་ཐོས་སོ། ||| “Noble son,” replied the Blessed One, “they have indeed heard that thus-gone one’s name.”
གསོལ་པ། བཅོམ་ལྡན་འདས་དེ་ཅིའི་སླད་དུ་ཕྱིར་མི་ལྡོག་པ་མ་ལགས། ||| “In that case, why have they not yet attained the level of irreversible progress?”
བཅོམ་ལྡན་འདས་དེས་བཀའ་སྩལ་པ། རིགས་ཀྱི་བུ་དེ་དག་ཐམས་ཅད་ནི་ཕྱིར་མི་ལྡོག་པ་ཡང་ཡིན་ལ་ཕྱིར་ལྡོག་པ་ཡང་ཡིན་ནོ། ||| “Noble son,” replied the Blessed One, “the progress beings there make is irreversible, yet it is also reversible.”
གསོལ་པ། བཅོམ་ལྡན་འདས་ཇི་ལྟར། གང་དེ་ལྟ་བུར་དེ་དག་ཐམས་ཅད་ཕྱིར་མི་ལྡོག་པ་ཡང་ལགས་ལ། ཕྱིར་ལྡོག་པ་ཡང་ལགས། ||| “How, Blessed One, can it be both irreversible as well as reversible?”
