༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་དྷརྨ་སང་གཱི་ཏི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཆོས་ཡང་དག་པར་སྡུད་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Dharma Council
འདི་ལྟ་སྟེ། རྩོམ་པའི་རྣམ་པར་རྟོག་པ་ཐམས་ཅད་ཀུན་ཆད་པའི་སྐྱེ་བར་འཇུག་པ་དང་། སེམས་དང་ཡིད་དང་ཡིད་ཀྱི་རྣམ་པར་ཤེས་པ་གནས་གྱུར་པ་ཐམས་ཅད་འཇུག་པ་དང་། སྐྱེ་བ་དང་། འཇིག་པ་ལས་ཕྱིར་ལྡོག་པའི་སྐྱེ་བ་དང་འཇིག་པ་འཇུག་པ་དང་། སྔོན་གྱི་མངོན་པར་འདུ་བྱེད་པའི་གནོད་པས་ནོན་པའི་རྣམ་པར་སྨིན་པ་ཐམས་ཅད་འཇུག་པ་དང་། ཆོས་ཀྱི་དབྱིངས་ཆགས་པ་མེད་པ་ཡོངས་སུ་སྦྱོང་བ་བསགས་པའི་བསོགས་པ་ཐམས་ཅད་དང་། སྨོན་ལམ་གྲངས་མེད་པ་བརྒྱ་སྟོང་ཕྲག་བཅུས་བསྟན་པའི་སྟོན་པ་ཐམས་ཅད་དང་། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་བྱིན་གྱི་རླབས་ཀྱིས་བྱིན་གྱིས་བརླབས་པའི་སངས་རྒྱས་ཀྱི་བྱིན་གྱི་རླབས་དང་། ཇི་ལྟར་ཡོངས་སུ་སྨིན་པར་བྱས་པའི་དགེ་བའི་རྩ་བའི་ཤུགས་ཀྱིས་འཕངས་པའི་འཕེན་པ་ཐམས་ཅད་དང་། བྱམས་པ་ཆེན་པོ་དང་། སྙིང་རྗེ་ཆེན་པོའི་རྒྱུ་འཐུན་པ་ཤིན་ཏུ་རྒྱས་པ་དང་། དུས་དང་གནས་དང་། སེམས་ཅན་གྱི་བསམ་པ་དང་དགེ་བ་ཡང་དག་པར་འདོད་པ་ཇི་ལྟ་བ་དང་། ལྷག་པའི་བསམ་པའི་དབང་ཇི་ལྟ་བ་དེ་བཞིན་དུ་རྣམ་པ་ཐ་དད་པར་འབྱུང་བ་ཡིན་ཏེ། ||| (1) The approach that disrupts all concepts of striving; (2) the approach of transforming the mind, thought, and the mind consciousness; (3) the approach in which birth and dissolution counter birth and dissolution; (4) the approach that completely ripens what has been suppressed by the harmful effects of previous karmic formations; (5) the complete gathering of requisites for purifying the expanse of phenomena that is free of attachment; (6) the complete revelation of teachings by means of countless millions of aspirations; (7) the blessings of the Buddha who has been blessed by all the thus-gone ones; (8) all the ways ripened roots of virtue provide an impetus; (9) the exceedingly vast flow of great love and compassion; and (10) arising in different forms depending on the influence of time, place, and the intentions, virtuous yearnings, and dispositions of beings.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཀྱི་ཚུལ་ལ་འཇུག་པ་བཅུ་པོ་དེ་དག་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་འབྱུང་བ་ཁོང་དུ་ཆུད་པར་བྱའོ། ། ||| Child of good family, bodhisattvas should understand the arising of the thus-gone, worthy, completely perfect buddhas through these ten approaches to the way of the Dharma.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཀྱི་ཚུལ་ལ་འཇུག་པ་བཅུས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་ངོ་བོ་ཉིད་ཁོང་དུ་ཆུད་པར་བྱ་སྟེ། ||| “Child of good family, bodhisattvas should understand the essence of all the thus-gone, worthy, completely perfect buddhas through ten approaches to the way of the Dharma.
བཅུ་གང་ཞེ་ན། ||| What are these ten?
འདི་ལྟ་སྟེ། རང་བཞིན་གྱིས་དྲི་མ་མེད་པའི་ཕྱིར་དེ་བཞིན་ཉིད་ཀྱི་ངོ་བོ་ཉིད་དང་དབྱེར་མེད་པའི་ཕྱིར་ཆོས་ཀྱི་དབྱིངས་ཀྱི་ངོ་བོ་ཉིད་དང་། ཐམས་ཅད་དུ་སོང་བའི་ཕྱིར་ཡང་དག་པའི་མཐའི་ངོ་བོ་ཉིད་དང་། ངོ་བོ་ཉིད་ཀྱིས་དབེན་པའི་ཕྱིར་སྟོང་པ་ཉིད་དང་མཚན་མ་མེད་པ་དང་སྨོན་པ་མེད་པའི་ངོ་བོ་ཉིད་དང་། གཞན་གྱི་རྐྱེན་གྱི་དབང་གིས་ཞུགས་པའི་ཕྱིར་སྒྱུ་མ་དང་སྨིག་རྒྱུ་དང་ཆུ་ཟླ་དང་སྤྲུལ་པ་དང་བྲག་ཅ་དང་དྲི་ཟའི་གྲོང་ཁྱེར་དང་མགལ་མེ་བསྐོར་བའི་ངོ་བོ་ཉིད་དང་། རྫས་མེད་པའི་ཕྱིར་སྐྱེ་བ་མེད་ཅིང་འབྱུང་བ་མེད་པའི་ངོ་བོ་ཉིད་དང་རང་བཞིན་གྱིས་འོད་གསལ་བའི་ཕྱིར་ཆོས་ཐམས་ཅད་ཀྱི་རང་བཞིན་གྱི་ངོ་བོ་ཉིད་དང་། རྒྱུན་མ་ཆད་པའི་ཕྱིར་སྔོན་གྱི་མཐར་མ་བྱུང་བ་དང་ལུས་མེད་པའི་ཕྱིར་ཕྱི་མའི་མཐར་མི་འཕོ་བ་དང་། སྔོན་གྱི་མཐའ་དང་ཕྱི་མའི་མཐའ་མེད་པས་ད་ལྟར་བྱུང་བ་ལ་མི་གནས་པ་སྟེ། ||| (1) The essence of suchness, because they are naturally stainless; (2) the essence of the expanse of phenomena, because they are indivisible; (3) the essence of the limit of reality, because they are omnipresent; (4) the essence of emptiness, signlessness, and wishlessness, because they are devoid of essence; (5) the essence that is like an illusion, a mirage, the moon’s reflection in water, a magical creation, an echo, a city of gandharvas, and the circling of a firebrand, because they are instantiated through the power of external conditions; (6) the essence of birthlessness and nonarising, because they are immaterial; (7) the essence of the nature of all things, because they are naturally luminous; (8) never having arisen in the past, because they are an unbroken continuity; (9) not transferring into the future, because they are not physical; and (10) not existing in the present, because they are absent in the past and future.
རིགས་ཀྱི་བུ་དག་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཀྱི་ཚུལ་ལ་འཇུག་པ་བཅུ་པོ་དེ་དག་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་ངོ་བོ་ཉིད་ཁོང་དུ་ཆུད་པར་བྱའོ། ། ||| Child of good family, bodhisattvas should thus understand the essence of the thus-gone, worthy, completely perfect buddhas through these ten approaches to the way of the Dharma.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཀྱི་ཚུལ་ལ་འཇུག་པ་བཅུས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་གཞན་གྱི་རྐྱེན་གྱིས་འབྱུང་བ་ཁོང་དུ་ཆུད་པར་བྱ་སྟེ། ||| “Child of good family, bodhisattvas should understand the different conditions through which the thus-gone, worthy, completely perfect buddhas arise through ten approaches to the way of the Dharma.
བཅུ་གང་ཞེ་ན། ||| What are these ten?
འདི་ལྟ་སྟེ། ཆོས་ཀྱི་འབྲས་བུའི་ཕྱིར་བག་ཡོད་པའི་ས་བོན་དང་། ཁ་ན་མ་ཐོ་བ་མེད་པའི་ཕྱིར་ཤེས་རབ་དང་ཐབས་ཀྱིས་བསྐྱེད་པ་དང་། ལེགས་པར་འགྲོ་བའི་ཕྱིར་ཚུལ་ཁྲིམས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་རྐང་པ་དང་། བདུད་རྩིའི་ཕྱིར་བྱང་ཆུབ་ཀྱི་སེམས་ཀྱི་འཚོ་བའི་དབང་པོ་དང་། ལས་ལེགས་པར་བྱེད་པའི་ཕྱིར་ཞི་གནས་དང་ལྷག་མཐོང་གི་ལག་པ་དང་། མེ་ལོང་ལྟ་བུའི་ཡེ་ཤེས་ཕུན་སུམ་ཚོགས་པའི་ཕྱིར་ལས་ཀྱི་རྣམ་པར་སྨིན་པ་འཇུག་པའི་མིག་དང་། ལེགས་པར་ཞུགས་པའི་ཕྱིར་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐམས་ཅད་སྒྲུབ་པའི་ལྟེ་བ་དང་། ནན་ཏན་སྙིང་པོར་བྱེད་པའི་ཕྱིར་བསྡུ་བའི་དངོས་པོའི་སྒལ་ཚིགས་དང་། རྣམ་པར་མི་རྟོག་པའི་ཕྱིར་སྟོང་པ་ཉིད་སྒོམ་པའི་ཡན་ལག་གི་དམ་པ་མགོ་དང་། སེམས་ཅན་ཐམས་ཅད་ཀྱི་བྱའོ་ཅོག་མི་འདོར་བའི་ཕྱིར་ཡིད་མ་བསད་ཅིང་སྐྲག་པ་མེད་ལ་སྤྲོ་བ་སྟེ། ||| (1) The seed of vigilance, because it yields the fruit of the Dharma; (2) developing insight and skillful means, because they are irreproachable; (3) the legs of the perfection of ethical discipline, because it leads to good outcomes; (4) the faculty of the lifeforce, the mind of awakening, because it is the elixir of immortality; (5) the hands of meditative calm and meditative insight, because they do good work; (6) the eye that penetrates the ripening of karma, because it is the magnificent mirror-like wisdom; (7) the navel of accomplishing all the perfections, because they are well oriented; (8) the spine of the means of attracting disciples, because perseverance is at their core; (9) the head, the highest limb, meditating on emptiness, because it is nonconceptual; and (10) enthusiasm without being disheartened or frightened, because it does not permit the rejection of any activity on behalf of any being.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཀྱི་ཚུལ་ལ་འཇུག་པ་བཅུ་པོ་དེ་དག་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་གཞན་གྱི་རྐྱེན་གྱིས་འབྱུང་བ་ཁོང་དུ་ཆུད་པར་བྱའོ། ། ||| Child of good family, bodhisattvas should thus understand the different conditions through which the thus-gone, worthy, completely perfect buddhas arise through these ten approaches to the way of the Dharma.
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔས་ཆོས་ཀྱི་ཚུལ་ལ་འཇུག་པ་བཅུས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམས་ཀྱི་གནས་པ་ཁོང་དུ་ཆུད་པར་བྱ་སྟེ། ||| “Child of good family, bodhisattvas should understand the state of the thus-gone, worthy, completely perfect buddhas through ten approaches to the way of the Dharma.
