སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to all buddhas and bodhisattvas!
རིའི་ཚོགས་དང་ཤིང་ལྗོན་པ་དང་རིའི་རྒྱལ་པོ་རི་རབ་དང་། ||| all mountain ranges and forests as well as the central mountain,
རི་བཏང་བཟུང་དང་བཏང་བཟུང་ཆེན་པོ་དང་ཁོར་ཡུག་དང་ཁོར་ཡུག་ཆེན་པོ་གང་དག་ཡོད་པ་དང་། ། ||| the Mucilinda Mountains, the Greater Mucilinda Mountains, the surrounding mountains, the greater surrounding mountains,
གང་དག་འཇིག་རྟེན་གྱི་བར་གྱི་མུན་པ་མུན་ནག་དེ་དག་ཐམས་ཅད་ཀྱང་གསེར་གྱི་ཁ་དོག་གི་སྣང་བ་དེས་ཁྱབ་པར་གྱུར་ཏོ། ||| and all places of deep darkness throughout the world were bathed in that golden light,
ཉི་མ་དང་ཟླ་བ་འདི་ལྟར་རྫུ་འཕྲུལ་ཆེ་བ། འདི་ལྟར་མཐུ་ཆེ་བ། འདི་ལྟར་དབང་ཆེ་བར་གྲགས་པ་འདི་དག་ཀྱང་མིག་གི་དབང་པོ་ལ་སྣང་བར་མ་གྱུར་ཏོ། ། ||| eclipsing even the sun and the moon—so well known for their great miraculous ability, great strength, and great power—to the point of invisibility.
ནུབ་ཕྱོགས་ལོགས་སུ་སངས་རྒྱས་ཀྱི་ཞིང་བྱེ་བ་བརྒྱ་སྟོང་ལས་ཐལ་ནས། འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེ་ཐམས་ཅད་གསེར་གྱི་ཁ་དོག་གི་སྣང་བ་ཆེན་པོས་ཁྱབ་པར་གྱུར་ཏོ། ། ||| Toward the west, crossing through a trillion buddha realms, that brilliant golden light pervaded the entire realm of Sukhāvatī.
དེ་ནས་འོད་དེ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་ཏེ། ལན་བདུན་བསྐོར་བ་བྱས་ནས། བཅོམ་ལྡན་འདས་དེའི་སྤྱན་སྔར་མི་སྣང་བར་གྱུར་ཏོ། ། ||| There, the light prostrated at the feet of the Thus-Gone, worthy, completely perfect Buddha Amitābha, circumambulated him seven times, and, in that blessed one’s presence, disappeared.
དེ་ནས་གང་དག་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེར་སྐྱེས་པའི་སེམས་ཅན་རྣམས་དང་། ||| The beings who lived in Sukhāvatī, including
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་དང་ཉན་ཐོས་ཆེན་པོ་དེ་དག་གིས་ཀྱང་འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་མཐོང་ཞིང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཅིང་ཉན་ཐོས་ཀྱི་དགེ་འདུན་གྱིས་བལྟས་པ་དེ་ཡང་མཐོང་སྟེ། ||| the bodhisattvas and the great hearers, looked toward this Sahā world and saw the Thus-Gone, worthy, completely perfect Buddha Śākyamuni surrounded by the gathering of bodhisattvas and attended upon by the saṅgha of hearers.
དཔེར་ན་སྐྱུ་རུ་རའི་འབྲས་བུ་ལག་མཐིལ་དུ་བཞག་པ་ལྟར་མཐོང་ནས། དེ་དག་དགའ་བ་དང་མཆོག་ཏུ་དགའ་བ་རྒྱ་ཆེར་སྐྱེས་ཏེ། ||| As they saw it all, as clearly as seeing an āmalakī fruit right in their own hand, they were filled with joy and great happiness,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ལ་ཕྱག་འཚལ་ལོ་ཞེས་ཚིག་དེ་སྐད་ཀྱང་བརྗོད་དོ། ། ||| and exclaimed, “Homage to the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni!”
འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདིར་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པའི་འཁོར་གྱི་དཀྱིལ་འཁོར་དུ་གང་དག་འདུས་པ་དགེ་སློང་དང་དགེ་སློང་མ་དང་དགེ་བསྙེན་དང་དགེ་བསྙེན་མ་དང་། ལྷ་དང་ཀླུ་དང་གནོད་སྦྱིན་དང་དྲི་ཟ་དང་ལྷ་མ་ཡིན་དང་ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་ལྟོ་འཕྱེ་ཆེན་པོ་དང་མི་དང་། མི་མ་ཡིན་པ་དང་། བརྒྱ་བྱིན་དང་ཚངས་པ་དང་འཇིག་རྟེན་སྐྱོང་བ་དང་། བྱང་ཆུབ་སེམས་དཔའ་འདུས་པ་ ||| Here in the Sahā world, the assembled retinue of the Thus-Gone, worthy, completely perfect Buddha Śākyamuni consisted of monks, nuns, laymen, laywomen, gods, nāgas, yakṣas, gandharvas, demigods, garuḍas, kinnaras, and mahoragās, humans, nonhumans, Śakra, Brahmā, the guardians of the world, and bodhisattvas.
དེ་དག་གིས་ཀྱང་འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེ་དང་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་བྱང་ཆུབ་སེམས་དཔའི་ཚོགས་ཀྱིས་ཡོངས་སུ་བསྐོར་ཅིང་ཉན་ཐོས་ཀྱི་དགེ་འདུན་གྱིས་མདུན་གྱིས་བལྟས་ཏེ། རིའི་རྒྱལ་པོ་བཞིན་དུ་འབར་བ་དེ་དང་ཐམས་ཅད་དང་ལྡན་པའི་སངས་རྒྱས་ཀྱི་ཞིང་དེ་ཡང་ས་ལེར་མཐོང་སྟེ། ||| All of them could now also vividly see the world of Sukhāvatī and the Thus-Gone, worthy, completely perfect Buddha Amitābha, who was shining like the king of mountains, surrounded by the assembly of bodhisattvas and attended upon by the saṅgha of hearers. They saw the entire buddha realm in this way.
སྐྱེས་བུ་མིག་དང་ལྡན་པས། འདོམ་གང་ཙམ་གྱི་ཕྱོགས་ན་སྐྱེས་བུ་ཅིག་ཤོས་ཀྱི་བཞིན་གྱི་དཀྱིལ་འཁོར་སྒྲིམ་མི་དགོས་པར་མཐོང་བ་དེ་བཞིན་དུ། ། ||| Just as a person with perfect sight can see the face of another person only a fathom away without any strain,
འཇིག་རྟེན་གྱི་ཁམས་འདི་དང་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ནས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་ཏུ་མེད་པ་མཐོང་ངོ་། །འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་ཡོན་ཏན་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མས་གང་བ་ཡོན་ཏན་གྱི་བཀོད་པ་ཆེན་པོ་དང་ལྡན་པ་དེ་ཡང་སྣང་ངོ་། ||| from this world and this buddha realm they saw the Thus-Gone, worthy, completely perfect Buddha Amitābha, as well as the world of Sukhāvatī, which appeared in a great display of fine features, filled with trillions of qualities.
མཐོང་ནས་ཀྱང་དགའ་བ་དང་མཆོག་ཏུ་དགའ་བ་རྒྱ་ཆེན་པོ་སྐྱེས་ཏེ། ||| Witnessing it, they were filled with joy and great happiness, and
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་འོད་དཔག་མེད་ལ་ཕྱག་འཚལ་ལོ་ཞེས་ཚིག་དེ་སྐད་ཀྱང་བརྗོད་དོ། ། ||| exclaimed, “Homage to the Blessed One, the thus-gone, worthy, completely perfect Buddha Amitābha!”
སངས་རྒྱས་ཀྱི་ཞིང་ཡང་དག་པར་བསྟན་པར་མཛད་པ་ན་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ན་སྔོན་སེམས་མ་བསྐྱེད་པའི་སྲོག་ཆགས་བརྒྱད་ཁྲི་བཞི་སྟོང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་སྐྱེས་སོ། ||| When that buddha realm was shown to them, 84,000 beings here in this buddha realm, who had not previously aroused the mind of awakening, now gave rise to the mind set upon unsurpassed and completely perfect awakening.
འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དུ་སྐྱེ་བར་འགྱུར་བ་དང་། བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡང་དགེ་བའི་རྩ་བ་ཡོངས་སུ་བསྔོའོ། ། ||| They dedicated the roots of virtue toward taking birth in the world of Sukhāvatī, as well as toward unsurpassed and completely perfect awakening.
འཇིག་རྟེན་གྱི་ཁམས་བདེ་བ་ཅན་དེ་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་དང་ཉན་ཐོས་ཆེན་པོ་གང་དག་འཁོད་པ་དེ་དག་གིས། འཇིག་རྟེན་གྱི་ཁམས་མི་མཇེད་འདི་མཐོང་ནས། ངོ་མཚར་དུ་གྱུར་ཏེ། ||| In the world of Sukhāvatī, the assembled bodhisattva great beings and great hearers saw the Sahā world and were amazed.
ཐལ་མོ་སྦྱར་ནས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ལ་ཕྱག་འཚལ་ཞིང་ཚིག་འདི་སྐད་ཅེས་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཤཱཀྱ་ཐུབ་པ་ལ་ཕྱག་འཚལ་ལོ་ཞེས་ཀྱང་བརྗོད་དོ། ། ||| They joined the palms of their hands and prostrated toward the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni while they called out, “Homage to the Blessed One, the thus-gone, worthy, completely perfect Buddha Śākyamuni!”
