འཕགས་པ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་རབ་ཏུ་སྒོམ་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Cultivating Trust in the Great Vehicle
བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ལས་བྱུང་བའི་བདེ་བ་དང་ཡིད་བདེ་བ་གང་ཡིན་པ་དེ་ནི་འདོད་ཆགས་དང་། ཁོང་ཁྲོ་བའི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བ་དང་། ||| “On the other hand, the well-being that bodhisattvas feel when they have trust in the Great Vehicle is free from the disturbances of attachment or anger.
མཐོན་དམན་གྱི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བ་དང་། ||| It is free from any disturbances of elation and dejection.
བདེན་པ་ལ་ཡིད་གཉིས་དང་ཐེ་ཚོམ་ཟ་བའི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བ་དང་། ||| It is free from any disturbances caused by doubt and uncertainty with regard to the truths.
ངར་འཛིན་པ་དང་། ང་ཡིར་འཛིན་པ་དང་། དེའི་རྩ་བ་ལས་བྱུང་བའི་ལྟ་བར་གྱུར་པ་ཚད་མེད་པའི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བ་དང་། ||| It is free from any disturbances caused by the limitless views that emerge from apprehending I and mine.
ཉེ་བའི་ཉོན་མོངས་པ་ཕྱིན་ཅི་ལོག་དང་། གཡེང་བ་དང་། རྒོད་པ་དང་། རྨུགས་པ་དང་། བག་མེད་པ་དང་། ངོ་ཚ་མེད་པའི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བ་དང་། ||| It is free from any disturbances caused by the mistaken subsidiary disturbing emotions, as well as distraction, excitement, dullness, carelessness, and shamelessness.
འགྲོ་བ་ལྔའི་ལས་སྣ་ཚོགས་མངོན་པར་འདུ་བྱེད་པའི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བ་དང་། ||| It is free from any disturbances caused by performing the various actions of the five types of beings.
སྡུག་བསྔལ་གྱི་བདེན་པས་བསྡུས་པའི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བ་དང་། ||| It is free from any disturbances subsumed within the truth of suffering.
འདི་ལྟར་ཉོན་མོངས་པ་དང་། ལས་དང་། ཚེའི་ཀུན་ནས་ཉོན་མོངས་པའི་རྒྱུ་དང་འབྲས་བུར་བཅས་པའི་རྒྱུན་ལས་འཇུག་པའི་རབ་ཏུ་མ་ཞི་བ་དང་བྲལ་བའི་ཕྱིར་རབ་ཏུ་ཞི་བའོ། ། ||| In this way, since it is free from any disturbances within the sequence of cause and effect of the pollution of disturbing emotions, actions, and birth, it is genuinely peaceful.
རབ་ཏུ་ཞི་བའི་ཕྱིར་འཕགས་པའི་ཆོས་འདུལ་བ་ལ་ལུས་དང་སེམས་སིམ་པར་འགྱུར་ཏེ། ||| Since it is genuinely peaceful, it satisfies both the body and mind precisely in the way that the Dharma-Vinaya of the noble ones does.
རིགས་ཀྱི་བུ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པས་བརླན་པའི་མཚན་ཉིད་དོ། ། ||| This, noble son, is the characteristic of saturation with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle.”
བྱང་ཆུབ་སེམས་དཔའ་དད་པ་ཐབས་ཆེན་གྱིས་གསོལ་པ། ||| The bodhisattva Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་སླད་དུ་ཐེག་པ་ཆེན་པོ་ལ་དད་པས་བརླན་པའི་མཚན་ཉིད་དང་། བདེ་བ་དང་ཡིད་བདེ་བའི་དོན་འདི་ངོ་མཚར་ཏོ། ། ||| “Blessed One, it is wonderful to hear about the characteristic of saturation with respect to the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle, as well as the meaning of physical and mental well-being!
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་སླད་དུ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ལས་བྱུང་བའི་བདེ་བ་དང་ཡིད་བདེ་བའི་དོན་ལས་རབ་ཏུ་མོས་པར་བགྱིའོ། ། ||| “Blessed One, I will apply myself to attaining that physical and mental well-being that arises from the bodhisattvas’ trust in the Great Vehicle.
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་སླད་དུ་ཐེག་པ་ཆེན་པོ་ལ་དད་པའི་རྣམ་པའི་མཚན་ཉིད་གང་ལགས། ||| Blessed One, please tell me, what are the qualities with respect to the bodhisattvas’ trust in the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་རྣམ་པ་གསུམ་གྱིས་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་འཇུག་སྟེ ||| “Noble son, the bodhisattvas practice trust in the Great Vehicle with three qualities so that they can accomplish the Great Vehicle.
ཡིད་ཆེས་པའི་རྣམ་པ་དང་། འགྱུར་བའི་རྣམ་པ་དང་། མངོན་པར་དགའ་བའི་རྣམ་པའོ། ། ||| They are the quality of conviction, the quality of transformation, and the quality of delight.”
གསོལ་པ། ||| Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་སླད་དུ་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ཡིད་ཆེས་པའི་རྣམ་པས་འཇུག་པ་ཇི་ལྟ་བུ་ལགས། ||| “Blessed One, how does one adopt the quality of conviction concerning trust in the Great Vehicle that allows one to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ཟབ་ཅིང་རྒྱ་ཆེ་བའི་ཆོས་བསྟན་པ་རྣམས་ལ་ཐོག་མ་ཉིད་དུ་ཡོད་པར་མོས་སོ། ། ||| “Noble son, a bodhisattva must first acknowledge the existence of the profound and vast Dharma teachings.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
འདི་ལྟར་ཆོས་འདི་དག་ནི་དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱི་ཡུལ་དེ་བཞིན་གཤེགས་པ་ཉིད་ཀྱིས་གསུངས་པར་འོས་པའོ། ། ||| These teachings are the domain of the thus-gone ones, and they are what the thus-gone ones teach.
དེ་བས་ན་དེ་བཞིན་གཤེགས་པ་རྣམས་ཉིད་ཀྱིས་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་ཏེ་རྟོག་གེ་པ་རྣམས་ཀྱི་ཡུལ་མ་ཡིན་ནོ། ། ||| Therefore, when the thus-gone ones fully awaken, that is not within the domain of logicians.
འདི་ལྟར་རྟོག་གེ་པ་རྣམས་ནི་ཟབ་ཅིང་རྒྱ་ཆེ་བའི་ཆོས་འདི་ལྟ་བུ་དག་ཐོས་ན་དངང་བར་གྱུར་ཏེ་རྟོགས་པར་ལྟ་བ་ག་ལ་འགྱུར། ||| In fact, when logicians hear these profound and vast teachings, they become alarmed, so how could they ever realize them?
དེ་བས་ན་དེ་དག་ནི་རྟོག་གེ་པ་རྣམས་ཀྱི་ཡུལ་མ་ཡིན་ནོ། ། ||| Therefore, these teachings are not within the domain of those who rely on logic.
སངས་རྒྱས་རྣམས་ཀྱི་བྱང་ཆུབ་ཇི་ལྟར་དེ་དག་གིས་བསྟན་པའི་ཆོས་དེ་དག་ཀྱང་དེ་བཞིན་དུ་ཡོད་དེ། ||| Just as with the awakening of the buddhas, so it is with the teachings they impart.
དེའི་ཕྱིར་སངས་རྒྱས་བཅོམ་ལྡན་འདས་དེ་དག་གི་ཆོས་བསྟན་པ་ཟབ་ཅིང་རྒྱ་ཆེ་བ་འབྲས་བུ་དང་བཅས་པ་ལ་ཡོད་པ་ཉིད་དུ་མོས་ནས་བྱང་ཆུབ་སེམས་དཔའ་ཡིད་ཆེས་པའི་རྣམ་པས་དད་པ་སྐྱེད་དོ། ། ||| Therefore, bodhisattvas must first develop trust through the quality of conviction and take interest in the profound and vast teachings of the blessed buddhas, as well as their result.”
གསོལ་པ། ||| Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའ་རྣམས་ཀྱི་ཐེག་པ་ཆེན་པོའི་སླད་དུ་ཐེག་པ་ཆེན་པོ་ལ་དད་པར་འགྱུར་བའི་རྣམ་པས་འཇུག་པ་ཇི་ལྟ་བུ་ལགས། ||| “Blessed One, how does the quality of transformation engender the bodhisattvas’ trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་བྱང་ཆུབ་སེམས་དཔའ་ཟབ་ཅིང་རྒྱ་ཆེ་བའི་ཆོས་ཡོད་པ་ཡོན་ཏན་དང་ལྡན་པ་དག་ལ་རྣམ་པ་དུ་མར་མོས་ཤིང་ལུས་ཀྱི་འགྱུར་བ་དང་། སེམས་ཀྱི་འགྱུར་བ་དང་བཅས་པར་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་སྐྱེད་དོ། ། ||| “Noble son, for bodhisattvas to develop the trust in the Great Vehicle that allows them to accomplish the Great Vehicle, they must bring to mind all the profound and vast Dharma teachings and their numerous qualities. As they do so, they will undergo physical and mental transformations.”
གསོལ་པ། ||| Great Skillful Trust said,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ཆེན་པོའི་ཕྱིར་ཐེག་པ་ཆེན་པོ་ལ་དད་པ་ལས་བྱུང་བའི་ལུས་ཀྱི་འགྱུར་བ་ཇི་ལྟ་བུ་ལགས། ||| “Blessed One, what are the physical transformations that occur when bodhisattvas feel the trust in the Great Vehicle that allows them to accomplish the Great Vehicle?”
