འཕགས་པ་མི་འམ་ཅིའི་རྒྱལ་པོ་སྡོང་པོས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of the Kiṃnara King Druma
སྙན་པའི་སྒྲ་དབྱངས་རྣམ་པར་དག་དང་ལྡན། །ཚངས་པའི་སྒྲ་དབྱངས་ལྟ་བུར་འཇམ་པའི་གསུང་། །ཐམས་ཅད་དབྱངས་ཀྱི་ཡན་ལག་གསུང་ཚུལ་རྫོགས། །བདེན་པ་སྙན་གསུང་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། ། ||| “You speak in pure and delightful tones And your voice is soft like the voice of Brahmā. Having perfected all the elements of speech, You convey the truth in a melodious way; I pay homage to you!
སྟོང་པ་མཚན་མ་མེད་ཅིང་སྨོན་དང་བྲལ། །ཟབ་མོ་བལྟ་དཀའ་ཤིན་ཏུ་རྟོགས་པར་དཀའ། །ཐར་ལ་འཇུག་པར་མཁས་པ་བློ་གྲོས་ལྡན། །ཐར་པའི་ལམ་དགྱེས་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། ། ||| “Wise One, you are expert in the entry to the liberations— The profound emptiness, the absence of marks, and the absence of wishes That are difficult to perceive and extremely hard to realize— And you are delighted by the path of liberation; I pay homage to you!
རྒྱུ་ལ་རྟེན་པ་མཁས་པའི་བཅོམ་ལྡན་འདས། །མཐའ་གཉིས་ལྟ་བ་རྟག་ཏུ་མི་མངའ་བ། །ལས་ཀྱི་རྣམ་སྨིན་འབྲས་བུ་ཁོ་ན་གསུང་། །ལྟ་བའི་མུན་བྲལ་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། ། ||| “Blessed One, you are expert in causality. Forever free from the views of the two extremes, You only describe the ripened effects of actions, And you are liberated from the darkness of views; I pay homage to you!
གང་ནས་མ་བྱོན་གང་དུའང་གཤེགས་མ་ལགས། །རྟག་ཏུ་དབེན་པའི་ཆོས་རྣམས་རབ་གསུང་བ། །སྨིག་རྒྱུ་རྒྱུ་བཞིན་ང་ཡི་མི་མངའ་བ། །དགེ་བའི་ཆོས་ཚུལ་ཁྱོད་ལ་ཕྱག་འཚལ་ལོ། ། ||| “You expound on phenomena that are always void— That do not come from or go anywhere— Phenomena that are free of ‘mine,’ like mirages and illusions. You who teach the way of the virtuous Dharma, I pay homage to you!
སྐྱེ་བ་མི་སྐྱེ་གང་དུའང་སྐྱེ་མ་ལགས། །སྐྱེ་དང་འཇིག་དང་གང་དུའང་མི་བས་པ། །ཆོས་ཀྱི་གནས་ཉིད་ཇི་ལྟའི་གནས་ལ་གནས། །གནས་ལ་མི་གནས་རྒྱལ་ལ་ཕྱག་འཚལ་ལོ། ། ||| “That which arises is unborn—it does not arise anywhere. It arises and disintegrates, without vanishing anywhere. The abiding mode of phenomena abides in the natural ground; I pay homage to the Victor who does not abide anywhere!
དེ་བཞིན་ཁོ་ན་དེ་བཞིན་ཡང་དག་གསུང་། །རྟག་ཏུ་མི་གཡོ་དེ་བཞིན་ཉིད་ལ་བཞུགས། ། ||| “Your teachings always accord with the way things are, And you continuously dwell within suchness, without wavering.
རི་རབ་རྒྱལ་མཚན་རྡོ་རྗེ་འདྲ་བའི་སྐུ། །མི་གཡོ་རི་རབ་མཚུངས་ལ་ཕྱག་འཚལ་ལོ། ། ||| Your body, like Mount Sumeru, a victory banner, and a vajra, Is unshakeable like the Supreme Mountain; I pay homage to you!
སྐུ་ནི་དབེན་ཞིང་མཉམ་ཐུགས་བློ་ལྡན་པ། །གྲགས་པ་མཐའ་ཡས་འཇིག་རྟེན་གསུམ་གྲགས་པ། །སྐྱེས་བུ་མཆོག་ལ་ཞུ་བ་ཞུས་པ་རྣམས། །འཇིག་རྟེན་ཟླ་བས་མྱུར་དུ་སྐབས་དབྱེར་གསོལ། ། ||| “Wise One, your body is disengaged, your mind impartial, And your infinite fame pervades the three worlds. Supreme being, moon of the world, please agree To answer questions posed to you!”
དེ་ནས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྷའི་ཅོད་པན་གྱིས་ཚུལ་དང་འཐུན་པའི་ཚིགས་སུ་བཅད་པ་འདི་དག་གིས་བཅོམ་ལྡན་འདས་ལ་མངོན་པར་བསྟོད་ནས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| After the bodhisattva great being Divyamauli had praised the Blessed One with these fitting verses of praise, he said,
བཅོམ་ལྡན་འདས་གལ་ཏེ་བདག་གིས་ཞུས་པ་ལུང་བསྟན་པའི་སླད་དུ། དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ཀྱིས་སྐབས་དབྱེ་བར་གནང་ན་བཅོམ་ལྡན་འདས་ལ་བདག་ཕྱོགས་འགའ་ཞིག་ཞུའོ། ། ||| “Blessed One, should I be granted the opportunity, I would like to ask a few questions of the Blessed One, the thus-gone one, the worthy one, the perfect Buddha.”
བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྷའི་ཅོད་པན་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་ཁྱོད་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་ཅི་དང་ཅི་འདོད་པ་དྲིས་ཤིག་དང་། ངས་ ||| “Noble son, ask whatever you wish of the Thus-Gone One, the worthy one, the perfect Buddha.
དྲི་བ་དྲིས་པ་དེ་དང་དེའི་ལུང་བསྟན་པས་ཁྱོད་ཀྱི་སེམས་རངས་པར་བྱའོ། ། ||| I will answer your questions and bring satisfaction to your mind.”
བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྷའི་ཅོད་པན་གྱིས་བཅོམ་ལྡན་འདས་ལ་ལེགས་སོ་ཞེས་གསོལ་ཏེ། ||| The bodhisattva great being Divyamauli said, “Excellent!” and,
བཅོམ་ལྡན་འདས་ཀྱི་ལྟར་ཉན་ཅིང་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| heeding the Blessed One’s instructions, put his questions to the Blessed One.
བཅོམ་ལྡན་འདས་ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སྤོབས་པ་སྣ་ཚོགས་ཀྱི་རྒྱན་དང་ལྡན་པ་རྣམས་ལགས། ||| “Blessed One, how do bodhisattvas become adorned with various types of eloquence?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཆོས་ཟབ་མོ་རྣམ་པར་གདོན་མི་ཟ་བ་ལ་འཇུག་པ་ཤེས་པ་ལ་མཁས་པ་རྣམས་ལགས། ||| How do bodhisattvas become experts in the knowledge that is free of doubts with respect to the profound Dharma?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཅན་ཐམས་ཅད་ཀྱི་དབང་པོ་མཆོག་དང་མཆོག་མ་ལགས་པ་ཤེས་པ་ལ་མཁས་པ་རྣམས་ལགས། ||| How do bodhisattvas become experts in knowing which sentient beings are of the highest faculties and which are not?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སོ་སོ་ཅི་རིགས་པར་ཆོས་སྟོན་པ་ལ་མཁས་པ་རྣམས་ལགས། ||| How do bodhisattvas become experts in teaching the Dharma in accordance with each being individually?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་ཅན་ཐམས་ཅད་ལ་སེམས་ཀྱི་བསམ་པ་མཉམ་ཞིང་སྤྱོད་པ་ཤེས་པ་ལ་འཇུག་པར་མཁས་པ་རྣམས་ལགས། ||| How do bodhisattvas become experts in knowing the mental activity of all beings?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་རྒྱུ་དང་དབྱེ་བ་དང་། ལས་ཀྱི་རྣམ་པར་སྨིན་པ་ལ་འཇུག་པ་ཤེས་པ་ལ་བརྗེད་པ་མ་མཆིས་པར་སྤྱོད་པ་རྣམས་ལགས། ||| How do bodhisattvas act without forgetting the knowledge of how causes, deeds, and actions ripen?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་སྦྱིན་པའི་རྒྱན་གྱིས་བརྒྱན་པ་རྣམས་ལགས། ||| How do bodhisattvas become adorned with the ornament of generosity?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཚུལ་ཁྲིམས་ཀྱི་རྒྱན་གྱིས་བརྒྱན་པ་རྣམས་ལགས། ||| How do bodhisattvas become adorned with the ornament of discipline?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་བཟོད་པའི་རྒྱན་གྱིས་བརྒྱན་པ་རྣམས་ལགས། ||| How do bodhisattvas become adorned with the ornament of patience?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་བརྩོན་འགྲུས་ཀྱི་རྒྱན་གྱིས་བརྒྱན་པ་རྣམས་ལགས། ||| How do bodhisattvas become adorned with the ornament of diligence?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་བསམ་གཏན་གྱི་རྒྱན་གྱིས་བརྒྱན་པ་རྣམས་ལགས། ||| How do bodhisattvas become adorned with the ornament of concentration?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཤེས་རབ་ཀྱི་རྒྱན་གྱིས་བརྒྱན་པ་རྣམས་ལགས། ||| How do bodhisattvas become adorned with the ornament of insight?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་ཚངས་པའི་ལམ་ལ་མཁས་པ་རྣམས་ལགས། ||| How do bodhisattvas become experts in the path of purity?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་མངོན་པར་ཤེས་པ་ལས་མི་ཉམས་པ་རྣམས་ལགས། ||| How do the higher perceptions of bodhisattvas remain free of decline?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་གཡུལ་ལས་རྣམ་པར་རྒྱལ་བ་རྣམས་ལགས། ||| How do bodhisattvas become victorious in battle?
ཇི་ལྟར་ན་བྱང་ཆུབ་སེམས་དཔའ་རྒལ་ནས་ཕ་རོལ་ཐང་ལ་གནས་པ་རྣམས་ལགས། ||| How do bodhisattvas remain on the far shore after having crossed over?
