ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| Homage to the Omniscient One!
ཞིང་སྟོང་བྱེ་བ་གཞན་དུ་གནས་པ་ཡི། །སངས་རྒྱས་མཁས་པ་མཐའ་ཡས་བྱེ་བ་དག །སེམས་ཅན་རྣམས་ཀྱི་ཕྱིར་ནི་དགོངས་མཛད་ཅིང་། །ངན་འགྲོ་ལས་ནི་སེམས་ཅན་ཐར་བར་མཛད། ། ||| “Abiding in one trillion other fields, Ten million skillful buddhas Care for beings And liberate them from negative forms of existence.
བསྟིར་མེད་ལས་ལ་གནས་ཤིང་སྦྱིན་བྱེད་དག ། ||| “After you have performed actions of generosity
ལས་བྱས་ནས་ནི་ངན་འགྲོར་སོང་བ་རྣམས། །དེ་དག་ཐར་བར་བྱ་ཕྱིར་ཆོས་འདོད་པས། །དེ་བཞིན་གཤེགས་པ་འདི་དག་མཆོད་པར་བགྱི། ། ||| By engaging in ceaseless activity, You should worship the tathāgatas by longing for the Dharma In order to liberate those who have gone to negative forms of existence.
རི་མོར་མཆོད་རྟེན་རྣམ་པ་སྣ་ཚོགས་བྱོས། ། ||| “Produce drawings, stūpas, and various representations;
གསེར་དང་དངུལ་དང་དེ་ལྟར་ལུགས་རྣམས་དང་། །འཇིམ་པའི་སྐུ་གཟུགས་དག་ནི་བྱེད་བཅུག་ནས། ། ||| Have statues made, Some of gold or silver, some of metal or clay;
མཆོད་པ་སྣ་ཚོགས་ཀྱིས་ནི་མཆོད་པར་གྱིས། ། ||| And worship them with various offerings.
མེ་ཏོག་དང་ནི་ཕྲེང་བ་བྱུག་པ་དང་། །མར་མེ་སིལ་སྙན་དྲི་དང་སྤོས་ཀྱིས་མཆོད། ། ||| “Worship the tathāgatas with flowers, garlands, salves, Lamps, cymbals, perfume, and incense.
ཤེས་རབ་ཆེ་བས་བསྔོ་བ་དག་ཀྱང་གྱིས། ། ||| With superior insight, dedicate merit as well.
མདོ་སྡེ་བཤད་ཅིང་འདིར་ཡང་བཞུགས་པར་གྱིས། ། ||| Explain the teachings of the sūtras, and abide by them.
དེ་བཞིན་གཤེགས་དང་མདོ་སྡེའི་གཟི་བརྗིད་ཀྱིས། །སྡིག་པའི་ལས་ལས་སེམས་ཅན་དེ་ཐར་གྱིས། ། ||| “The majesty of the Tathāgata and of the collection of sūtras Will liberate beings from negative actions.
བླ་མེད་བྱང་ཆུབ་རེག་པར་འགྱུར་བར་དུ། །དག་པའི་གནས་སུ་སྐྱེ་བ་འཛིན་པར་འགྱུར། ། ||| They will take rebirth in pure abodes Until they reach unsurpassable awakening.
སྔོན་གྱི་ལས་རྣམས་རྗེས་སུ་དྲན་འགྱུར་ཞིང་། །དྲན་ནས་མཁས་པ་སྡིག་པ་བྱེད་མི་འགྱུར། ། ||| “They will remember their former actions, and having done so, Those who understand will not commit negative actions again.
མི་ཡི་བྱང་ཆུབ་སེམས་དཔས་མདོ་སྡེ་འདི། །བཤད་པ་དེས་ནི་བསོད་ནམས་མང་དུ་ཐོབ། ། ||| By expounding the bodhisattvas’ collection of sūtras for the sake of humans, They will obtain great merit.
དེ་ནི་ལྷ་རྣམས་ཀུན་གྱིས་བསྲུང་བར་འགྱུར། ། ||| “They will be protected by the gods.
དེ་ཡི་ལུས་འདི་ལ་ནི་ནད་མི་འབྱུང་། ། ||| In their bodies no disease will occur.
དེ་ཡི་རྒྱལ་སྲིད་ཀུན་ལ་གནོད་མི་འབྱུང་། ། ||| Nowhere in their kingdoms will there be strife,
ཁྱིམ་དང་གྲོང་དང་གྲོང་ཁྱེར་ཞི་བར་འགྱུར། ། ||| And in their homes, villages, and cities there will be peace.
གང་ཞིག་མདོ་སྡེ་འདི་ནི་རྟག་འཛིན་པ། །སངས་རྒྱས་རྣམས་ཀྱི་མཛོད་ནི་རྟག་འཛིན་འགྱུར། ། ||| “Whoever holds at all times this collection of sutrās Holds at all times the treasury of the buddhas.
གང་ཞིག་མཆོད་ཅིང་རྗེད་དང་འདྲིར་འཇུག་དང་། །ལས་གཞན་མེད་པར་ཉན་དུ་འཇུག་པ་ནི། །དེས་ནི་སངས་རྒྱས་ཡང་དག་མཆོད་པར་འགྱུར། ། ||| Whoever worships and venerates it, has it copied, and makes it heard, They, without doing anything else, Will perfectly worship the Buddha,
དེས་ནི་མྱུར་དུ་བྱང་ཆུབ་མཆོག་རྟོགས་འགྱུར། ། ||| And will quickly attain supreme awakening.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྟད་མོ་ཅན་གྱིས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The eager bodhisattva mahāsattva asked the Blessed One,
བཅོམ་ལྡན་འདས་བདག་ནི་འདི་ལ་ཐེ་ཙོམ་སྐྱེས་ཏེ། ||| “Blessed One, I have some qualms about this.
བཅོམ་ལྡན་འདས་ཅི་ལུས་འདིས་རྒྱལ་སྲིད་ཀྱི་ལོངས་སྤྱོད་བསྒྲུབས་ནས་ ||| Having come into possession of a kingdom with this body,
སླར་ཡང་སྡུག་བསྔལ་བསྒྲུབ་པར་འགྱུར་རམ། ||| will one again experience suffering?
འཁོར་བར་འཁོར་བའི་ཚེ་སྐྱོ་བར་མི་འགྱུར་རམ། ||| Or will there not be any sorrow when one circles in saṃsāra?
སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་རྣམས་མྱོང་བར་འགྱུར་ཞིང་ ||| Or alternatively, as one will experience again birth, old age, sickness, death, misery, despair, lamentation, suffering, and unhappiness,
ཇི་ལྟར་སྐྱེ། ||| how will one be born, [die, live, and gain happiness]?
ཇི་ལྟར་འགུམ། ||| how will one [be born,] die, [live, and gain happiness]?
ཇི་ལྟར་འཚོ། ||| how will one [be born, die,] live, [and gain happiness]?
ཇི་ལྟར་བདེ་བ་སྒྲུབ་པར་འགྱུར། ||| how will one [be born, die, live, and] gain happiness?
ཇི་ལྟར་སྡུག་བསྔལ་མྱོང་བར་འགྱུར། ||| How will one experience suffering?”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་ལྟད་མོ་ཅན་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One answered the eager bodhisattva mahāsattva,
ལྟད་མོ་ཅན་འདི་ནི་ལས་ཀྱི་རྐྱེན་ཡིན་པར་བལྟ་བར་བྱའོ། ། ||| “You who are eager, you should consider that these experiences are conditioned by karma.
རིགས་ཀྱི་བུ་ཡང་འདི་ལ་གང་ཡང་སྐྱེ་བ་མེད། འཆི་བ་མེད། འཚོ་བ་མེད་དེ། ||| Now, son of noble family, there is no birth, no death, no life in this world.
རིགས་ཀྱི་བུ་འདི་ལ་རྒ་བ་དང་། འཆི་བ་མེད་ཀྱི། འཚོ་བའི་ཁམས་ནི་རྟག་ཏུ་ལུས་ཀྱི་རྣམ་པར་ཤེས་པ་ལ་གནས་སོ། ། ||| Son of noble family, although there is no old age and death here, one’s state of life is always dependent on the body consciousness.
ཡང་ལས་ཀྱི་རྐྱེན་དང་ལས་ཀྱི་གཞིས་སྐྱེ་བ་སྣ་ཚོགས་སུ་འོངས་ཤིང་འཕོས་ནས་བདེ་བ་དང་། སྡུག་བསྔལ་མྱོང་བར་འགྱུར་ཏེ། ||| Furthermore, when one transmigrates to various births due to karmic conditions and karmic circumstances, one will experience happiness and suffering.
བདེ་བ་ལ་བདེ་བར་འདུ་ཤེས། སྡུག་བསྔལ་ལ་སྡུག་བསྔལ་དུ་འདུ་ཤེས། བདེ་བ་ཡང་མ་ཡིན། ||| One has the notion of happiness as happiness and suffering as suffering.
སྡུག་བསྔལ་བ་ཡང་མ་ཡིན་པ་ལ་བདེ་བ་ཡང་མ་ཡིན། ||| One gives rise to the notion that non-happiness is not happiness and that non-suffering is not suffering.
སྡུག་བསྔལ་བ་ཡང་མ་ཡིན་པའི་འདུ་ཤེས་སྐྱེད་མོད་ཀྱི། ལྷག་མ་མ་ལུས་པའི་མྱ་ངན་ལས་འདས་པའི་དབྱིངས་སུ་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བའི་ཆོས་ཅན་དུ་གྱུར་གྱི་བར་དུ་སྐྱོ་བའི་སེམས་སྐྱེད་པར་འགྱུར་རོ། ། ||| Nonetheless, until one possesses the qualities of nirvāṇa in the realm of nirvāṇa without remainder, one will still be subject to sorrow.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| “Son of noble family, it is as follows.
དཔེར་ན་སྐྱེས་བུ་ལ་ལ་ཞིག་གོས་སར་པ་གྱོན་ཏེ། ||| As an analogy, consider someone who puts on new clothes.
དེ་ལ་དེ་གྱོན་ནས་ལས་ཐམས་ཅད་བྱེད་ཅིང་བདེ་བ་དང་སྡུག་བསྔལ་ཡང་མྱོང་བར་འགྱུར་རོ། ། ||| Having put them on, this person performs all sorts of actions and experiences happiness and suffering.
ཡང་དུས་གཞན་ཞིག་ན་གོས་དེ་རྙིངས་ཤིང་མུགས་ཏེ་དྲི་མ་ཅན་མཐར་བཤད་པར་གྱུར་པ་དང་། དེས་དེ་བོར་བའི་ཆོས་ཅན་དུ་ཤེས་ནས་བོར་རོ། ། ||| Later, at another time, this person is finally told that these clothes, being old and moth-eaten, are dirty, upon which he realizes that they should be thrown away, and thus he gets rid of them.
བོར་ནས་ཡང་གོས་སར་པ་གསར་མ་གཞན་ཞིག་བཙལ་ཏེ་གྱོན་ནོ། ། ||| Once he is rid of them, he again looks for brand new clothes to wear.
དེས་གྱོན་ན་ཡང་ལས་བྱེད་ཅིང་བདེ་བ་དང་སྡུག་བསྔལ་མྱོང་བར་འགྱུར་ནས་ ||| When he has put them on, he performs various actions and experiences happiness and suffering.
དོན་དམ་པའི་གོས་སྲ་ཞིང་བརྟན་ལ་མི་ཤིགས་ཤིང་མི་ཆོད་པ་གྱོན་པར་མ་གྱུར་བར་དུ་གཅིག་ནས་གཅིག་ཏུ་བརྒྱུད་པ་འདི་ལྟ་བུས་བསྐལ་པ་དུ་མ་འདས་ཀྱང་གོས་དེ་བགོས་སོ་ཤེའམ། བོར་རོ། ། ||| Until this person has put on genuine clothes that are durable and everlasting, indestructible and unbreakable, then though many eons pass, one after another, he will either have to wear such temporary clothes or throw them away.
ཞེས་མི་རྟོག་རྣམ་པར་མི་རྟོག་གིས་དེ་ནི་ལུས་ཀྱི་དབང་དུ་འགྲོའོ། ། ||| He does not think about this nor reflect upon it; he is under the influence of the body.
རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་གང་གི་ཚེ་འཚོ་བའི་ཁམས་དེས་ལུས་འཇིག་པ་དང་། འགྱེལ་བའི་མཐར་གྱུར་པ་མཐོང་བ་དེའི་ཚེ་ལུས་དེ་བོར་ནས་ ||| Likewise, son of noble family, at a certain time, due to one’s state of life, one’s body perishes and is seen to be on the point of collapse. At that time, one discards this body and
ཡང་སར་པ་གཞོན་ནུ་གཞན་བཙལ་ཏེ། ||| looks for another that is new and young.
དེ་དེའི་ལས་བྱེད་ཅིང་དེ་བགོས་ནས་བདེ་བ་དང་སྡུག་བསྔལ་མྱོང་བར་འགྱུར་རོ། ། ||| Taking it on and performing actions with it, one will experience happiness and suffering.
ཇི་ལྟར་རང་གི་བསོད་ནམས་ལས་སྐྱེས་པའི་གོས་དེ་འཇམ་པ་དང་། སྲ་བ་དང་། རྩུབ་པའི་བགོ་བ་དེ་བཞིན་དུ་འཚོ་བའི་ཁམས་ཀྱིས་བགོ་བ་ལྟ་བུའི་ལུས་བླངས་ཏེ ||| Just as clothes arisen from one’s own merit are soft, hard, or rough, so too one adopts the body that one takes on according to one’s state of life.
ཇི་ལྟར་རང་གི་ལས་ཀྱི་རྐྱེན་གྱི་དགེ་བའི་རྩ་བ་ལས་སྐྱེས་པ་བཞིན་དུ་ལྷ་དང་། རྒྱལ་པོ་དང་། སེམས་ཅན་དམྱལ་བ་དང་། དུད་འགྲོའི་སྐྱེ་གནས་དང་། གཤིན་རྗེའི་འཇིག་རྟེན་རྣམས་སུ་སྐྱེ་བར་འགྱུར་ཏེ ||| Just as one is born according to one’s roots of virtue—namely, one’s karmic conditions—one will be born as a god, a king, a hell being, an animal, or a being from the world of Yama.
ལུས་དེ་ཡང་འཚོ་བའི་ཁམས་ཀྱི་དབང་གིས་འགྲོ་ཞིང་འཚོ་བའི་ཁམས་ཀྱིས་ཡོངས་སུ་བཏང་ཡང་མི་རྟོག ། ||| Although this body is also influenced by one’s state of life and is given up according to one’s state of life, one does not think about this,
རྣམ་པར་མི་རྟོག་གོ། ། ||| nor reflect upon it.
རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་ལུས་གོས་ལྟ་བུར་བལྟ་བར་བྱའོ། ། ||| Son of noble family, you should look upon the body just as you look upon these clothes.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| “Son of noble family, it is like
དཔེར་ན་སྦྲུལ་ནི་ལས་ཀྱི་རྐྱེན་གྱིས་དུས་ཀྱི་མཐར་ཤུན་པ་དེ་བོར་ནས་རང་གི་ལུས་ཀྱི་གཟུགས་ཀྱིས་འགྲོ་ཞིང་འོང་སྟེ། ||| a snake that, when the time has come on account of karmic conditions, sheds its skin, and then comes and goes in keeping with its physical shape.
བདེ་བ་དང་སྡུག་བསྔལ་མྱོང་བར་གྱུར་ཀྱང་ཤུན་པ་དེ་མི་རྟོག ། ||| Although the snake will experience happiness and suffering, it does not think about its skin
རྣམ་པར་མི་རྟོག་གོ། ། ||| nor reflect upon it.
དེ་བཞིན་དུ་འཚོ་བའི་ཁམས་ནི་སྦྲུལ་ལྟ་བུར་བལྟའོ། ། ||| You should look upon your state of life just as you look upon this snake.
རིགས་ཀྱི་བུ་འདི་ལྟ་སྟེ། ||| “Son of noble family, it is like
དཔེར་ན་ཤིང་ལོ་མ་དང་འདབ་མར་ལྡན་པར་གྱུར་པ་ལས། ཡང་དུས་ཀྱི་རྐྱེན་གྱིས་འཇིག་པ་དང་ལྟུང་བར་མཐར་འགྱུར་བའི་ཆོས་ཅན་དུ་གྱུར་ནས་ ||| a tree that, after it has developed its leaves and foliage, will then, with time, evolve so that finally they wither and fall.
ཕྱིས་ཡང་དུས་ཀྱི་རྐྱེན་གྱིས་མྱུ་གུ་དང་། ཡལ་ག་དང་། འདབ་མ་དང་། མེ་ཏོག་དང་། འབྲས་བུ་རྣམས་ལེན་ཏེ ||| And then yet later again, with time, it will grow buds, branches, foliage, flowers, and fruit.
རིགས་ཀྱི་བུ་དེ་བཞིན་དུ་ལས་ཀྱི་རྐྱེན་གྱིས་སྐྱེ་བ་དང་འགག་པར་བལྟའོ། ། ||| Son of noble family, it is in this way that you should look upon arising and cessation due to karmic conditions.
རིགས་ཀྱི་བུ་ཡང་ཕྱི་མའི་དུས་ཕྱི་མའི་དུས་ཀྱི་ཚེ་ན་སེམས་ཅན་དག་རྙེད་པ་དང་། ཆགས་པ་དང་། ཁྲོ་བ་དང་། ཕྲག་དོག་དང་། ང་རྒྱལ་མང་བ་དག་འབྱུང་སྟེ ||| “Now, son of noble family, some time in the future beings will experience more greed, attachment, anger, envy, and pride.
སྲང་དང་གཞལ་བ་ལ་གཡོ་བྱེད་པར་དགའ་བ་འདོད་ཆགས་ཀྱི་རྗེས་སུ་སྤྱོད་པ་དག་འབྱུང་སྟེ། ||| As they cause the scales and weights of karma to move, their behavior will follow upon pleasure and attachment, so that
དེ་དག་འདོད་པའི་རྒྱུ་དང་འདོད་པའི་གཞིས་སྡིག་པ་མང་དུ་བྱེད་པར་འགྱུར་ཏེ། ||| they will commit more negative actions based upon or caused by their attachment.
སྡིག་པ་མང་དུ་བྱས་ནས་ ||| Committing more negative actions,
སྡུག་བསྔལ་མྱོང་བར་འགྱུར་ཞིང་ ||| they will experience suffering.
མི་རྟག་པ་ལ་རྟག་པའི་འདུ་ཤེས་ཅན་དང་། མི་གཙང་བ་ལ་གཙང་བའི་འདུ་ཤེས་ཅན་གྱིས་སངས་རྒྱས་དང་ཆོས་དང་དགེ་འདུན་ལ་མཆོད་པ་བྱེད་པར་མི་འགྱུར་ཏེ ||| They who construe impermanent things as permanent and the impure as pure will not venerate the Buddha, the Dharma, and the Saṅgha.
བྱིས་པའི་བློ་ཅན་དེ་དག་དགེ་བའི་བཤེས་གཉེན་མི་ཚོལ་གྱི། ||| These infantile people will not seek out a spiritual friend.
གང་དེ་ལྟ་བུའི་སེམས་ཅན་དེ་དག་ལ་ཆོས་སྟོན་པ་དེ་དག་ལ་དགོད་ཅིང་ཀྱལ་ཀ་བྱེད་པ་མང་བར་འགྱུར་གྱི། ||| Instead, they will mock and ridicule those who teach them the Dharma, rather than
དད་པར་མི་བྱེད། ཡིད་ཆེས་པར་མི་བྱེད་དེ། ||| having faith or trust in them.
དེ་ལྟ་བུའི་སེམས་ཅན་དེ་དག་ནི་སྡིག་པ་སྤྱོད་དོ། ། ||| Such beings will perform negative actions.
དེ་དག་གིས་འཚོ་བའི་ཁམས་དེས་ལས་ཀྱི་རྐྱེན་ཇི་ལྟ་བ་བཞིན་དུ་མྱོང་བར་འགྱུར་བའི་བགོ་བའི་ལུས་བླངས་ནས་ ||| They will adopt the body that they take on and which they will experience in keeping with karmic conditions and according to their particular state of life.
སྡུག་བསྔལ་ལ་དགའ་བའི་འདུ་ཤེས་སྐྱེད་དོ། ། ||| They will then give rise to notions of suffering and pleasure.
རིགས་ཀྱི་བུ་དེ་ལྟ་བས་ན་དེ་བཞིན་གཤེགས་པས་བཀའ་སྩལ་པ། ||| “Son of noble family, this is the answer of the Tathāgata.
འདི་ནི་ལས་ཀྱི་རྐྱེན་ཡིན་པར་བལྟ་སྟེ། ||| This body should be regarded as karmically conditioned.
འདི་ལ་སུ་ཡང་འཆི་བ་མེད། ||| For this body also there is no death,
འཚོ་བ་མེད། ||| there is no life;
བདེ་བ་དང་། སྡུག་བསྔལ་ཡང་མྱོང་བར་མི་འགྱུར་ཏེ། ||| happiness and suffering will not be experienced but
ལས་ཀྱི་རྒྱུ་ལས་ཀྱི་རྐྱེན་གྱིས་སྐྱེ་བ་དང་འགག་པར་འགྱུར་རོ། ། ||| they will arise and cease according to karmic causes and conditions.
སེམས་ཅན་དེ་དག་གི་དོན་དུ་དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་དཀའ་བ་སྤྱོད་པ་བྱེ་བ་ཁྲག་ཁྲིག་བརྒྱ་སྟོང་དུ་མ་མཛད་ནས་ ||| The tathāgatas have undergone sextillions of hardships for the sake of beings.
བདོག་པ་ཐམས་ཅད་ཡོངས་སུ་བཏང་ནས་ ||| Having completely given up all their possessions,
བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་སངས་རྒྱས་པར་འགྱུར་ཏེ ||| they become perfectly awakened within unsurpassable, complete, and perfect awakening, and
སེམས་ཅན་ཐམས་ཅད་ཀྱང་མྱ་ངན་ལས་འདས་པ་ཆེན་པོ་ལ་བཀོད་དོ། ། ||| establish all beings, too, in great nirvāṇa.”
དེ་ནས་དེའི་ཚེ་ན་དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་ཀྱིས་ས་ཆེན་གཡོས་པར་གྱུར་ཏོ། ། ||| At that point, the Tathāgata’s sovereign power caused the whole earth to tremble.
ཇི་ལྟར་ལྷགས་པའི་འཁོར་དེ་དག་གིས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་ལེགས་སོ་ཞེས་གསོལ་ཏོ། ། ||| The assembled retinue said to the Tathāgata, “Excellent!”
རྒྱལ་པོ་གསལ་རྒྱལ་དང་གཞན་ཡང་མཐུ་ཆེན་པོ་མཐུ་ཆེ་བ་རྫུ་འཕྲུལ་ཆེན་པོ་མང་པོས་ལྷའི་ན་བཟའ་ལྔ་བརྒྱས་དེ་བཞིན་གཤེགས་པ་ལ་མངོན་པར་མཆོད་ནས་ ||| King Prasenajit and the others, by means of many, great, more and more powerful supernatural powers, made an offering to the Tathāgata of five hundred divine garments.
ལུས་འདར་བཞིན་དུ་བཅོམ་ལྡན་འདས་ལ་ལན་གསུམ་བསྐོར་བ་བྱས་ཏེ ||| Trembling, they circumambulated the Tathāgata three times.
དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་སྤྱན་སྔར་སྡིག་པ་ཐམས་ཅད་ཉེས་པ་ལ་ཉེས་སོ་ཞེས་སོ་སོར་བཤགས་ཏེ་ ||| In the presence of all the tathāgatas, each of them confessed that the faults consisting of all their negative actions had indeed been committed, and
བསླབ་པ་ལ་ཡི་དམ་བཅའ་བར་བྱ་སྟེ། ||| they promised to adopt the training.
ཇི་ལྟར་ལྷགས་པའི་འཁོར་དེ་དག་གིས་འདི་སྐད་དུ་སྨྲས་སོ། ། ||| At the same time, the assembled retinue exclaimed,
དེ་བཞིན་གཤེགས་པ་སྐྱེ་བ་ཐམས་ཅད་ལས་སླར་ལོག་པ། སེམས་ཅན་ཐམས་ཅད་སྡུག་བསྔལ་ལས་སྒྲོལ་བ། གྲོལ་བ་ཐམས་ཅད་ལ་ཕྱག་བགྱིའོ། ། ||| “Tathāgata, we pay homage to those who have turned away from all births, freed all beings from suffering, and attained liberation.
ཕྱག་འཚལ་ལོ། ། ||| Homage to them!
བཅོམ་ལྡན་འདས་སླན་ཆད་བདག་ཅག་སྐྱེ་བའི་འཁོར་བར་སྡུག་བསྔལ་མྱོང་བར་སྤྲོ་བར་མི་བགྱིད་དོ། ། ||| Blessed One, in the future, we will not take any delight in the experiences of suffering in saṃsāra.
བཅོམ་ལྡན་འདས་བདག་ཅག་སྐྱེ་བ་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། མྱ་ངན་དང་། སྨྲེ་སྔགས་འདོན་པ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་རྣམས་ལས་གྲོལ་བར་མཛད་དུ་གསོལ། ||| Blessed One, we pray that you liberate us from birth, old age, disease, death, misery, despair, lamentation, suffering, unhappiness, and distress.”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
རིགས་ཀྱི་བུ་དག་ནན་ཏན་སྙིང་པོར་བྱེད་པའི་དགེ་བའི་རྩ་བས་དཀོན་མཆོག་གསུམ་ལ་ལྷག་པའི་བསམ་པ་དང་ལྡན་པར་བྱོས་ཤིག ། ||| “Sons of noble family, with roots of virtue that focus upon diligent application, may you acquire the superior intention directed at the Three Jewels.
འདུ་བྱེད་ཐམས་ཅད་མི་རྟག་ཅིང་སྒྱུ་མ་ལྟ་བུར་ཤེས་པར་བྱོས་ཤིག ། ||| Know all conditioned phenomena to be impermanent and like illusions.
དམ་པའི་ཆོས་ཡོངས་སུ་གཟུང་བ་ལ་སྤྲོ་བར་བྱོས་ཤིག ། ||| Be filled with joy at upholding the holy Dharma.
མཆོད་པ་དང་། རྗེད་པ་དང་། བཀུར་སྟི་མང་བར་བྱོས་ཤིག ། ||| May you worship, revere, and venerate it more and more.
སེམས་ཅན་ཐམས་ཅད་ལ་མཆོག་ཏུ་སྙིང་རྗེ་བར་ཤེས་པར་བྱོས་ཤིག ། ||| Know it as supreme compassion for all beings.
ཆོས་སྨྲ་བ་ལ་དེ་བཞིན་གཤེགས་པའི་འདུ་ཤེས་བསྐྱེད་པར་བྱོས་ཤིག ། ||| Consider the one who expounds the Dharma as a tathāgata.
དགེ་བའི་བཤེས་གཉེན་ལ་བླ་མར་འདུ་ཤེས་བསྐྱེད་པར་བྱོས་ཤིག ། ||| Consider virtuous friends as gurus.
ཆོས་ཀྱི་རྣམ་གྲངས་འདི་ཡིད་ལ་བྱ་བ་དང་། སྒོམ་པ་དང་། རྒྱས་པར་བྱོས་ཤིག ། ||| Keep in mind, cultivate, and spread the various Dharma discourses.
རིགས་ཀྱི་བུ་སྡུག་བསྔལ་ཐམས་ཅད་དང་། སྐྱེ་བ་ཐམས་ཅད་དང་། རྒ་བ་དང་། ན་བ་དང་། འཆི་བ་དང་། སྡུག་བསྔལ་བ་དང་། ཡིད་མི་བདེ་བ་དང་། འཁྲུག་པ་ཆེན་པོ་ལས་ཡོངས་སུ་གྲོལ་བར་འགྱུར། ||| Sons of noble family, you will be liberated from all sufferings, all births, old age, disease, death, misery, unhappiness, and great distress.
འཁོར་བའི་ཞགས་པ་ལས་ཡོངས་སུ་གྲོལ་བར་འགྱུར་རོ། ། ||| You will be liberated from the noose of saṃsāra.
འཕགས་པའི་ལམ་ཡན་ལག་བརྒྱད་པའི་དགེ་བའི་རྩ་བ་ལ་བསྒྲུབ་པར་བྱོས་ཤིག ། ||| Practice the roots of virtue, that is, the noble eightfold path.
བག་མེད་པའི་གནས་ལས་སླར་ལྡོག་པར་བྱོས་ཤིག ། ||| May you turn away from the state of not being vigilant.
རིགས་ཀྱི་བུ་དེ་བཞིན་གཤེགས་པའི་བསླབ་པ་ཅིག་ཡུད་ཙམ་པ་བཟུང་བས་ཀྱང་སེམས་ཅན་རྣམས་སྡུག་བསྔལ་ཐམས་ཅད་ལས་ཡོངས་སུ་གྲོལ་ཞིང་བདེ་འགྲོར་འགྲོ་སྟེ་ ||| “Sons of noble family, once beings adopt even a single training of the Tathāgata for only a short while, they will be liberated from all suffering, experience pleasant rebirths, and
ངན་འགྲོར་མི་འགྲོ་བར་འགྱུར་ན ||| will not experience negative forms of existence.
གང་དག་དགོད་པ་དང་། ཀུ་རེ་དང་། དགའ་བ་དང་། རྩེད་མོ་རྣམས་ཡིད་ཀྱིས་ཡོངས་སུ་སྤངས་ནས་ ||| That being so, what need is there to mention those who, after abandoning jokes, amusement, pleasure, and games,
དེ་བཞིན་གཤེགས་པ་ལ་མཆོག་ཏུ་མོས་པས་རིམ་གྲོ་བྱེད་ཅིང་ལྷག་པའི་བསམ་པས་བཞུགས་ཏེ ||| through their sublime devotion to the Tathāgata perform rituals to him, live with superior intentions, and
འཕགས་པའི་ཉེ་བར་གནས་པ་ཡན་ལག་བརྒྱད་པ་ལ་ཉེ་བར་གནས་ནས་གསོ་སྦྱིན་ཡང་དག་པར་བླངས་ཏེ། ||| practice the restoration and purification of their vows with the eight-branched fasting ritual?
སྤྱོད་པ་དེ་དག་ངན་སོང་གསུམ་དུ་མི་སྐྱེ་ཞིང་། བདེ་འགྲོར་འགྲོ་བར་འགྱུར་བ་དང་། ལྷ་དང་མིའི་བདེ་བ་མྱོང་ནས་སྡུག་བསྔལ་མཐར་བྱས་ཏེ། ||| all those who practice these sorts of conduct will not be born in the three negative forms of existence, but will pass to pleasant ones, and that, having experienced the happiness of gods and humans, their suffering will come to an end so that
རིམ་གྱིས་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་མངོན་པར་རྫོགས་པར་འཚང་རྒྱ་བར་འགྱུར་བ་ལྟ་ཅི་སྨོས། ||| What need is there to mention that gradually they will fully and completely awaken to unsurpassable, complete, and perfect awakening?
