ཐམས་ཅད་མཁྱེན་པ་ལ་ཕྱག་འཚལ་ལོ། ། ||| I prostrate to the All-Knowing One.
དེ་སྐྱོ་བ་སྐྱེས་ནས་བསམས་པ། འཕགས་པ་ཤཱ་རིའི་བུ་ནི། བདག་ལ་དཀའ་བ་བྱེད་བྱེད་པ་ཡིན་པ་ལྟ་ཞིག་སྟེ། ||| Recalling her former lives, the young woman was overcome with grief and thought, “Look at the difficult task Noble Śāriputra has done for me!
འདི་ལས་བརྟེན་ནས། བདག་གིས་དུད་འགྲོའི་སྐྱེ་གནས་སྤངས་སོ་སྙམ་དུ་རིག་ནས། ||| Thanks to him I have been freed from the realms of animal birth.”
དགའ་བ་སྐྱེས་ཏེ་ཆོས་མཉན་པའི་ཕྱིར། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུའི་མདུན་དུ་འདུག་གོ། ། ||| At this thought she was filled with happiness, and sat before Venerable Śāriputra to listen to the Dharma.
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་དེའི་བསམ་པ་དང་བག་ལ་ཉལ་དང་། ཁམས་དང་རང་བཞིན་རྟོགས་ནས་དེ་དང་འཐུན་པའི་ཆོས་བསྟན་ཏེ། ||| Then Venerable Śāriputra, directly apprehending her thoughts, habitual tendencies, temperament, and nature, taught her the Dharma accordingly.
དེ་ཐོས་ནས་བུ་མོ་དེས་སྟན་དེ་ཁོ་ན་ལ་འདུག་བཞིན་དུ་འཇིག་ཚོགས་ལ་ལྟ་བའི་རིའི་རྩེ་མོ་མཐོན་པོ་ཉི་ཤུ་ཡེ་ཤེས་རྡོ་རྗེས་བཅོམ་ནས། རྒྱུན་དུ་ཞུགས་པའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱས་ཏེ། ||| Hearing it, the young woman destroyed with the thunderbolt of wisdom the twenty high peaks of the mountain of views concerning the transitory collection, and manifested the resultant state of stream entry right where she sat.
དེས་བདེན་པ་མཐོང་ནས་སྟན་ལས་ལངས་ཏེ་བླ་གོས་ཕྲག་པ་གཅིག་ཏུ་གཟར་ནས། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ག་ལ་བ་དེ་ལོགས་སུ་ཐལ་མོ་སྦྱར་བ་བཏུད་ནས། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། ། ||| Having seen the truths, she rose from her seat, drew down the right shoulder of her upper garment, bowed to Venerable Śāriputra with her palms together, and implored him,
བཙུན་པ་ཤཱ་རིའི་བུ་བདག་ལེགས་པར་གསུངས་པའི་ཆོས་འདུལ་བ་ལ་རབ་ཏུ་འབྱུང་བ་དང་བསྙེན་པར་རྫོགས་ཤིང་ ||| “Lord Śāriputra, if permitted, I wish to go forth in the Dharma and Vinaya so well spoken, complete my novitiate, and achieve full ordination.
དགེ་སློང་མའི་དངོས་པོ་འཐོབ་ཏུ་རུང་ན་བདག་ཀྱང་། བཅོམ་ལྡན་འདས་ཀྱི་ཐད་དུ་ཚངས་པར་སྤྱོད་པ་སྤྱད་པར་འཚལ་ལོ། ། ||| I too wish to practice the holy life in the presence of the Blessed One.”
དེ་ནས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་དེའི་ཕ་མ་ལ་དད་པ་སྨྲས་ནས། སྐྱེ་དགུའི་བདག་མོ་ཆེན་མོ་ལ་གཏད་དེ་སྐྱེ་དགུའི་བདག་མོ་ཆེན་མོས་དེ་རབ་ཏུ་ཕྱུང་ནས་བསྙེན་པར་རྫོགས་པར་བྱས་ཏེ། དེ་ལ་ལུང་ཡང་ཕོག་གོ། ། ||| Venerable Śāriputra told her parents of her faith and then presented her to Mahā­prajāpatī, who led her to go forth as a novice, ordained her, and gave her instruction.
དེས་ཀྱང་བརྩོན་པ་དང་བསྒྲུབ་པ་དང་འབད་པས་ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ནས། དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བྱས་ཏེ། ||| Casting away all afflictive emotions through diligence, practice, and effort, she manifested arhatship.
དེ་དགྲ་བཅོམ་པ་ཁམས་གསུམ་པའི་འདོད་ཆགས་དང་བྲལ་བར་གྱུར་ནས། གསེར་དང་བོང་རྡོར་མཉམ་པ་ནམ་མཁའ་དང་ལག་མཐིལ་དུ་འདྲ་བའི་སེམས་དང་ལྡན་པ་ ||| As an arhat, free of the attachments of the three realms, her mind regarded gold no differently than filth, and the palms of her hands as like space itself.
ཙན་དན་སྦངས་པ་ལྟ་བུར་བསིལ་བར་གྱུར་པ་ ||| She became cool like wet sandalwood.
རིག་པས་མ་རིག་པའི་སྒོ་ངའི་སྦུབས་བཅོམ་པ་ ||| Her insight crushed ignorance like an eggshell.
རིག་པ་དང་མངོན་པར་ཤེས་པ་དང་། སོ་སོ་ཡང་དག་པར་རིག་པ་ཐོབ་པ་ ||| She achieved the insights, superknowledges, and discriminations.
སྲིད་པའི་རྙེད་པ་དང་ཆགས་པ་དང་བཀུར་སྟི་ལ་རྒྱབ་ཀྱིས་ ||| She had no regard for worldly profit, passion, or acclaim.
ཕྱོགས་པ་དབང་པོ་དང་ཉེ་དབང་དང་བཅས་པའི་ལྷ་རྣམས་ཀྱིས་མཆོད་ཅིང་རྗེད་པ་དང་། གུས་པར་སྨྲ་བའི་གནས་སུ་གྱུར་ཏོ། ། ||| She became an object of offering, veneration, and respectful address by Indra, Upendra, and the other gods.
དེ་དགྲ་བཅོམ་པར་གྱུར་ནས། ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུའི་སྔོན་གྱི་དྲིན་དྲན་ཏེ། ཡང་དང་ཡང་དུ་ཐད་དུ་འགྲོ་ཞིང་རྐང་པ་ལ་ཕྱག་འཚལ་ནས། ||| Now an arhat, she remembered Venerable Śāriputra’s previous kindness and approached him again and again, prostrating herself at his feet and saying,
འདི་སྐད་དུ་འཕགས་པ་ཤཱ་རིའི་བུ་ལས་བརྟེན་ཏེ་བདག་གིས་དུད་འགྲོའི་སྐྱེ་གནས་སྤངས་ནས། ཡོན་ཏན་འདི་ལྟ་བུ་དག་ཀྱང་ཐོབ་པར་གྱུར་པས་ན། ||| “Thanks to Noble Śāriputra, I was freed from the realms of animal birth and achieved great virtues.
འཕགས་པ་ནི་བདག་ལ་དཀའ་བ་མཛད་མཛད་པ་ལགས་སོ་ཞེས་ཟེར་རོ། ། ||| It is all due to the difficult task the noble one has done for me.”
དེ་ཡང་དང་ཡང་དུ་ཟེར་བ་དགེ་སློང་མང་པོས་ཐོས་ནས་ཐོས་མ་ཐག་ཏུ་དེ་དག་གིས་ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་ལ་དྲིས་པ། ||| Many monks overheard her saying this over and over again, and immediately asked Venerable Śāriputra,
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུ་དགེ་སློང་མ་འདིས་ཅི་ལས་བསམས་ཏེདེ་ཡང་དང་ཡང་དུ་དེ་སྐད་མཆི། ||| “Venerable Śāriputra, what is this nun thinking, saying this over and over again?”
ཚེ་དང་ལྡན་པ་ཤཱ་རིའི་བུས་སྨྲས་པ། ||| Venerable Śāriputra asked.
ཁྱེད་ཀྱིས་ཁྱིམ་བདག་འདིའི་ཁྱིམ་ན་ཁྱི་མོ་ཞིག་འདུག་པ་མཐོང་ངམ། ||| “Did you see the puppy at the householder’s home?”
དེ་དག་གིས་སྨྲས་པ། བཙུན་པ་ཤཱ་རིའི་བུ་མཐོང་ངོ་། ། ||| “Yes, Lord Śāriputra, we did,” they replied.
དེ་ཁོ་ནས་བདག་ལ་དགའ་བའི་སེམས་བསྐྱེད་ནས་ཤི་སྟེ་འདས་པ་དང་། ཁྱིམ་བདག་དེ་ཉིད་ཀྱི་ཁྱིམ་དུ་སྐྱེས་ཏེ། ||| “The very same one died filled with joy at the thought of me and was reborn in the home of that householder.
དེས་སྔོན་གྱི་ཚེ་རབས་རྗེས་སུ་དྲན་ནས། སྔོན་གྱི་དྲིན་གཟོ་བའི་ཕྱིར་བདག་ལ་དེ་སྐད་ཅེས་ཟེར་རོ། ། ||| Now that she remembers her former lives, she speaks these words to me to acknowledge that previous kindness.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་དགེ་སློང་རྣམས་ཀྱིས་ཞུས་པ། བཙུན་པ་དགེ་སློང་མ་འདིས་ལས་ཅི་བགྱིས་ན། ལས་དེའི་རྣམ་པར་སྨིན་པས་སྔོན་ཁྱིར་སྐྱེས་ལགས། ||| The monks inquired of the Blessed One, “Lord, what was the action this nun performed that ripened into her birth as a dog?
ལས་ཅི་བགྱིས་ན་དེ་ནས་ཤི་འཕོས་ཏེ་མིར་སྐྱེས་ནས། བཅོམ་ལྡན་འདས་མཉེས་པར་བགྱིས་ཏེ་མི་མཉེས་པར་མ་བགྱིས་ལ། བཅོམ་ལྡན་འདས་ཀྱི་བསྟན་པ་ལ་རབ་ཏུ་བྱུང་ནས། ཉོན་མོངས་པ་ཐམས་ཅད་སྤངས་ཏེ། དགྲ་བཅོམ་པ་ཉིད་མངོན་སུམ་དུ་བགྱིས་ལགས། ||| What did she do after she died and took rebirth as a human being that she pleased and did not displease the Blessed One, went forth in the Blessed One’s doctrine, cast away all afflictive emotions, and manifested arhatship?”
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| The Blessed One replied,
དགེ་སློང་དག་འདས་པའི་ལས་ཀྱི་ཤས་ཀྱང་ཡོད་ལ་ད་ལྟར་བྱུང་བའི་ལས་ཀྱི་ཤས་ཀྱང་ཡོད་དོ། ། ||| “Monks, it was partly her past actions, and it is partly her present actions as well.”
བཙུན་པ་འདས་པའི་ལས་ཅི་བགྱིས་ལགས། ||| “Lord, what action did she take in the past?”
དགེ་སློང་དག་སྔོན་བྱུང་བ་འདས་པའི་དུས་ན། བསྐལ་པ་བཟང་པོ་འདི་ཉིད་ལ་སྐྱེ་དགུའི་ཚེ་ལོ་ཉི་ཁྲི་ཐུབ་པ་ན། ||| “Monks, in times past, in this fortunate eon, when people lived as long as twenty thousand years and
