འཕགས་པ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་འཛིན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Upholding the Roots of Virtue
བཅོམ་ལྡན་འདས་ཤ་ནའི་རས་ཕྱག་དར་ཁྲོད་མཆོད་རྟེན་དུ་གྱུར་པ་དེ་དག་བཅངས་ལགས་སོ། ། ||| Blessed One, I bear the refuse rags as a basis for worship.
བཅོམ་ལྡན་འདས་དེ་དག་ནི་བཅོམ་ལྡན་འདས་ཀྱིས་སྤངས་ཤིང་གནང་བ་ལགས་ཏེ། དེ་དག་ནི་བདག་གིས་བཅངས་ལགས་སོ། ། ||| Blessed One, that which I bear is what the Blessed One has relinquished and granted.
སངས་རྒྱས་རྗེས་སུ་དྲན་པ་མ་ལགས་པར་དེ་ལས་གཞན་སྙོམས་པར་འཇུག་པ་དག་གིས་བདག་གཞན་དུ་གནས་པར་མི་དྲན་ལགས་སོ། ། ||| “Apart from the recollection of the buddhas, I do not engage in any attainment for the sake of abiding in some other state.
བདག་ཇི་ལྟར་གནས་པ་ན་ས་ལ་སའི་འདུ་ཤེས་སུ་མ་གྱུར་པ་དང་། ཆུ་ལ་ཆུའི་འདུ་ཤེས་དང་། མེ་ལ་མེའི་འདུ་ཤེས་དང་། རླུང་ལ་རླུང་གི་འདུ་ཤེས་སུ་མ་གྱུར་པ་དང་། འཇིག་རྟེན་འདིའི་འདུ་ཤེས་དང་། འཇིག་རྟེན་ཕ་རོལ་གྱི་འདུ་ཤེས་སུ་མ་གྱུར་པ་དང་། བཅོམ་ལྡན་འདས་གང་མཐོང་བ་དང་། ཐོས་པ་དང་། བྱེ་བྲག་ཕྱེད་པ་དང་། རྣམ་པར་ཤེས་པ་དང་། ཡིད་ཀྱི་རྗེས་སུ་བརྟགས་པ་དང་། རྗེས་སུ་བསམས་པ་དེ་ལ་ཡང་བདག་འདུ་ཤེས་སུ་མ་གྱུར་པ་དང་། བཅོམ་ལྡན་འདས་གང་འདུ་ཤེས་མེད་པའི་གནས་པ་དང་། འདུ་ཤེས་མེད་པའི་སྙོམས་པར་འཇུག་པའི་གནས་པ་དང་། གང་འདུ་ཤེས་ལས་ཡང་དག་པར་འདའ་བའི་གནས་པ་དང་། གང་འདུ་ཤེས་མེད་པ་ལས་ཡང་དག་པར་འདའ་བའི་གནས་པ་དང་། གང་འདུ་ཤེས་ཀྱི་གནས་པ་དང་། གང་འདུ་ཤེས་མེད་པའི་གནས་པ་དང་། གང་འདུ་ཤེས་ཐམས་ཅད་ལས་ཡང་དག་པར་འདའ་བའི་གནས་པ་དེ་ཡང་སློབ་པའི་གནས་པ་དང་། །མི་སློབ་པའི་གནས་པར་བདག་གིས་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ལགས་སོ། ། ||| As for the way that I abide, I do not identify earth as earth, water as water, fire as fire, or wind as wind. I do not have any notion of either this world or something that is beyond it. Blessed One, I do not form any notion about anything seen, heard, distinguished, cognized, conceived, or contemplated. Blessed One, the state free from perception, the state of the attainment free from perception, the state of the transcendence of perception, the state of the transcendence of freedom from perception, the state of perception, the state without perception, as well as the state of training and the state of no more training—none of these do I truly perceive.
བཅོམ་ལྡན་འདས་གནས་པ་དེ་ལ་དེ་བཞིན་གཤེགས་པ་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་། དེ་བཞིན་གཤེགས་པའི་ཆོས་རྣམས་དང་། དེ་བཞིན་གཤེགས་པའི་གནས་པ་ཡང་དག་པར་རྗེས་སུ་མ་མཐོང་ལགས་ཏེ། བདག་ནི་དེ་ལྟར་གནས་ལགས་སོ། ། ||| Blessed One, within this state I do not perceive any thus-gone ones, any qualities of the thus-gone ones, nor any state of the thus-gone ones. That is how I abide.
བཅོམ་ལྡན་འདས་དཔེར་བགྱི་ན་ནམ་མཁའ་བླ་གབ་མ་མཆིས་པ་ལ་མིང་དང་བརྡ་དང་གདགས་པ་རྣམ་པ་སྣ་ཚོགས་བགྱིས་པ་དག །བཅོམ་ལྡན་འདས་མིང་དང་བརྡ་དང་གདགས་པ་གང་དག་གིས་ནམ་མཁའ་ཞེས་ཐ་སྙད་དུ་བཏགས་པ་དང་། ནམ་མཁའ་ཞེས་བརྡར་བཏགས་པ་དང་། ནམ་མཁའ་ཞེས་རྟེན་དུ་བགྱིས་པ་དང་། བཅོམ་ལྡན་འདས་ནམ་མཁའ་ཞེའམ། བླ་གབ་མ་མཆིས་པ་ཞེའམ། སྟོང་པ་ཞེའམ། གསོག་ཅེའམ། གསོབ་ཅེའམ། ཡམ་བརླ་ཞེའམ། གཟུང་བ་མ་མཆིས་པ་ཞེའམ། ཚད་མ་མཆིས་པ་ཞེའམ། རྟེན་པ་མ་མཆིས་པ་ཞེའམ། བླང་བ་མ་མཆིས་པ་ཞེའམ། དོར་བ་མ་མཆིས་པ་ཞེའམ། ལུས་མ་མཆིས་པ་ཞེའམ། ཇི་ལྟ་བ་བཞིན་ཞེའམ། ཡོངས་སུ་དག་པ་ཞེའམ། བར་སྣང་ཞེའམ། ཐོགས་པ་མ་མཆིས་པ་ཞེའམ། དངོས་པོ་མ་མཆིས་པ་ཞེའམ། བསྟན་དུ་མ་མཆིས་པ་ཞེས་དེ་དག་དང་། གཞན་ཡང་ཐ་སྙད་ཀྱི་བརྡ་ཐ་དད་པ་རྣམ་པ་སྣ་ཚོགས་ཀྱིས་བརྗོད་པ་ནི་བཅོམ་ལྡན་འདས་འདི་ལྟ་སྟེ། ཚད་འདི་ཙམའམ། ཡོངས་སུ་བཅད་པ་འདི་ཙམ་འམ། མཉམ་པའམ། མི་མཉམ་པ་ཞེས་མིང་ངམ། བརྡའམ། རྟེན་རྣམས་ཀྱིས་འཚལ་བར་མི་ནུས་ལགས་སོ། ། ||| “Blessed One, take as an analogy the various names, signs, and designations for open space. Blessed One, in terms of such an application of names, signs, and designations, we may say ‘space’ and so employ a convention, sign, or representation. Blessed One, likewise, just as we may speak of ‘space,’ we may also say ‘the open,’ ‘the empty,’ ‘the void,’ ‘the hollow,’ ‘the essenceless,’ ‘the ungraspable,’ ‘the limitless,’ ‘the unsupported,’ ‘that which cannot be adopted,’ ‘that which cannot be discarded,’ ‘the bodiless,’ ‘the actual,’ ‘the completely pure,’ ‘mid-air,’ ‘the unimpeded,’ ‘the insubstantial,’ ‘what cannot be shown’—or any other such convention. Nevertheless, Blessed One, no name, sign, or representation can be employed to successfully delineate, determine, compare, or distinguish space.
བཅོམ་ལྡན་འདས་གང་དག་དེའི་ཕྱོགས་ཙམ་ཞིག་འཚལ་བ་དེ་དག་ཐམས་ཅད་ཀྱིས་ཀྱང་ཁ་དོག་གམ། དབྱིབས་སམ། དམིགས་པས་ནམ་མཁའ་དེ་ཚད་འདི་ཙམ་དང་། མཆོག་འདི་ཙམ་ཞེས་བགྱི་བ་མ་འཚལ་ལགས་སོ། ། ||| Blessed One, wherever we may look, we will not find any color, shape, or objective referent whereby space can be demarcated or contained.
བཅོམ་ལྡན་འདས་དེ་བཞིན་དུ་གང་དེ་བཞིན་གཤེགས་པ་ཞེས་བགྱི་བའམ། སངས་རྒྱས་ཞེས་བགྱི་བའམ། སྟོན་པ་ཞེའམ། སྐྱབས་ཞེའམ། དཔུང་གཉེན་ཞེའམ། གནས་ཞེའམ། འདྲེན་པ་ཞེའམ། རྣམ་པར་འདྲེན་པ་ཞེའམ། ཡོངས་སུ་འདྲེན་པ་ཞེའམ། སྨན་པ་ཞེའམ། གསོ་བ་པ་ཞེའམ། ལམ་སྟོན་པ་ཞེའམ། ལམ་བརྗོད་པ་ཞེའམ། གཞན་ཡང་ཐ་སྙད་ཐ་དད་པའི་ཚིག་རྣམ་པ་སྣ་ཚོགས་བརྗོད་པའི་ཐ་སྙད་ཀྱི་ཚིག་གང་དག་གིས་མཁས་པ་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་བསྟོད་པ་དང་། བཀུར་བ་དང་། བསྔགས་པ་དང་རབ་ཏུ་བསྟོད་པ་དང་། རབ་ཏུ་བསྔགས་པ་དང་། བཅོམ་ལྡན་འདས་ཐ་སྙད་ཀྱི་ཚིག་གང་དག་གིས་འཇིག་རྟེན་མངོན་པར་བརྗོད་པའི་ཆོས་དེ་དག་ནི་བཅོམ་ལྡན་འདས་བདག་མ་འཚལ་མི་རྟེན་མ་མཐོང་ལགས་སོ། ། ||| “Similarly, Blessed One, we may say ‘the Thus-Gone One,’ ‘the Buddha,’ ‘the Teacher,’ ‘the Refuge,’ ‘the Protector,’ ‘the Support,’ ‘the Guide,’ ‘the Leader,’ ‘the Perfect Leader,’ ‘the Doctor,’ ‘the Healer,’ ‘the Revealer of the Path,’ ‘the Teacher of the Path,’ or make use of some other name or convention. In that way the learned may praise, venerate, extol, laud, and applaud the Blessed One. Yet whichever mundane quality they may express through words and conventions in this way, this will not make me cognize, regard, or perceive the Blessed One.
དེ་ཅིའི་སླད་དུ་ཞེ་ན། ||| And why is that so?
བཅོམ་ལྡན་འདས་ཆོས་ཐམས་ཅད་ནི་ངོ་བོ་ཉིད་ཀྱིས་ཡ་མ་བརླ་དང་། ངོ་བོ་ཉིད་ཀྱིས་གསོབ་ལགས་པའི་སླད་དུའོ། ། ||| Because, Blessed One, all phenomena are by nature hollow and without essence.
བཅོམ་ལྡན་འདས་དཔེར་བགྱི་ན་ སྒྱུ་མ་མཁན་གྱིས་རྒྱལ་པོ་རྒྱལ་རིགས་སྤྱི་བོ་ནས་དབང་བསྐུར་བ། དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་དང་ལྡན་པ། རིན་པོ་ཆེ་སྣ་བདུན་དང་ལྡན་པའི་འཁོར་ལོས་སྒྱུར་བ་ཞིག་སྤྲུལ་པར་གྱུར་ལ། ||| “Blessed One, take the analogy of a magician who conjures a universal monarch—a king who has received the royal anointment, is the master of the four divisions of the army, and is in possession of the seven precious treasures.
བཅོམ་ལྡན་འདས་དེའི་ཐད་དུ་གླིང་བཞི་པའི་འཇིག་རྟེན་གྱི་ཁམས་སུ་གཏོགས་པའི་སེམས་ཅན་རྣམ་པར་རྒྱལ་བར་བགྱི་བ་ལ་གནས་པ། མཐའ་ཡས་པ་དེ་དག་ཐམས་ཅད་ལྷགས་ཤིང་བཅོམ་ལྡན་འདས་དེ་ལ་ལུས་ཐ་དད་པར་ཡང་གདའ་ལ། ||| Blessed One, that magically produced monarch may then be engaged in the subjugation of all the beings that inhabit that universe of four continents, and he may succeed in vanquishing that infinite amount of beings.
