༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་པཉྩ་པཱ་ར་མི་ཏཱ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཕ་རོལ་ཏུ་ཕྱིན་པ་ལྔ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Teaching the Five Perfections The Perfection of Generosity
སྦྱིན་པ་དེ་འདི་ལྟར་བདག་གིས་ཁ་ཟས་ཀྱི་སྦྱིན་པ་འདི་ལས་སེམས་ཅན་གང་དག་མིག་ལམ་ན་སྣང་བ་དང་། གང་དག་མི་སྣང་བ་ཐམས་ཅད་ལས་སེམས་ཅན་གང་དག་ཟ་བ་དང་། ཅུང་ཟད་ཟ་བར་གྱུར་པའི་སྦྱིན་པ་དེ་ལས་གང་བདག་གིས་དགེ་བའི་རྩ་བ་ཡོངས་སུ་བཟུང་བར་གྱུར་པའི་དགེ་བའི་རྩ་བ་དེས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་དག་ན། ཐེག་པ་ལ་གསར་དུ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་གནས་པ་དེ་དག་ནི་ཕྱིར་མི་ལྡོག་པ་ཉིད་དུ་གྱུར་ཅིག །ཕྱིར་མི་ལྡོག་པ་གང་དག་གནས་པ་དེ་དག་ནི་མྱུར་དུ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་གྱུར་ཅིག་ཅེས་ཡོངས་སུ་བསྔོ་བར་བྱའོ། ||| Venerable Pūrṇa, moreover, when bodhisattva great beings practice generosity, they dedicate the roots of virtue of their generosity, saying, ‘By the roots of virtue that come from this gift—a gift of sustenance that feeds, in whole or in part, all beings whether they are visible or not—may all bodhisattva great beings in all the limitless and endless worlds who have newly entered this vehicle reach the state of nonregression, and may all those who have reached the state of nonregression swiftly perfect the state of omniscience.’
།ཇི་ལྟ་ཇི་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་དགེ་བའི་རྩ་བ་ཡོངས་སུ་སྔོ་བར་བྱེད་པ་དེ་ལྟ་དེ་ལྟར་ཕ་རོལ་ཏུ་ཕྱིན་པ་རྣམས་ཡོངས་སུ་འཛིན་ཅིང་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དང་ཡང་ཉེ་བར་འགྱུར་ཏེ། ||| The more bodhisattvas are able to dedicate the roots of virtue, the more they will master the perfections and that much closer will they be to the state of omniscience.
གང་གི་ཚེ་སྦྱིན་པ་ཆུང་ངུ་ཡང་དཔག་ཏུ་མེད་པར་བྱེད་པ་འདི་ནི་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོའི་ཐབས་ལ་མཁས་པ་ཡིན་པར་རིག་པར་བྱའོ། ||| They should recognize that whenever a small act of generosity is made boundless in this manner, it is due to the skillful means of the bodhisattva great beings.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is that?
རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དཔག་ཏུ་མེད་པའི་ཕྱིར་རོ། ||| Because the state of omniscience itself is boundless. “
།ཚེ་དང་ལྡན་པ་གང་པོ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་སྦྱིན་པ་སྦྱིན་པ་ན། བདག་གི་སྦྱིན་པ་འདི་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་མ་གཏོགས་པ་གཞན་དུ་རྣམ་པར་སྨིན་པར་མ་གྱུར་ཅིག་ཅེས་དེ་ལྟར་སེམས་བསྐྱེད་པར་བྱའོ། ||| Venerable Pūrṇa, moreover, when bodhisattva great beings practice generosity, they should develop the mind set upon awakening, saying, ‘May this gift of mine not ripen in any other way except for unsurpassed and perfect awakening!’
།གལ་ཏེ་ཡོངས་སུ་སྔོ་བར་བྱེད་ན་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཞེས་བྱ་བའི་གྲངས་སུ་འགྲོའོ། ། ||| It is only when generosity is dedicated in this way that it can be reckoned to be the perfection of generosity.
ཅི་སྟེ་ཕྱིས་ཡུན་རིང་མོ་ཞིག་ལོན་ནས་ཡོངས་སུ་སྔོ་བར་བྱེད་ཅིང་། རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡིད་ལ་བྱེད་ན་ཡང་དེ་བཞིན་དུ་ཕ་རོལ་ཏུ་ཕྱིན་པའི་གྲངས་སུ་འགྲོའོ། ||| However, an act of generosity may still be reckoned to be the perfection of generosity even if it is dedicated long after it was done, provided that it is dedicated to the state of omniscience. “
།ཚེ་དང་ལྡན་པ་གང་པོ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའི་སྦྱིན་པ་ནི་ཉུང་ངུ་ཟིན་ཀྱང་མང་བར་རིག་པར་བྱའོ། ||| Venerable Pūrṇa, moreover, even when a bodhisattva’s act of generosity is insignificant, it should still be recognized as abundant.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན།
རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་བསྔོས་པའི་ཕྱིར་རོ། ||| That is because it is dedicated toward the state of omniscience.
།སྦྱིན་པ་མང་པོ་ཡང་ཉུང་ངུར་འགྱུར་བ་ཡོད་པར་རིག་པར་བྱ་སྟེ། ||| Similarly, a great act of generosity should also be recognized as insignificant.
དེ་ཅིའི་ཕྱིར་ཞེ་ན།
འདི་ལྟར་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་དུ་ཡོངས་སུ་མ་བསྔོས་པའི་ཕྱིར་རོ། ||| That is because it is not dedicated toward the state of omniscience.
།ཚེ་དང་ལྡན་པ་དེ་ཡང་གལ་ཏེ་ཕྱིས་ཡུན་རིང་མོ་ཞིག་ལོན་ནས་ཡོངས་སུ་སྔོ་བར་བྱེད་ན་ཡང་སྦྱིན་པའི་སྒྲ་བོར་ཏེ། ||| Venerable One, furthermore, even if an act of generosity is dedicated long after it was done, it is still called the perfection of generosity, even though it may no longer be called an act of generosity. “
སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒྲ་ཐོབ་པར་འགྱུར་རོ། །ཚེ་དང་ལྡན་པ་གང་པོ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོས་འཁོར་བ་ཐོག་མ་མེད་པ་ནས་འཁོར་བ་ན། ||| Venerable Pūrṇa, bodhisattva great beings who circle in saṃsāra without beginning may practice generosity, and yet fail to utter the word ‘omniscience.’
རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡང་དག་པར་མ་བརྗོད་པར་སྦྱིན་པ་བྱིན་པ་གང་ཡིན་པ་དེ་ཡང་བྱང་ཆུབ་སེམས་དཔས་ཐབས་མཁས་པ་ལ་བརྟེན་ནས་ཕ་རོལ་ཏུ་ཕྱིན་པར་ཡོངས་སུ་སྔོ་ཞིང་། རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ལ་དམིགས་པར་བྱེད་ན་བྱང་ཆུབ་སེམས་དཔའི་སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཡིན་པར་རིག་པར་བྱའོ། ||| If they nonetheless employ skillful means to dedicate their generosity toward the perfections, and focus on the state of omniscience, their generosity should indeed be recognized as the perfection of generosity of the bodhisattvas.”
།དེ་ནས་ཚེ་དང་ལྡན་པ་བྱམས་མའི་བུ་གང་པོས་ཚེ་དང་ལྡན་པ་ཤ་ར་དྭ་ཏིའི་བུ་ལ་འདི་སྐད་ཅེས་སྨྲས་སོ། །ཚེ་དང་ལྡན་པ་ཅི་འདི་ཁྱོད་ཉིད་ཀྱི་སྤོབས་པ་ཡིན་ནམ་འོན་ཏེ་བཅོམ་ལྡན་འདས་ཀྱི་བྱིན་གྱི་རླབས་ཡིན་སྨྲས་པ། ||| Venerable Pūrṇa Maitrāyaṇīputra asked Venerable Śāradvatīputra, “Venerable One, please tell me, are you this eloquent on your own accord or is it due to the blessing of the Blessed One?”
ཚེ་དང་ལྡན་པ་བདག་གི་སྤོབས་པ་གང་ཡིན་པ་འདི་ནི། དེ་བཞིན་གཤེགས་པའི་བྱིན་གྱི་རླབས་ཡིན་ནོ། ||| Śāradvatīputra replied, “Whatever eloquence I may possess, Venerable One, it is due to the blessing of the Thus-Gone One.
།ཚེ་དང་ལྡན་པ་གང་པོ་འདི་ལ་འཇིག་རྟེན་གྱི་ཁམས་དཔག་ཏུ་མེད། གྲངས་མེད། ཚད་མེད་པ་དག་ན་སེམས་ཅན་གང་དག་གནས་པ་དེ་དག་དགྲ་བཅོམ་པའི་འབྲས་བུ་མངོན་སུམ་དུ་བྱ་བར་འདོད་པའི་ཕྱིར་བསྐལ་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་དུ་སོ་སོའི་སྐྱེ་བོ་རྣམས་སམ། ཉན་ཐོས་རྣམས་སམ། རང་སངས་རྒྱས་རྣམས་ལ་སྦྱིན་པ་བྱིན་ལ། ||| Venerable Pūrṇa, say that all beings living in the boundless, countless, and limitless worlds, wishing for the result of a worthy one, were to practice generosity toward ordinary beings, hearers, and solitary buddhas for as many eons as there are grains of sand in the Ganges.
སྦྱིན་པ་དེ་ཡང་བྱང་ཆུབ་སེམས་དཔས་བསམས་ཏེ། བསམས་ནས་ཀྱང་འདི་སྐད་དུ་སྦྱིན་པ་འདི་ལ་རྗེས་སུ་ཡི་རང་ངོ་ཞེས་ཟེར་ཞིང་། ||| Bodhisattvas would reflect on that and declare, ‘I rejoice in this generosity!’
དེ་ལྟར་ཡོངས་སུ་གཏོང་བ་རྣམས་ཀྱི་དེ་ལ་བྱང་ཆུབ་སེམས་དཔའི་རྗེས་སུ་ཡི་རང་བ་དང་ལྡན་པའི་བསོད་ནམས་བྱ་བའི་དངོས་པོ་ཡོད་ལ། ||| When bodhisattvas rejoice in those who give in this manner, it creates a mass of merit.
རྗེས་སུ་ཡི་རང་ནས་དགེ་བའི་རྩ་བ་དེ་འདི་ལྟར་ཡོངས་སུ་སྔོ་བར་བྱེད་དེ། རྗེས་སུ་ཡི་རང་བ་དང་ལྡན་པའི་དགེ་བའི་རྩ་བ་འདིས་འཇིག་རྟེན་གྱི་ཁམས་མཐའ་ཡས་མུ་མེད་པ་དག་ན། ཐེག་པ་ལ་གསར་དུ་ཞུགས་པའི་བྱང་ཆུབ་སེམས་དཔའ་གང་དག་གནས་པ་དེ་དག་ནི་ཕྱིར་མི་ལྡོག་པ་ཉིད་དུ་གྱུར་ཅིག །ཕྱིར་མི་ལྡོག་པ་གང་དག་གནས་པ་དེ་དག་ནི་མྱུར་དུ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་གྱུར་ཅིག་ཅེ་ན། ||| After rejoicing, they would then dedicate the merit in this manner: ‘By means of these roots of virtue from having rejoiced, may all bodhisattva great beings in all the limitless and endless worlds who have newly entered this vehicle reach the state of nonregression, and may all those who have reached the state of nonregression swiftly perfect the state of omniscience.’
རྗེས་སུ་ཡི་རང་བ་དང་ལྡན་པའི་དགེ་བའི་རྩ་བ་དེ་དེ་ལྟར་ཡོངས་སུ་སྔོ་བར་བྱེད་པའི་བྱང་ཆུབ་སེམས་དཔའ་ནི་མྱུར་དུ་རྣམ་པ་ཐམས་ཅད་མཁྱེན་པ་ཉིད་ཡོངས་སུ་རྫོགས་པར་འགྱུར་ཏེ། ||| The bodhisattvas who in this manner dedicated the roots of virtue created by rejoicing would swiftly perfect the state of omniscience.
དེ་ལ་སེམས་ཅན་ཡོངས་སུ་གཏོང་བར་བྱེད་པ་དེ་དག་གི་བསོད་ནམས་མངོན་པར་འདུ་བྱེད་པ་གང་ཡིན་པ་དགེ་བའི་རྩ་བ་སྔ་མ་དེ་ནི། བྱང་ཆུབ་སེམས་དཔའི་རྗེས་སུ་ཡི་རང་བ་དང་ལྡན་པའི་སེམས་ལ་བརྒྱའི་ཆར་ཡང་ཉེ་བར་མི་འགྲོའོ། ||| Comparatively, the roots of virtue that were created by the merit of those beings who at first performed the generosity would not constitute even one percent of the roots of virtue created by the bodhisattvas’ thought to rejoice.
