༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཤྲཱི་གུཔྟ་ནཱ་མ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་དཔལ་སྦས་ཞེས་བྱ་བའི་མདོ། ||| The Noble Śrīgupta Sūtra
།གནོད་སྦྱིན་གྱི་སྡེ་དཔོན་ཆེན་པོ་ཉི་ཤུ་རྩ་བརྒྱད་ཀྱང་བཅོམ་ལྡན་འདས་ག་ལ་བ་དེར་སོང་སྟེ་ཕྱིན་ནས། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ། བཅོམ་ལྡན་འདས་ཀྱི་ཕྱི་བཞིན་དུ་འགྲོའོ། ||| The twenty-eight great yakṣa generals approached the Blessed One, bowed at his feet, and walked behind him.
།རོལ་མོ་མཁན་དུ་གཏོགས་པའི་ལྷ་རྣམས་ནི་མདུན་ནས་འགྲོ་ཞིང་། གར་དང་། གླུ་དང་། རོལ་མོའི་སྒྲ་ཆེན་པོ་བྱེད་དོ། ||| Heavenly musicians walked in front of him, dancing, singing, and playing loud music.
།དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱི་མདུན་ལོགས་སུ་ནི་ཆར་འབབ། ཕྱི་ནས་ནི་ཉི་མ་འཆར། བར་ན་ནི་སྤྲིན་ལྡིང་ངོ་། ||| At that time, rain fell in front of the Blessed One, while the sun shone from behind him and a cloud hovered overhead.
།བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་གང་དང་གང་གོམ་པ་འདོར་བ་དེ་དང་དེར་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་ལྷ་རྣམས་ཙན་དན་གྱི་ཕྱེ་མ་དག་འཐོར། མངོན་པར་འཐོར། མངོན་པར་རབ་ཏུ་འཐོར་རོ། ||| Wherever the Blessed One set foot, the gods showered him with sandalwood powder, again and again.
།ལྷའི་མེ་ཏོག་ཨུད་པ་ལ་དང་། པད་མ་དང་། ཀུ་མུ་ད་དང་། པད་མ་དཀར་པོ་དང་། ལྷའི་མེ་ཏོག་མན་དཱ་ར་བ་རྣམས་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་འཐོར། མངོན་པར་འཐོར། མངོན་པར་རབ་ཏུ་འཐོར་རོ། ||| They showered him repeatedly with heavenly flowers, including blue and white water lilies, red and white lotuses, and mandārava blossoms.
།དེ་ནས་བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ག་ལ་བ་དེར་གཤེགས་པ་དང་། ||| The Blessed One then arrived in the great city of Rājagṛha.
འདི་ནི་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་ཀྱི་ཆོས་ཉིད་དེ། གང་གི་ཚེ་བཅོམ་ལྡན་འདས་གྲོང་ཁྱེར་དུ་འཇུག་པ་དེའི་ཚེ་ཆོ་འཕྲུལ་དང་བཅས་པར་འཇུག་གི །ཆོ་འཕྲུལ་མེད་པར་མ་ཡིན་ནོ། ||| Now, it is in the nature of buddhas, blessed ones, to perform miracles whenever they enter a city; they never do so without performing a miracle.
།དེ་ནས་བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་གྱི་སྒོར་སྒོ་གཏན་ལ་ཐོག་མ་ཉིད་དུ་ཞབས་གཡས་པ་གསེར་གྱི་ཁ་དོག་ཅན་བཞག་སྟེ། བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་གཡས་པ་གསེར་གྱི་ཁ་དོག་ཅན་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་སྒོར་སྒོ་གཏན་ལ་བཞག་མ་ཐག་ཏུ། དེ་ནས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་རྣམ་པ་དྲུག་ཏུ་གཡོས། ||| When the Blessed One first set his golden-colored right foot on the threshold of Rājagṛha, Rājagṛha shook in six ways.
རབ་ཏུ་གཡོས། ཀུན་ཏུ་རབ་ཏུ་གཡོས། འགུལ་རབ་ཏུ་འགུལ། ཀུན་ཏུ་རབ་ཏུ་འགུལ་ཏོ། །ཤར་ཕྱོགས་མཐོ་ན་ནུབ་ཕྱོགས་དམའོ། །ནུབ་ཕྱོགས་མཐོ་ན་ཤར་ཕྱོགས་དམའོ། །ལྷོ་ཕྱོགས་མཐོ་ན་བྱང་ཕྱོགས་དམའོ། །བྱང་ཕྱོགས་མཐོ་ན་ལྷོ་ཕྱོགས་དམའོ། །དབུས་མཐོ་ན་མཐའ་དམའོ། །མཐའ་མཐོ་ན་དབུས་དམའོ། ||| It shook, shifted, and shuddered; it trembled, quivered, and quaked. When the east rose, the west sank. When the west rose, the east sank. When the south rose, the north sank. When the north rose, the south sank. When the center rose, the periphery sank. When the periphery rose, the center sank.
།བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོའི་ཁབ་ཀྱི་སྒོ་གཏན་ལ་ཞབས་གཡས་པ་གསེར་གྱི་ཁ་དོག་ཅན་བཞག་མ་ཐག་ཏུ་ལྷ་རྣམས་ལྷའི་ཙན་དན་གྱི་ཕྱེ་མ་དག་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་འཐོར། མངོན་པར་འཐོར། མངོན་པར་རབ་ཏུ་འཐོར་རོ། ||| As soon as the Blessed One had set his golden-colored right foot on the threshold of Rājagṛha, the gods showered him with heavenly sandalwood powder, again and again.
།ལྷའི་མེ་ཏོག་ཨུད་པ་ལ་དང་། པད་མ་དང་། ཀུ་མུ་ད་དང་། པད་མ་དཀར་པོ་དང་། ལྷའི་མེ་ཏོག་མན་དཱ་ར་བ་དག་བཅོམ་ལྡན་འདས་ཀྱི་སྐུ་ལ་འཐོར། མངོན་པར་འཐོར། མངོན་པར་རབ་ཏུ་འཐོར། ནམ་མཁའ་ལ་ལྷའི་རོལ་མོའི་སྒྲ་འབྱིན་ཏོ། །ལྷའི་སིལ་སྙན་གྱི་སྒྲ་འབྱིན་ཏོ། ||| They showered him repeatedly with heavenly flowers, including blue and white water lilies, red and white lotuses, and mandārava blossoms. The sound of divine music resonated in the sky, accompanied by the ringing of heavenly cymbals.
།བཅོམ་ལྡན་འདས་ཀྱིས་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་སྒོར་སྒོ་གཏན་ལ་ཞབས་གཡས་པ་གསེར་གྱི་ཁ་དོག་ཅན་བཞག་མ་ཐག་ཏུ་དེའི་ཚེ་ལོང་བ་རྣམས་ནི་མིག་གིས་གཟུགས་མཐོང་བར་གྱུར། ||| At the very instant the Blessed One set his golden-colored left foot on the threshold of the great city of Rājagṛha, the eyes of those who were blind could see forms.
འོན་པ་རྣམས་ནི་རྣ་བས་ཐོས་པར་གྱུར། ||| The ears of those who were deaf could hear.
སྣའི་དབང་པོ་དང་བྲལ་བ་རྣམས་ནི་སྣ་རྣམ་པར་དག་པར་གྱུར། ||| Those who lacked a sense of smell became perfectly able to smell, and those who were mute began to speak.
ལྐུགས་པ་རྣམས་ནི་སྨྲ་བར་གྱུར། བརྗེད་བྱེད་ཀྱིས་ཟིན་པ་རྣམས་ནི་བརྗེད་བྱེད་དང་བྲལ་བར་གྱུར། སེམས་ཅན་སྨྱོན་པ་རྣམས་ནི་དྲན་པ་རྙེད་པར་གྱུར། ||| People gripped by memory loss were freed from forgetfulness, and those who were insane came to their senses.
དུག་འཐུངས་པ་རྣམས་ནི་དུག་ལས་གསོས་པར་གྱུར། ||| People who had ingested poison were cured of its effects.
སེམས་ཅན་བཙོན་ཆ་དམ་པོས་བསྡམས་པ་རྣམས་ནི་བཙོན་ཆ་ལྷོད་པར་གྱུར། ||| Those held fast in captivity were released from their imprisonment.
སེམས་ཅན་ཕན་ཚུན་དགྲར་འཛིན་པ་རྣམས་ནི་བྱམས་པའི་སེམས་སུ་གནས་པར་གྱུར། ||| People who regarded each other as enemies became fond of each other.
སིལ་སྙན་རྣམས་ནི་མ་བསྐྱོད་པར་སྒྲ་འབྱིན་པར་གྱུར། སྣོད་རྣམས་ནི་མ་དཀྲོལ་བར་སྒྲ་འབྱིན་པར་གྱུར། ||| Cymbals resounded without being struck, and drums resonated without being played.
ཁྱུ་མཆོག་ཀྱང་སྒྲ་འབྱིན། གླང་པོ་ཡང་སྒྲ་འབྱིན། རྟ་ཡང་སྒྲ་འབྱིན། ||| Mighty bulls bellowed, elephants trumpeted, and horses neighed.
རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་སྒོ་ན་བྱ་གང་དག་གནས་པ་འདི་ལྟ་སྟེ། ངང་པ་དང་། ཁྲུང་ཁྲུང་དང་། རྨ་བྱ་དང་། ནེ་ཙོ་དང་། རི་སྐེགས་དང་། ཁུ་བྱུག་དང་། ཀུ་ན་ལ་དང་། ཤང་ཤང་ཏེའུ་དེ་དག་ཀྱང་རང་རང་གི་སྐད་དུ་སྒྲ་སྐད་འབྱིན་ཅིང་རྒྱལ་པོའི་ཁབ་ཀྱི་སྒོའི་ཁོར་ཡུག་ཏུ་སྐོར་བར་བྱེད་དོ། ||| All the birds that lived near the gate to the city of Rājagṛha—geese, cranes, peacocks, parrots, mynas, cuckoos, pheasants, and partridges—called out with their own songs, and flocked to surround the gate to Rājagṛha.
།རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ནས། སྐྱེས་པ་དང་། བུད་མེད་དང་། ཁྱེའུ་དང་། བུ་མོ་བསིལ་ཁང་དང་། ཁང་པ་བརྩེགས་པ་དང་། སྟེགས་བུ་དང་། སྒོ་གང་དང་། སྐར་ཁུང་ནས་ལྟ་ཞིང་འཁོད་པ་དེ་དག་གིས་ཀྱང་བཅོམ་ལྡན་འདས་ལ་མེ་ཏོག་གི་ཕུར་མ་གཏོར་ཏོ། ||| Within Rājagṛha, men, women, boys, and girls watched from pavilions, town houses, ledges, vestibules, and windows, scattering flower petals upon the Blessed One.
།རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་སྐྱེ་བོ་ཕལ་པོ་ཆེ་ཡང་ངོ་མཚར་དུ་གྱུར། ||| All the people of Rājagṛha were amazed and filled with wonder and joy.
རྨད་དུ་བྱུང་བར་གྱུར་ཏེ། ཡི་རངས་པར་གྱུར་ནས་སྒྲ་གསང་མཐོན་པོ་དང་། སྒྲ་ཆེན་པོར་ཧི་ཧི་ཞེས་བྱ་བ་དང་། ཧ་ཧ་ཞེས་བྱ་བ་དང་། ཨ་ལ་ལ་ཞེས་བྱ་བ་དང་། ཨའུ་ཞེས་སྒྲ་ཆེན་པོ་འབྱིན་ཏོ། ||| They shouted at the top of their voices, laughed loudly, and exclaimed their wonder and awe.
།བཅོམ་ལྡན་འདས་ལ་གོས་ཀྱང་འཐོར་རོ། ||| They even tossed clothes to the Blessed One.
།དེ་ནས་བཅོམ་ལྡན་འདས་རྒྱལ་པོའི་ཁབ་ཏུ་ཞུགས་ཏེ། ||| The Blessed One then entered Rājagṛha and went to the house of Śrīgupta.
ཁྱིམ་བདག་དཔལ་སྦས་ཀྱི་ཁྱིམ་ག་ལ་བ་དེར་གཤེགས་པ་དང་། དགེ་བསྙེན་ཞིག་གིས་བཅོམ་ལྡན་འདས་རྒྱང་རིང་པོ་ནས་བྱོན་པ་མཐོང་ངོ་། །མཐོང་ནས་ཀྱང་དེས་འདི་སྙམ་དུ་བསམས་ཏེ། ཁྱིམ་བདག་དཔལ་སྦས་འདི་ནི་བཅོམ་ལྡན་འདས་ལ་རྣམ་པ་འདི་ལྟ་བུ་འདི་བྱེད་པར་འདོད་ན་བཅོམ་ལྡན་འདས་བཀྲོངས་པར་མི་འགྱུར་གྲང་། ||| A lay devotee who saw the Blessed One arriving from afar thought, “If Śrīgupta intends to carry out such an act against the Blessed One, will the Blessed One not be killed?
