༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སཱུརྱ་གརྦྷ་ནཱ་མ་མ་ཧཱ་བཻ་བུ་ལྱཾ་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཤིན་ཏུ་རྒྱས་པ་ཆེན་པོའི་སྡེ་ཉི་མའི་སྙིང་པོ་ཞེས་བྱ་བའི་མདོ། ||| The Noble Very Extensive Sūtra The Quintessence of the Sun
།ཁ་ཅིག་གི་ནི་བརྒྱ་བྱིན་དང་མཉམ་པ་དག་གོ། །ཁ་ཅིག་གི་ནི་མི་མཇེད་ཀྱི་བདག་པོ་ཚངས་པ་དང་མཉམ་པ་ནས་ཁ་ཅིག་གི་ནི་ཟླ་བ་དང་མཉམ་པའི་བར་དག་གོ། ། ||| some were equal to the light emitted by Śakra, some were equal to the light emitted by Brahmā, the lord of the Sahā world, and some were equal to the light emitted by the moon.
ཁ་ཅིག་གི་ནི་ཉི་མ་དང་མཉམ་པ་དག་གོ། །ཁ་ཅིག་གི་ནི་ཉི་མ་གཉིས་དང་མཉམ་པ་དག་གོ། །ཁ་ཅིག་གི་ནི་ཉི་མ་གསུམ་དང་མཉམ་པ་དག་གོ། །ཁ་ཅིག་གི་ནི་ཉི་མ་ལྔ་དང་མཉམ་པ་དག་གོ། །ཁ་ཅིག་གི་ནི་ཉི་མ་སྟོང་དང་མཉམ་པའི་བར་དག་གོ། ||| Some were equal to the light emitted by the sun, some were equal to the light emitted by two suns, some were equal to the light emitted by three suns, some were equal to the light emitted by five suns, and some were equal to the light emitted by a thousand suns.
།ཁ་ཅིག་གི་ནི་ལུས་ལས་ནི་ཉི་མ་བྱེ་བ་བརྒྱ་སྟོང་དང་མཉམ་པའི་འོད་དག་བྱུང་སྟེ། ||| From the bodies of some of those bodhisattvas radiated light equal to the light emitted by a trillion suns.
མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ཐམས་ཅད་སྔོན་མ་མཐོང་མ་ཐོས་པའི་སྣང་བ་ཆེན་པོ་རྒྱ་ཆེ་བ་དེ་ལྟ་བུས་འཇིག་རྟེན་ཁྱབ་པར་གྱུར་ཏོ། ||| This far-reaching, brilliant light, which had never been seen or heard of before anywhere in this entire buddha realm of Sahā, pervaded the world.
།དེ་དག་གི་ལུས་ལས་མཆོག་ཏུ་སེམས་ཅན་གཞན་དག་གི་ལུས་དང་སེམས་ཀྱི་བདེ་བ་ལ་རེག་པ་དང་། དགའ་བ་དང་། རབ་ཏུ་ཚིམ་པར་བྱེད་པ། ||| From their bodies radiated a light that brought the most supreme form of bliss to the bodies and minds of sentient beings and provided delight and satisfaction.
ནད་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པ། ལྟ་བ་ངན་པ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པ། ལུས་ཀྱི་གནས་ངན་ལེན་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པ། བཀྲེས་པ་དང་སྐོམ་པ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པ། འདོད་པ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པ། ཁྲོ་བ་ཐམས་ཅད་དང་། འཇིགས་པ་ཐམས་ཅད་དང་། ཉོན་མོངས་པ་དང་། འཆིང་བ་ཐམས་ཅད་རབ་ཏུ་ཞི་བར་བྱེད་པའི་འོད་བྱུང་སྟེ། ||| This light completely pacified all diseases, completely pacified all unwholesome views, completely pacified all kinds of physical depravity, completely pacified all types of hunger and thirst, completely pacified all desires, and completely pacified all forms of aggression, fear, affliction, and bondage.
སངས་རྒྱས་ཀྱི་ཞིང་འདི་ན་སྲིད་པ་གསུམ་གྱི་བཙོན་རའི་སྡུག་བསྔལ་གྱི་འཇིགས་པ་ཐམས་ཅད་ཀྱི་བར་རབ་ཏུ་ཞི་བར་བྱེད་དོ། ||| In this buddha realm, this light completely pacified all the fears associated with the suffering experienced in the prison of the three realms.
།དེའི་ཚེ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ན་སེམས་ཅན་ཐམས་ཅད་སངས་རྒྱས་ལ་འབབ་པ་དག་དང་། ཆོས་ལ་འབབ་པ་དག་དང་། དགེ་འདུན་གྱི་ཡོན་ཏན་ལ་དགའ་བ་ལ་མཁས་པ་དག་འཁོད་པར་གྱུར་ཏོ། ||| At that time, all those sentient beings—who were inclined toward the Buddha and the Dharma and skilled in delighting in the qualities of the Saṅgha—were seated in this buddha realm.
།ཡང་དེའི་ཚེ་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ཕྱོགས་བཅུའི་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་སྟོང་པ་དང་། སྟོང་པ་མ་ཡིན་པ་དག་དང་། ཡོངས་སུ་དག་པ་དང་། ཡོངས་སུ་དག་པ་མ་ཡིན་པ་དག་ན་ཀུན་ནས་ལྷམ་མེ། ལྷན་ནེ། ལྷང་ངེར་ཡང་དག་པར་སྣང་བ་ནི་འདི་ལྟ་སྟེ། ||| At the same time, this buddha realm became visible, in a radiant, clear, and brilliant manner, from as many buddha realms in the ten directions as there are grains of sand in the Ganges—whether those realms were empty of buddhas or not, whether they were pure or impure.
མཚན་མོ་མུན་པ་བྱུང་བ་ན་ཟླ་བ་དང་། ཉི་མ་བརྒྱ་སྟོང་ཤར་ནས་ལྷམ་མེ། ལྷན་ནེ། ལྷང་ངེ་བ་བཞིན་ཏེ། ||| This buddha realm had the radiance, clarity, and brilliance of a hundred thousand moons rising in the darkness of the night.
དེ་ལྟར་དེའི་ཚེ་མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་ཡང་ཕྱོགས་བཅུའི་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་སྟོང་པ་དང་། སྟོང་པ་མ་ཡིན་པ་དག་དང་། ཡོངས་སུ་དག་པ་དང་། ཡོངས་སུ་མ་དག་པ་དག་ན་ཀུན་ནས་མཆོག་ཏུ་ལྷམ་མེ། ལྷན་ནེ། ལྷང་ངེར་གྱུར་ཏོ། ། ||| In that way, this buddha realm of Sahā appeared in the most radiant, clear, and brilliant manner in buddha realms of the ten directions as numerous as the grains of sand in the Ganges—whether those realms were empty of buddhas or not, whether they were pure or impure.
དེ་ནས་སངས་རྒྱས་ཀྱི་ཞིང་དེ་དང་དེ་དག་ན་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གང་དག་ཡོད་པ་དང་། གང་དག་བསྐལ་པ་བརྒྱས་ངེས་པར་བྱུང་བ་དག་དང་། གང་དག་སངས་རྒྱས་ཀྱི་ཆོས་མ་འདྲེས་པ་བཅྭ་བརྒྱད་ལ་གཞན་ལ་རག་མ་ལས་པའི་ཡེ་ཤེས་ལ་མཁས་པ་དག་དང་། མི་འཇིགས་པ་ཐོབ་པའི་བར་དེ་དག་སངས་རྒྱས་ཀྱི་མཐུས་དེ་ནས་ཆས་ཏེ། སེམས་ཀྱི་སྐད་ཅིག་མ་གཅིག་དང་ལྡན་པས་སངས་རྒྱས་ཀྱི་ཞིང་འདིར་ཞུགས་ནས་གནས་ཇི་ལྟ་བ་བཞིན་ས་སྟེང་དུ་སྐྱིལ་མོ་ཀྲུང་གིས་འཁོད་པར་གྱུར་ཏོ། ||| Then, through the power of the Buddha, all bodhisattva great beings present in those different buddha realms who had reached emancipation over the course of a hundred eons, who were endowed with the eighteen unique qualities of the buddhas and skilled in the wisdom that does not depend on anything else, and who had reached fearlessness departed from those places, entered this buddha realm in a single instant of thought, and sat cross-legged upon the earth in their respective ways of abiding.
།དེ་བཞིན་དུ་རང་རང་གི་དགེ་བའི་ཕྱོགས་ལ་ནན་ཏན་དག་ཏུ་བྱེད་ཅིང་ཇི་ལྟར་དགེ་བའི་ཕྱོགས་ཀྱི་སྟོབས་བསྐྱེད་པ་ཐོབ་པ་དེ་དག་དང་། མི་འཇིགས་པའི་རྒྱུ་དང་རྐྱེན་དང་ལྡན་པ་དེ་དག་གི་ལུས་ལས་དེ་འདྲ་བ་ཁོ་ནའི་འོད་བྱུང་བར་གྱུར་ཏོ། ||| The exact same lights radiated from the bodies of each of those beings who exerted themselves in virtuous endeavors, who had developed the power of virtue, and who were endowed with the causes and conditions of fearlessness.
།དེ་ནས་བཅོམ་ལྡན་འདས་དགེ་སློང་གི་དགེ་འདུན་གྱིས་ཡོངས་སུ་བསྐོར་ནས་ཉན་ཐོས་ཆེན་པོ་རྣམས་ལ་བཀའ་སྩལ་པ། ཁྱེད་བསམ་གཏན་གྱི་ཡུལ་གྱི་མཐུ་ལ་ལྟོས་ཤིག ། ||| Surrounded by his saṅgha of monks, the Blessed One then said to the great hearers, “Look at the power of the domain of concentration!
བྱིན་གྱི་རླབས་ཀྱི་རྒྱུས་བདུད་ཐམས་ཅད་ཀྱི་ཡུལ་དང་། ཀླུ་ཐམས་ཅད་ཀྱི་ཡུལ་ཟིལ་གྱིས་མནན་ནས། སྔོན་གྱི་དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་འདིར་ཆོས་ཀྱི་ཚུལ་དང་། དཀོན་མཆོག་གསུམ་གྱི་གདུང་རྒྱུན་མི་འཆད་པའི་ཕྱིར་དང་། གསལ་བར་མཛད་པའི་ཕྱིར་མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ཐམས་ཅད་ཡོངས་སུ་སྤྱད་པ་མཛད་དོ། ། ||| Having used their blessings to overpower the domains of all the māras and nāgas, all the thus-gone ones of the past engaged with this entire buddha realm of Sahā to ensure that the way of the Dharma and the lineage of the Three Jewels remain uninterrupted and illuminated here.
དེ་བཞིན་དུ་ད་ལྟར་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་གྲངས་མེད་པ། དཔག་ཏུ་མེད་པ་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་བསམ་གཏན་དང་། མངོན་པར་ཤེས་པའི་ཡུལ་ལ་རྣམ་པར་རྩེ་བ་དང་ལྡན་པ་དག་གིས་མི་མཇེད་ཀྱི་སངས་རྒྱས་ཀྱི་ཞིང་འདི་ན་ཆོས་ཀྱི་ཚུལ་ཡུན་རིང་དུ་གནས་པར་བྱ་བའི་ཕྱིར་དང་། གསལ་བར་བྱ་བའི་ཕྱིར་དང་། ལྷ་དང་། ཀླུ་དང་། གནོད་སྦྱིན་དང་། ལྷ་མ་ཡིན་དང་། ནམ་མཁའ་ལྡིང་དང་། མི་འམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་། མི་མ་ཡིན་པ་མ་དད་པ་རྣམས་དད་པར་བྱ་བའི་ཕྱིར་དང་། དད་པ་རྣམས་ཕྱིར་ཞིང་འཕེལ་བར་བྱ་བའི་ཕྱིར་དང་། སེམས་ཅན་ཆོས་ལ་མངོན་པར་བརྩོན་པ་དག་དང་། ཆོས་ཀྱིས་གནས་པ་དག་དང་། ཡོན་ཏན་གྱིས་ཕྱུག་པ་དག་དང་། སེམས་ལ་དབང་དང་ལྡན་པར་གྱུར་པ་རྣམས་བདེ་བ་ལ་རེག་པ་དང་། རྣམ་པར་ཐོ་འཚམ་པ་མེད་པར་བྱ་བའི་ཕྱིར་དང་། ངའི་བསྟན་པ་རབ་ཏུ་མི་འཇིག་པར་བྱ་བའི་ཕྱིར་དང་། བྱང་གྲོལ་གྱི་བདེ་བ་ཡོངས་སུ་རྫོགས་པར་བྱ་བའི་ཕྱིར་ས་ཆེན་པོ་འདི་ཡོངས་སུ་སྤྱད་པར་བྱས་པ་ཡིན་ནོ། ||| Similarly, a countless and limitless number of bodhisattva great beings—as numerous as the grains of sand in the Ganges—who revel in the domains of concentration and higher perception are now engaging with this great earth in this buddha realm of Sahā to ensure that the Dharma way remains for a long time and is illuminated; to ensure that the gods, nāgas, yakṣas, asuras, garuḍas, kinnaras, mahoragas, humans, and nonhumans who lack faith develop faith; to ensure that those among them who have faith develop it further and further; to ensure that sentient beings who strive for the Dharma, abide by the Dharma, possess a wealth of qualities, and have developed control over their minds experience happiness and remain free from harm; to ensure that my teachings do not vanish; and to perfect the happiness of emancipation.
