འཕགས་པ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་ཞུས་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra The Questions of Ratnajālin
དེའི་ཚེ་ལྷ་བྱེ་བ་ས་ཡ་བརྒྱ་ཕྲག་སྟོང་དུ་མ་ལྷའི་མེ་ཏོག་ཨུད་པ་ལ་དང་། པད་མ་དང་། ཀུ་མུ་ད་དང་། པད་མ་དཀར་པོ་རྣམས་དང་། ལྷའི་རིན་པོ་ཆེ་ལས་བྱས་པའི་མེ་ཏོག་རྣམས་དང་། ལྷའི་ཨ་ག་རུའི་ཕྱེ་མ་དང་། རིན་པོ་ཆེའི་ཕྱེ་མ་དང་། འཛམ་བུ་ཆུ་བོའི་གསེར་དང་། ལྷའི་རིན་པོ་ཆེའི་ཕྱེ་མ་རྣམས་ཀྱིས་བཅོམ་ལྡན་འདས་ལ་མངོན་པར་གཏོར། མངོན་པར་རབ་ཏུ་གཏོར་ཏོ། ། ||| At that time, trillions of gods scattered and tossed blue, pink, red, and white lotuses, flowers made of precious divine substances, the powdered aloewood of the gods, powdered gems, gold from the Jambu river, and powdered divine gems upon the Blessed One.
ལྷའི་སིལ་སྙན་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་མངོན་པར་རབ་ཏུ་དཀྲོལ་ཏོ། ། ||| Trillions of divine instruments resounded.
ལྷའི་རྒྱན་དཔག་ཏུ་མེད་པ་རྣམས་ཀྱིས་བརྒྱན་ཏོ། ། ||| Unfathomable divine ornaments adorned him.
སྟེང་གི་བར་སྣང་ལ་ཙན་དན་དམར་པོ་ཤིང་རྟའི་སྲོག་ཤིང་ཙམ་གྱི་ཆར་གྱི་རྒྱུན་ཕབ་པར་གྱུར་ཏོ། ། ||| In the sky above, a steady rain of red sandalwood powder fell to the depth of a chariot axle.
དེ་ནས་བཅོམ་ལྡན་འདས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་གྱི་གནས་ག་ལ་བ་དེར་གཤེགས་ཏེ། བྱོན་ནས་གདན་བཤམས་པ་དེ་ལ་བཞུགས་ཏེ། དགེ་སློང་གི་དགེ་འདུན་དང་། དགེ་སློང་མའི་དགེ་འདུན་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མའི་འཁོར་རྣམས་དང་ཐབས་ཅིག་གོ། ། ||| The Blessed One then arrived at the Licchavi boy Ratnajālin’s home and sat upon the seat that had been prepared for him along with the saṅghas of fully ordained monks and nuns and the assemblies of novice monks and nuns.
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་བཅོམ་ལྡན་འདས་བཞུགས་པར་རིག་ནས་རང་གི་ལག་ནས་བཅའ་བ་དང་། བཟའ་བ་དང་། མྱང་བ་བཟང་པོ་རབ་ཏུ་མང་པོས་ཚིམ་པར་བྱེད་ཅིང་གང་བཞེད་པ་སྟོབ་པར་བྱེད་དོ། ། ||| Seeing that he had arrived, the Licchavi boy Ratnajālin personally served the Blessed One with an abundance of the finest food, drink, and sweets, to please him and serve him everything he wished for.
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་བཅོམ་ལྡན་འདས་ཀྱིས་ཞལ་ཟས་གསོལ་ལགས་པར་རིག་ནས་ལྷུང་བཟེད་བླངས་ཏེ་ཆབ་ཕུལ་ནས་ཕྱག་བཅབས་སོ། ། ||| When the Licchavi boy Ratnajālin noticed that the Blessed One had finished eating, he picked up the alms bowl, offered water, and covered the Blessed One’s hands.
བྱེ་བ་ཁྲག་ཁྲིག་འབུམ་རི་བའི་ཆོས་གོས་གསུམ་གྱིས་བཅོམ་ལྡན་འདས་ལ་མངོན་པར་གསོལ་ཏོ། ། ||| He then dressed the Blessed One with a priceless set of the three Dharma robes.
དགེ་སློང་གི་དགེ་འདུན་དང་། དགེ་སློང་མའི་དགེ་འདུན་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མའི་འཁོར་རྣམས་ལ་ཡང་ཆོས་གོས་གསུམ་གྱིས་མངོན་པར་གཡོགས་ཏེ། ||| He also dressed the saṅghas of fully ordained monks and nuns and the assemblies of novice monks and nuns with sets of the three Dharma robes.
དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why?
འདི་ལྟར་དེ་ནི་བཅོམ་ལྡན་འདས་ཀྱི་མཐུས་སོ། ། ||| He did this because he was moved by the power of the Blessed One.
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The Licchavi boy Ratnajālin then asked the Blessed One,
གལ་ཏེ་ཞུ་བ་ལུང་བསྟན་པའི་སླད་དུ་བཅོམ་ལྡན་འདས་ཀྱིས་བདག་ལ་སྐབས་ཕྱེ་ན། ||| “If the Blessed One were to grant me the opportunity to request a teaching,
བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་ལ་བདག་ཕྱོགས་འགའ་ཞིག་ཞུའོ། ། ||| I would like to ask the Blessed Thus-Gone One a few questions.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One responded to the Licchavi boy Ratnajālin,
གཞོན་ནུ་ཁྱོད་དེ་བཞིན་གཤེགས་པ་ལ་གང་དང་གང་སོམ་ཉི་ཡོད་པ་ཞུས་ཤིག་དང་། ||| “Young man, you may ask the Thus-Gone One anything you are concerned with.
ངས་དེ་དང་དེའི་ཞུ་བ་ལུང་བསྟན་པས་སེམས་རངས་པར་བྱའོ། ། ||| Then I shall delight you with teachings that answer your questions.”
དེ་ནས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་གྱིས་བཅོམ་ལྡན་འདས་ལ་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| The Licchavi boy Ratnajālin then asked the Blessed One,
བཅོམ་ལྡན་འདས་འཇིག་རྟེན་གྱི་ཁམས་གཞན་དག་ན། སངས་རྒྱས་བཅོམ་ལྡན་འདས་སྔོན་གྱི་སྨོན་ལམ་དང་ལྡན་པ་བཞུགས་ཤིང་འཚོ་བ་གང་དག་གི་མཚན་ཐོས་པ་ཙམ་གྱིས་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་ལ་ཡང་དག་པར་གནས་པའི་རིགས་ཀྱི་བུའམ་རིགས་ཀྱི་བུ་མོ་སོམ་ཉི་མ་མཆིས་ཤིང་ཐེ་ཙོམ་མ་མཆིས་པར་འགྱུར། ||| “Blessed One, in other worlds, are there blessed buddhas that through their previous aspirations have names that, when merely heard, help noble sons and daughters who follow the Bodhisattva Vehicle to end all doubt and hesitation,
ཕྱིར་མི་ལྡོག་ཅིང་བླ་ན་མ་མཆིས་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་ཡང་འགྱུར། ||| to become irreversible and fully awaken to unsurpassed and perfect buddhahood,
ཚེ་རབས་དྲན་པ་དང་ཡང་ལྡན་པར་འགྱུར། ||| to gain recollection of past lives,
ནམ་དུ་ཡང་སེར་སྣའི་སེམས་དང་ལྷན་ཅིག་མི་གནས། ||| to never have a stingy attitude,
བྱང་ཆུབ་སེམས་དཔའི་འཁོར་གྱིས་ཀྱང་ཡོངས་སུ་བསྐོར་བར་འགྱུར། ཉན་ཐོས་ཀྱི་འཁོར་དང་བྲལ་བར་འགྱུར། ||| to be surrounded by the bodhisattva assembly and to be without the assembly of hearers,
ཡོན་ཏན་གྲངས་མེད་པ་བྱེ་བ་ཁྲག་ཁྲིག་ཕྲག་འབུམ་གྱིས་ཀྱང་ཡོངས་སུ་བཟུང་བར་འགྱུར། ||| to acquire countless trillions of virtues,
སངས་རྒྱས་ཐམས་ཅད་མངོན་པར་དགྱེས་པར་བགྱིས་པས་སེམས་ཅན་ཐམས་ཅད་ཡང་དག་པར་ཚིམ་པར་བགྱིད། ||| to satisfy all beings by pleasing all the buddhas,
བདུད་ཐམས་ཅད་ཤིན་ཏུ་སྐྲག་པར་བགྱིད། ||| to terrify the māras,
སངས་རྒྱས་ཀྱི་ཞིང་ཐམས་ཅད་སྦྱོང་། ||| to purify all buddha realms,
སེམས་ཅན་ཐམས་ཅད་ཀྱི་སེམས་ཀྱི་བསམ་པའི་དྲི་མ་སེལ། ||| to cleanse the stains in the minds of all beings,
སེམས་ཅན་ཐམས་ཅད་ཆོས་དཀར་པོ་ལ་ཡང་དག་པར་བསྐུལ། ||| to inspire all beings to the virtuous Dharma,
ལྷས་ཀྱང་ཡོངས་སུ་བཟུང་བར་འགྱུར། ||| to be protected by the gods,
བྱང་ཆུབ་སེམས་དཔས་ཀྱང་བསམ་པར་འགྱུར། ||| to be considered by the bodhisattvas,
དེ་བཞིན་གཤེགས་པས་ཀྱང་བྱིན་གྱིས་རློབ་པར་མཛད། ||| to be blessed by the thus-gone ones,
ནམས་ཀྱང་སངས་རྒྱས་བཅོམ་ལྡན་འདས་རྣམས་དང་འབྲལ་བར་མི་འགྱུར། ||| to never be separated from the blessed buddhas,
རྣམ་པ་ཐམས་ཅད་ཀྱི་མཆོག་དང་ལྡན་པས་བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་དག་ཀྱང་ཡོངས་སུ་རྫོགས་པར་འགྱུར། ||| to perfect bodhisattva conduct by possessing the finest qualities,
སྒྲ་དབྱངས་ཀྱི་རྣམ་པ་སྟོང་ཕྲག་བརྒྱད་ཅུ་རྩ་བཞི་ཡོངས་སུ་རྫོགས་པ་ཐོབ་པར་འགྱུར། ||| to gain the entirety of the 84,000 verbal expressions,
ཚངས་པའི་དབྱངས་སུ་འགྱུར། ||| to attain the voice of Brahmā ,
འཇིག་རྟེན་གྱི་ཁམས་ཐམས་ཅད་དང་འཐུན་པའི་སྒྲ་དབྱངས་དང་ལྡན་པ་ལྟ་བཞུགས་ལགས་སམ། ||| and to gain a voice that is in conformity with all worlds?”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་ལིཙྪ་བཱི་གཞོན་ནུ་རིན་ཆེན་དྲ་བ་ཅན་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One answered the Licchavi boy Ratnajālin,
