འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་ཉི་ཤུ་རྩ་གཅིག་པ་སྟེ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ། བམ་པོ་གཅིག་པ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་བྷ་དྲ་མཱ་ཡཱ་ཀ་ར་བྱཱ་ཀ་ར་ཎ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་སྒྱུ་མ་མཁན་བཟང་པོ་ལུང་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Prophecy for Bhadra the Illusionist
མཽད་གལ་གྱི་བུ་གཞན་ཡང་སྒྱུ་མ་མཁན་བཟང་པོའི་སྒྱུ་མ་ནི་ཕྱོགས་གཅིག་པ་ཡིན་པས་སྒྱུ་མ་ཡང་དག་པ་མ་ཡིན་གྱི། དེ་བཞིན་གཤེགས་པའི་སྒྱུ་མ་ནི་ཡང་དག་པ་ཡིན་ཏེ། དེས་ན་ཆོས་ཐམས་ཅད་སྒྱུ་མ་ལྟ་བུར་མངོན་པར་རྫོགས་པར་སངས་རྒྱས་སོ། ། ||| “Furthermore Maudgalyāyana, since the power of illusion of Bhadra the illusionist is limited, it is impure, while the power of illusion of a tathāgata is pure, since he is completely and manifestly awakened to all phenomena being like illusions.
མཽད་གལ་གྱི་བུ་སེམས་ཅན་གྱི་ཁམས་སུ་གདགས་པར་འདོགས་པ་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་འདི་ལྟ་སྟེ། སྒྱུ་མ་མཁན་བཟང་པོའི་སྒྱུ་མ་འདི་ལྟ་བུ་དང་ལྡན་པར་གྱུར་ཀྱང་དེ་དག་ཐམས་ཅད་ཀྱིས་དེ་བཞིན་གཤེགས་པའི་སྒྱུ་མ་ལ་བརྒྱའི་ཆར་ཡང་ཉེ་བར་མི་འགྲོ། སྟོང་གི་ཆར་ཡང་ཉེ་བར་མི་འགྲོ། བྱེ་བ་འབུམ་གྱི་ཆར་ཡང་། ||| “Maudgalyāyana, even if all those multitudes designated as belonging to the realm of beings were to possess powers of illusion like that of Bhadra the illusionist, this would not even come close to a hundredth of a tathāgata’s power of illusion; nor would it even come close to a thousandth, nor a trillionth.
གྲངས་སུ་ཡང་། ཆར་ཡང་། བགྲང་བར་ཡང་། དཔེར་ཡང་ཉེ་བར་མི་འགྲོའོ། ། ||| Nor would any such calculation, fraction, enumeration, or simile come close.
མཽད་གལ་གྱི་བུ་འདི་ཇི་སྙམ་དུ་སེམས། ||| “Maudgalyāyana, what do you think?
སྒྱུ་མ་མཁན་བཟང་པོས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་རྒྱན་ཐམས་ཅད་ཀྱིས་བརྒྱན་པར་ཀུན་ཏུ་སྟོན་ནུས་སམ། ||| Is Bhadra the illusionist able to display this great trichiliocosm in its entirety, fully adorned with all its features?”
གསོལ་པ། མ་ལགས་སོ། ། ||| “No, he is not,” replied Maudgalyāyana.
བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། དེ་བཞིན་གཤེགས་པ་ནི་བཞེད་ན་འཇིག་རྟེན་གྱི་ཁམས་གང་གཱའི་ཀླུང་གི་བྱེ་མ་སྙེད་བརྒྱན་ཅིང་དེ་ཐམས་ཅད་ཀྱང་སྐྲའི་རྩེ་མོའི་ཆ་ཤས་ཙམ་ལ་ཀུན་ཏུ་སྟོན་པར་མཛད་ཀྱང་། ||| The Blessed One continued, “If a tathāgata so wishes, he can display all the world systems as numerous as the grains of sand in the Ganges, fully adorned, on the mere tip of a hair.
དེ་བཞིན་གཤེགས་པའི་སྒྱུ་མ་རིལ་གྱིས་བསྟན་པར་ནི་མི་འགྱུར་རོ། །མཽད་གལ་གྱི་བུ་ཕྱོགས་བཅུ་ན་རླུང་གི་དཀྱིལ་འཁོར་གང་དག་ཡོད་པ་འདི་ལྟ་སྟེ། རླུང་གི་དཀྱིལ་འཁོར་རྣམ་པར་འཐོར་བྱེད་ཅེས་བྱ་བ་དང་། རླུང་གི་དཀྱིལ་འཁོར་ཡོངས་སུ་གཅོད་བྱེད་ཅེས་བྱ་བ་གང་དག་གིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་ཡོངས་སུ་གཅོད་པར་བྱེད་ཅིང་ཡོངས་སུ་བཅད་ནས་ཀྱང་འཇིག་པར་བྱེད་པ་དང་། རླུང་གི་དཀྱིལ་འཁོར་ཀུན་ཏུ་འཐོར་བྱེད་དང་། རྣམ་པར་འཐོར་བྱེད་ཅེས་བྱ་བ་འཇིག་རྟེན་གྱི་བར་ན་རྒྱུ་བ་གང་དག་ཡིན་པ་དང་། རླུང་གི་དཀྱིལ་འཁོར་ཀུན་ནས་ཡོངས་སུ་འཇོག་པ་ཞེས་བྱ་བ་སྲིད་པའི་རྩེ་མོ་ན་རྒྱུ་བ་གང་དག་ཡིན་པ་དང་། རླུང་གི་དཀྱིལ་འཁོར་རྣམ་པར་འཇིག་པ་ཞེས་བྱ་བ་རིའི་རྒྱལ་པོ་རི་རབ་ཀྱང་རྣམ་པར་འཇིག་པར་བྱེད་ན། རི་ཕལ་པ་ལྟ་སྨོས་ཀྱང་ཅི་དགོས་པ་གང་དག་ཡིན་པ་དང་། ||| But even this would not show the full extent of a tathāgata’s power of illusion.
རླུང་གི་དཀྱིལ་འཁོར་འབར་བྱེད་ཅེས་བྱ་བ་སྲེག་པའི་བསྐལ་པའི་ཚེ་ལྡང་ཞིང་གང་གིས་ན་མེ་ལྕེ་དེ་དག་ཚངས་པའི་འཇིག་རྟེན་གྱི་བར་དུ་འཕེན་པར་བྱེད་པ་དང་། རླུང་གི་དཀྱིལ་འཁོར་རྣམ་པར་སྒྲུབ་བྱེད་ཅེས་བྱ་བ་གང་གིས་སྲེག་པའི་བསྐལ་པའི་མེ་དེ་ཞི་བར་བྱེད་པ་དང་། རླུང་གི་དཀྱིལ་འཁོར་རབ་ཏུ་ཚིམ་བྱེད་ཅེས་བྱ་བ་གང་གིས་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་འདི་སྤྲིན་གྱི་དྲ་བ་གཅིག་གིས་ཀུན་ཏུ་ཁེབས་པར་བྱེད་པ་དང་། རླུང་གི་དཀྱིལ་འཁོར་ཆུས་འདེབས་ཞེས་བྱ་བ་གང་གིས་ན་སྲེག་པའི་བསྐལ་པའི་ཚེ་ཆར་འབེབས་པར་བྱེད་པ་དང་། རླུང་གི་དཀྱིལ་འཁོར་ལྷག་པར་སྐེམས་ཞེས་བྱ་བ་གང་གིས་ན་ཆུས་འཇིག་པ་དེ་ལྷག་པར་སྐེམས་པར་བྱེད་པ་ཡོད་དོ། ། ||| Maudgalyāyana, in the ten directions there are the following maṇḍalas of wind: the wind called scattering; the wind called cutting asunder, which cuts the trichiliocosm asunder and, having cut it asunder, destroys it; the wind called dispersing and scattering, which moves about in the middle of the world; the wind called all-settling, which moves about at the summit of existence; the wind called destroying, which utterly destroys even Mount Meru, the king of mountains, let alone ordinary mountains; the wind called blazing, which arises during the conflagration of an eon and whose flames blaze all the way up to the Brahmā realms; the wind called consummating, which pacifies the fire at the eon’s conflagration; the wind called delighting, which completely covers the trichiliocosm with a lattice of clouds; the wind called sprinkling with water, which causes rain to descend during the conflagration of an eon; and the wind called completely drying, which completely dries that which has been destroyed by water.
མཽད་གལ་གྱི་བུ་ངས་རླུང་གི་དཀྱིལ་འཁོར་ལས་བརྩམས་ཏེ་བསྐལ་པ་འམ། བསྐལ་པ་ལས་ལྷག་པར་ཆོས་བསྟན་ཀྱང་དེ་བཞིན་གཤེགས་པས་རླུང་གི་དཀྱིལ་འཁོར་ལས་བརྩམས་ཏེ་ཆོས་བསྟན་པ་ལ་མཐའ་ཐུག་པ་མེད་དོ། ། ||| “Maudgalyāyana, beginning with these maṇḍalas of wind, I could teach the Dharma for an eon or even longer than an eon, for there is no end to the Dharma taught by a tathāgata, beginning from the explanation of these maṇḍalas of wind.
མཽད་གལ་གྱི་བུ་འདི་ཇི་སྙམ་དུ་སེམས། ||| “Maudgalyāyana, what do you think?
སྒྱུ་མ་མཁན་བཟང་པོས་རླུང་གི་དཀྱིལ་འཁོར་དེ་དག་གི་ནང་དུ་འདུག་པར་ནུས་སམ། གསོལ་པ། ||| Would the illusionist Bhadra be able to remain in those maṇḍalas of wind?”
མ་ལགས་སོ། །བཅོམ་ལྡན་འདས་ཀྱིས་བཀའ་སྩལ་པ། ||| “No, he would not,” replied Maudgalyāyana.
མཽད་གལ་གྱི་བུ་ང་ནི་རླུང་གི་དཀྱིལ་འཁོར་དེ་དག་ཐམས་ཅད་ཀྱི་ནང་དུ་སྤྱོད་ལམ་བཞིས་གནས་པར་བྱེད་དོ། ། ||| The Blessed One continued, “Maudgalyāyana, I would be able to abide inside all those maṇḍalas of wind, all the while performing the four normal activities.
དེ་བཞིན་གཤེགས་པ་ནི་བཞེད་ན་རླུང་གི་དཀྱིལ་འཁོར་ཐམས་ཅད་ཡུངས་འབྲུ་གཅིག་གི་ནང་དུ་འཇོག་པར་མཛད། འཇུག་པར་མཛད་ལ། ཡུངས་འབྲུ་དེ་ཡང་རྣམ་པར་འཇིག་པར་མི་འགྱུར་ཞིང་། ||| If the Tathāgata so wishes, he could make all those winds enter a single mustard seed, and still the mustard seed would not be destroyed.
ཡུངས་འབྲུ་དེའི་ནང་དུ་རླུང་གི་དཀྱིལ་འཁོར་དེ་དག་ཐམས་ཅད་ཀྱི་བྱ་བ་ཐམས་ཅད་ཀྱང་ཉེ་བར་སྟོན་པར་མཛད་ལ། རླུང་དེ་དག་ཕན་ཚུན་ཐུག་པར་ཡང་མི་འགྱུར། ལྟུང་བར་ཡང་མི་འགྱུར་རོ། ། ||| Indeed, he could let all the activities of all those winds be displayed inside the mustard seed, and yet they would neither collide with one another nor decrease.
མཽད་གལ་གྱི་བུ་ང་ནི་སྒྱུ་མའི་ཆོས་ཉིད་དེ་ལྟ་བུ་དང་དེ་མ་ཡིན་པ་གཞན་ཡང་ཚད་མེད་པ་དང་ལྡན་ནོ། ། ||| “Maudgalyāyana, there is nothing like the nature of my power of illusion. Indeed, it is limitless.”
དེ་ནས་ཚེ་དང་ལྡན་པ་མཽད་གལ་གྱི་བུ་ཆེན་པོ་དང་། ||| Venerable Mahāmaudgalyāyana and the entire assembly were amazed.
ཐམས་ཅད་དང་ལྡན་པའི་འཁོར་དེ་ངོ་མཚར་དུ་གྱུར་ནས་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་མགོ་བོས་ཕྱག་འཚལ་ཏེ་ངག་འཐུན་པར་ཚིག་ཏུ་སྨྲས་པ། བཅོམ་ལྡན་འདས་བདག་ཅག་གིས་རྙེད་པ་ལེགས་པར་རྙེད་དེ། ||| They bowed their heads to the feet of the Blessed One and said together with one voice, “Blessed One, we are indeed fortunate!
སྟོན་པ་འདི་ལྟར་རྫུ་འཕྲུལ་ཆེ་བ། འདི་ལྟར་དབང་ཆེ་བར་གྲགས་པ། འདི་ལྟར་མཐུ་ཆེ་བ་ནི་བདག་ཅག་གིས་རྙེད་པ་ལེགས་པར་རྙེད་ལགས་སོ། ། ||| As the teacher possesses such superior magical power, such renown for being superior in might, and such superior power, we are indeed fortunate!
བཅོམ་ལྡན་འདས་གང་དག་དེ་བཞིན་གཤེགས་པའི་ཆོ་འཕྲུལ་འདི་ཐོས་ནས་མོས་པར་བགྱིད་ཅིང་མོས་པར་བགྱིས་ནས་ཀྱང་བླ་ན་མེད་པ་ཡང་དག་པར་རྫོགས་པའི་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད་པར་བགྱིད་པ་དེ་དག་ཀྱང་རྙེད་པ་ལེགས་པར་རྙེད་པ་ལགས་སོ། ། ||| Blessed One, those who hear of this miraculous display of the Tathāgata will be inspired. And being inspired, they will develop the mind intent on complete and perfect awakening, so they, too, will obtain excellent fortune!”
དེ་ནས་སྒྱུ་མ་མཁན་བཟང་པོ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོ་ག་ལ་བ་དེར་སོང་སྟེ། དེ་ཉིད་ཀྱི་ནུབ་མོ་རྒྱལ་པོའི་ཁབ་ཀྱི་གྲོང་ཁྱེར་ཆེན་པོའི་ཕྱོགས་གང་ན་གྲོང་ཁྱེར་ཐམས་ཅད་ཀྱི་བཙོག་དགུ་དང་། མི་འཐུན་པ་ཐམས་ཅད་འབབ་པ་དང་། འབྱུང་བའི་ས་ཕྱོགས་དེར་འཁོར་གྱི་ཁྱམས་ཆེན་པོ་དར་གྱི་ལྡ་ལྡི་དང་། ||| Then Bhadra the illusionist went to the great city of Rājagṛha, and that very night, in the sector of the great city of Rājagṛha where all the city’s refuse and unclean things were discarded, he conjured up a great reception courtyard adorned with silken streamers, parasols, victory banners, and raised silk flags.
