འཕགས་པ་ལྷག་པའི་བསམ་པ་བསྐུལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Mahāyāna Sūtra Inspiring Determination
བཅོམ་ལྡན་འདས་གལ་ཏེ་བདག་ཅག་གིས་དེང་སླན་ཆད་གནོད་སེམས་དང་། རྩོད་པའི་འཇིགས་པས་བསྐུལ་མ་ཐག་ཏུ་དཔག་ཚད་དམ་དཔག་ཚད་བརྒྱ་རམ་བྱོལ་ན་བདག་ཅག་གིས་དེ་བཞིན་གཤེགས་པ་ལ་བསླུས་པར་འགྱུར་རོ། ། ||| “Blessed One, from today onward, if we are at risk of becoming involved in conflict and dispute and we do not immediately distance ourselves from it by a mile or a hundred miles, then we will have betrayed the Thus-Gone One.
བཅོམ་ལྡན་འདས་གལ་ཏེ་བདག་ཅག་གིས་དེང་སླན་ཆད་བདག་ཉིད་ཚུལ་ཁྲིམས་དང་ལྡན་པར་ཁས་འཆེ་བ་འམ། མང་དུ་ཐོས་པ་འམ། སྦྱངས་པའི་ཡོན་ཏན་དང་ལྡན་པའམ། ཡོན་ཏན་གང་ཡང་རུང་བ་ཞིག་གིས་བདག་བརྗོད་ན་བདག་ཅག་གིས་དེ་བཞིན་གཤེགས་པ་ལ་བསླུས་པར་འགྱུར་རོ། ། ||| “Blessed One, from today onward, if we claim to have good discipline, or refer to ourselves as well educated or well trained, or as having any good qualities at all, then we will have betrayed the Thus-Gone One.
བཅོམ་ལྡན་འདས་གལ་ཏེ་བདག་ཅག་གིས་དེང་སླན་ཆད་དགེ་བ་མི་སྤྱོམས་ཤིང་སྡིག་པ་མི་འཆབ་པར་གནས་པར་མ་བགྱིས་ན་བདག་ཅག་གིས་དེ་བཞིན་གཤེགས་པ་དགྲ་བཅོམ་པ་ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་ལ་བསླུས་པར་འགྱུར་རོ། ། ||| “Blessed One, from today onward, if we do not refrain from boasting of our virtues and concealing our faults, then we will have betrayed the thus-gone, worthy, and perfect Buddha.”
དེ་ནས་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་དེ་དག་ལ་ལེགས་སོ་ཞེས་བྱ་བ་བྱིན་ཏེ། ||| Then the Blessed One congratulated those individuals belonging to the Bodhisattva Vehicle, saying, “Well said!
རིགས་ཀྱི་བུ་དག་ལེགས་སོ། །ལེགས་སོ་ཚིག་འདི་ཁྱེད་ཀྱིས་ལེགས་པར་སྨྲས་སོ། ། ||| Well said, children of noble lineage! Well said! You have spoken well!
ཡང་དག་པར་བླང་པ་འདི་ལེགས་པར་བྱས་སོ། ། ||| This commitment is well made.
ཁྱེད་ཡང་དག་པར་བླང་བ་འདི་ལ་གནས་ན་ལས་ཀྱི་སྒྲིབ་པ་རྣམ་པར་བྱང་བར་འགྱུར་ཞིང་དགེ་བའི་རྩ་བ་རྣམ་པར་དག་པ་ཡང་ཐོབ་པར་འགྱུར་རོ། ། ||| If you abide by this commitment, your obscurations of karma will be purified, and you likewise will acquire pure roots of virtue.”
དེའི་ཚེ་བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་བཀའ་སྩལ་པ། ||| At that point the Blessed One addressed the bodhisattva great being Maitreya:
བྱམས་པ་རིགས་ཀྱི་བུ་འམ། རིགས་ཀྱི་བུ་མོ་ལས་ཀྱི་སྒྲིབ་པ་སྦྱང་བར་འདོད་པས་ཇི་ལྟར་རིགས་ཀྱི་བུ་འདི་དག་གིས་བྱས་པ་དེ་བཞིན་དུ་ཡི་དམ་བཅའོ། ། ||| “Maitreya, sons or daughters of noble lineage who wish to purify their obscurations of karma should make just the type of commitment these children of noble lineage have made.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then the bodhisattva great being Maitreya asked the Blessed One,
བཅོམ་ལྡན་འདས་ཅི་རིགས་ཀྱི་བུ་འདི་དག་ཡི་དམ་འདི་ཡོངས་སུ་རྫོགས་པར་བགྱིད་པར་འགྱུར་ལགས་སམ། འོན་ཏེ་ཡོངས་སུ་གཏོང་བར་འགྱུར་ལགས་ ||| “Blessed One, will these children of noble lineage fulfill this commitment, or will they abandon it? Please tell me.”
བཀའ་སྩལ་པ། བྱམས་པ་རིགས་ཀྱི་བུ་འདི་དག་ནི་ཡི་དམ་འདི་ལུས་དང་སྲོག་གི་ཕྱིར་ཡང་སྤོང་བར་མི་འགྱུར་རོ། ། ||| “Maitreya, these children of noble lineage will never abandon their commitment, even at the cost of life and limb.”
དེ་ནས་བཅོམ་ལྡན་འདས་ལ་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པས་འདི་སྐད་ཅེས་གསོལ་ཏོ། ། ||| Then the bodhisattva great being Maitreya asked the Blessed One,
བཅོམ་ལྡན་འདས་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་ཆོས་དུ་དང་ལྡན་ན་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་དམ་པའི་ཆོས་རྣམ་པར་འཇིག་པའི་ཚེ་མ་སྣད་ཅིང་མ་རྨས་ལ་བདེ་བར་ཡོངས་སུ་ཐར་བར་འགྱུར་ལགས། ||| “Blessed One, during the final half-millennium, when the sacred Dharma is perishing, if an individual who belongs to the Bodhisattva Vehicle possesses certain qualities, will that person then be spared harm and injury, and readily attain liberation?”
དེ་སྐད་ཅེས་གསོལ་པ་དང་། བཅོམ་ལྡན་འདས་ཀྱིས་བྱང་ཆུབ་སེམས་དཔའ་སེམས་དཔའ་ཆེན་པོ་བྱམས་པ་ལ་འདི་སྐད་ཅེས་བཀའ་སྩལ་ཏོ། ། ||| The Blessed One responded to the question posed by the bodhisattva great being Maitreya in this way:
བྱམས་པ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་ཆོས་བཞི་དང་ལྡན་ན་ ||| “Maitreya, if an individual who belongs to the Bodhisattva Vehicle possesses four qualities, then
ལྔ་བརྒྱ་པ་ཐ་མ་ལ་དམ་པའི་ཆོས་རྣམ་པར་འཇིག་པའི་ཚེ་མ་སྣད་ཅིང་མ་རྨས་ལ་བདེ་བར་ཡོངས་སུ་ཐར་བར་འགྱུར་རོ། ། ||| during the final half-millennium, when the sacred Dharma is perishing, that person will be spared harm and injury, and will be liberated without difficulty.
བཞི་གང་ཞེ་ན། ||| What are the four?
བདག་གིས་འཁྲུལ་པ་ལ་སོ་སོར་རྟོག་པ་དང་། བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་གཞན་གྱི་ཉེས་པ་མི་གླེང་བ་དང་། མཛའ་བཤེས་ཀྱི་ཁྱིམ་དང་། སློངས་མོ་སྟེར་བའི་ཁྱིམ་ལ་མི་ལྟ་བ་དང་། ཡིད་དུ་མི་འོང་བའི་ཚིག་སྤོང་བ་སྟེ། ||| (1) Recognizing one’s own mistakes, (2) not discussing the faults of others who belong to the Bodhisattva Vehicle, (3) paying no attention to the households of friends and relatives and the households of patrons, and (4) abandoning unpleasant speech.
བྱམས་པ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་དམ་པའི་ཆོས་རྣམ་པར་འཇིག་པའི་ཚེ་མ་སྣད་ཅིང་མ་རྨས་ལ་བདེ་བར་ཡོངས་སུ་ཐར་བར་འགྱུར་རོ། ། ||| Maitreya, if an individual who belongs to the Bodhisattva Vehicle possesses those four qualities, then during the final half-millennium, when the sacred Dharma is perishing, that person will be spared harm and injury, and will be liberated without difficulty.
བྱམས་པ་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་ཆོས་བཞི་དང་ལྡན་ན་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་དམ་པའི་ཆོས་རྣམ་པར་འཇིག་པའི་ཚེ་མ་སྣད་ཅིང་མ་རྨས་ལ་བདེ་བར་ཡོངས་སུ་ཐར་བར་འགྱུར་ཏེ ||| “Moreover, Maitreya, if someone who belongs to the Bodhisattva Vehicle possesses another four qualities, then during the final half-millennium, when the sacred Dharma is perishing, that person will be spared harm and injury, and will be liberated without difficulty.
བཞི་གང་ཞེ་ན། ||| What are these other four?
ཐོས་པ་ཉུང་ངུའི་སེམས་ཅན་ཡོངས་སུ་སྤོང་བ་དང་། འཁོར་མི་བསྡུ་བ་དང་། བས་མཐའི་གནས་མལ་ལ་བསྟེན་པ་དང་། བདག་དུལ་བ་དང་། ཞི་བ་དང་། ཞི་གནས་ཀྱི་སྦྱོར་བ་ལ་བརྩོན་པ་སྟེ། ||| (1) Avoiding beings who are of little learning, (2) not collecting followers, (3) taking shelter in sparsely inhabited places, and (4) diligently training oneself to be disciplined and peaceful and to remain tranquil.
བྱམས་པ་བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་གང་ཟག་ཆོས་བཞི་པོ་དེ་དག་དང་ལྡན་ན་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་དམ་པའི་ཆོས་རྣམ་པར་འཇིག་པའི་ཚེ་མ་སྣད་ཅིང་མ་རྨས་ལ་བདེ་བར་ཡོངས་སུ་ཐར་བར་འགྱུར་རོ། ། ||| “Maitreya, if someone who belongs to the Bodhisattva Vehicle possesses these other four qualities, then during the final half-millennium, when the sacred Dharma is perishing, that person will be spared harm and injury, and will be liberated without difficulty.
བྱམས་པ་དེ་ལྟ་བས་ན། བྱང་ཆུབ་སེམས་དཔའི་ཐེག་པ་པའི་རིགས་ཀྱི་བུ་འམ་རིགས་ཀྱི་བུ་མོ་ལྔ་བརྒྱ་པ་ཐ་མ་ལ་དམ་པའི་ཆོས་རྣམ་པར་འཇིག་པའི་ཚེ་མ་སྣད་ཅིང་མ་རྨས་ལ་བདེ་བར་ཡོངས་སུ་ཐར་བར་འགྱུར་བར་འདོད་པ་དང་། ལས་ཀྱི་སྒྲིབ་པ་ཐམས་ཅད་ཟད་པར་བྱེད་པར་འདོད་པས་ ||| “Maitreya, because sons or daughters of noble lineage who belong to the Bodhisattva Vehicle will want to be spared harm and injury, be liberated without difficulty, and exhaust entirely their obscurations of karma during the final half-millennium when the sacred Dharma is perishing,
