༄༅༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཨ་ཛཱ་ཏ་ཤ་ཏྲུ་ཀཽ་ཀྲྀཏྟྱ་བི་ནོ་ད་ན་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་མ་སྐྱེས་དགྲའི་འགྱོད་པ་བསལ་བ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ||| The Noble Great Vehicle Sūtra Eliminating Ajātaśatru’s Remorse
དེ་ནི་སྐྱེས་བུ་དམ་པའི་འགྲོས་ཡིན་ནོ། ||| Rather, this is the way of sublime beings.
།དེ་ཅིའི་ཕྱིར་ཞེ་ན། ||| Why is this?
སྐྱེས་བུ་དམ་པ་དག་ནི་སྡིག་པའི་ལྟ་བ་དང་བྲལ་བས་ཡང་དག་པ་ལ་ཞུགས་པ་ཡིན་ནོ། ||| Because sublime beings are free from evil views, they are engaged in what is genuine.
།སྐྱེས་བུ་དམ་པ་དག་ནི་རྟག་པར་དྲང་བའི་རང་བཞིན་དང་ལྡན་པས་གཡོ་མེད་པ་ཡིན་ནོ། ||| Because sublime beings always have an honest character, they are not deceptive.
།སྐྱེས་བུ་དམ་པ་དག་ནི་བླ་མ་ལ་རིམ་གྲོ་སྐྱེས་པས་ང་རྒྱལ་བཅོམ་པ་ཡིན་ནོ། ||| Because sublime beings are respectful to their spiritual masters, they defeat pride.
།སྐྱེས་བུ་དམ་པ་དག་ནི་བསྟན་ན་འཐུན་པར་ལེན་པས་ཚིག་བཟང་བ་ཡིན་ནོ། ||| Because sublime beings teach in harmonious ways, their language is excellent.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ཡང་དག་པའི་འཚོ་བ་ལ་གནས་པས་ལས་ཀྱི་མཐའ་གྲགས་པ་ཡིན་ནོ། ||| Because sublime beings have a correct livelihood, their accomplishments are renowned.
།སྐྱེས་བུ་དམ་པ་དག་ནི་སྐྱོ་བ་དང་བྲལ་བས་འདོད་ཆགས་དང་བྲལ་བ་ཡིན་ནོ། ||| Because sublime beings are undiscouraged, they are free from attachment.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ཁོང་ཁྲོ་བ་དང་བྲལ་བས་ཞེ་སྡང་དང་བྲལ་བ་ཡིན་ནོ། ||| Because sublime beings are without anger, they are free from aggression.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ཞི་བ་རབ་ཏུ་ཞི་བ་ཉེ་བར་ཞི་བས་མུན་པ་མུན་ནག་དང་བྲལ་བ་ཡིན་ནོ། ||| Because sublime beings are peaceful, fully peaceful, and deeply peaceful, they are free from obscuring darkness.
།སྐྱེས་བུ་དམ་པ་དག་ནི་སྡུག་བསྔལ་བ་དང་དབུལ་པོ་ལ་སྙིང་རྗེ་བར་གྱུར་པས་འཇམ་པ་རྣམས་ཡིན་ནོ། ||| Because sublime beings are compassionate toward the suffering and the poor, they are gentle.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ལུས་དང་། ངག་དང་། ཡིད་ཀྱི་ལས་ཀྱི་མཐའ་ཡོངས་སུ་དག་པས་འཛེམ་པ་དང་བཅས་པ་ཡིན་ནོ། ||| Because sublime beings’ physical, verbal, and mental accomplishments are pure, they are cautious.
།སྐྱེས་བུ་དམ་པ་དག་ནི་དེ་དག་བྱ་བ་ལ་ཡང་དག་པར་ཞུགས་པས་ཇི་སྐད་སྨྲས་པ་བཞིན་དུ་བྱེད་པ་ཡིན་ནོ། ||| Because sublime beings engage genuinely in proper actions, they practice what they preach.
།སྐྱེས་བུ་དམ་པ་དག་ནི་རྟག་ཏུ་བརྟུལ་བ་བརྟན་པས་ལྷག་པའི་བསམ་པ་དང་ལྡན་པ་ཡིན་ནོ། ||| Because sublime beings are steadfast in their discipline, they are altruistic.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ལོག་པའི་ཆོས་དང་བྲལ་བས་བདེན་པ་ལ་གནས་པ་ཡིན་ནོ། ||| Because sublime beings are without mistaken doctrines, they are grounded in the truth.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ཆོས་ཀྱི་དགའ་བས་དགའ་ཞིང་མགུ་བས་ཆོས་འདོད་པ་ཡིན་ནོ། ||| Because sublime beings are pleased and delighted by the joy of the Dharma, they yearn for the Dharma.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ལུས་དང་སྲོག་གཏོང་བས་དམ་པའི་ཆོས་ཡོངས་སུ་འཛིན་པ་ཡིན་ནོ། ||| Because sublime beings are generous with their body and life, they uphold the sublime Dharma.
།སྐྱེས་བུ་དམ་པ་དག་ནི་སེམས་ཅན་ཐམས་ཅད་དང་འབྲེལ་བས་མི་གཏོང་བ་ཡིན་ནོ། ||| Because sublime beings are connected with all beings, they do not give up on them.
།སྐྱེས་བུ་དམ་པ་དག་ནི་དོན་དམ་པའི་རྗེས་སུ་འཇུག་པས་ཉེས་པ་མཐོང་བ་ཡིན་ནོ། ||| Because sublime beings follow ultimate truth, they behold faults.
།སྐྱེས་བུ་དམ་པ་དག་ནི་སྡིག་པའི་ཆོས་རྣམ་པར་སྤངས་པས་དགེ་བའི་ཆོས་ལ་ཞུགས་པ་ཡིན་ནོ། ||| Because sublime beings spurn nonvirtuous qualities, they are immersed in virtuous qualities.
།སྐྱེས་བུ་དམ་པ་དག་ནི་དབུལ་པོ་རྣམས་ཀྱི་གཏེར་ཡིན་ནོ། ||| Sublime beings are a treasure for the poor.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ནད་པ་རྣམས་ཀྱི་སྨན་པ་ཡིན་ནོ། ||| Sublime beings are medicine for the sick.
།སྐྱེས་བུ་དམ་པ་དག་ནི་འཇིགས་པ་རྣམས་ཀྱི་མགོན་ཡིན་ནོ། ||| Sublime beings are protectors for the fearful.
།སྐྱེས་བུ་དམ་པ་དག་ནི་དཔུང་གཉེན་མེད་པ་རྣམས་ཀྱི་སྐྱབས་ཡིན་ནོ། ||| Sublime beings are a refuge for the friendless.
།སྐྱེས་བུ་དམ་པ་དག་ནི་འཁོར་བའི་རྒྱ་མཚོར་ཞུགས་པ་རྣམས་ཀྱི་གནས་ཡིན་ནོ། ||| Sublime beings are an island for those lost in the ocean of saṃsāra.
།སྐྱེས་བུ་དམ་པ་དག་ནི་རྟེན་མེད་པ་རྣམས་ཀྱི་རྟེན་ཡིན་ནོ། ||| Sublime beings are a support for the unsupported.
།སྐྱེས་བུ་དམ་པ་དག་ནི་མུན་པ་མུན་ནག་ཏུ་ཞུགས་པ་རྣམས་ཀྱི་སྣང་བར་བྱེད་པ་ཡིན་ནོ། ||| Sublime beings are illumination for those lost in darkness.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ལམ་ངན་པར་ཞུགས་པ་རྣམས་ཀྱི་འདྲེན་པ་ཡིན་ནོ། ||| Sublime beings are guides for those who have set out on bad paths.
།སྐྱེས་བུ་དམ་པ་དག་ནི་ཆོས་སྨྲ་བ་རྣམས་ཀྱི་ཡོངས་སུ་འདྲེན་པ་ཡིན་ནོ། ||| Sublime beings are guides for those who preach the Dharma.
།སྐྱེས་བུ་དམ་པ་དག་ནི་བཟོད་པ་དང་དུལ་བའི་རྣལ་འབྱོར་དང་ལྡན་པས་ཐ་བའི་ཉེས་པ་དང་། གནོད་སེམས་དང་། གནོང་བ་འཆབ་པ་དང་། ཁྲོ་བའི་ཡོངས་སུ་གདུང་བ་ཐམས་ཅད་དང་བྲལ་བ་ཡིན་ཏེ། ||| Because sublime beings practice patience and discipline, they are free of the faults of anger and the torments of malice, hiding shame, and rage.
དེ་ལྟ་བས་ན་སྐྱེས་བུ་དམ་པ་དག་དེ་འདྲ་བའི་ཆོས་ལ་གནས་པས་ནི་ཡེ་ཤེས་ཆེན་པོ་དེ་རྟོགས་པར་ནུས་སོ། ། ||| Therefore, because sublime beings live by such principles, they are able to comprehend great wisdom.”
བྱང་ཆུབ་སེམས་དཔའ་ནམ་མཁའ་མཛོད་ཀྱིས་སྨྲས་པ། ནམ་མཁའ་དཔག་ཏུ་མེད་པ་བཞིན་དུ་བྱམས་པ་སྒོམ་པའི་རྣལ་འབྱོར་དང་ལྡན་པ། སྙིང་རྗེ་ཆེན་པོ་ལ་གནས་པ་རྒྱུན་མི་འཆད་པ། དབང་པོ་རྟག་ཏུ་དགའ་ཞིང་དགོད་པ། འདོད་པའི་དགའ་བ་ཐམས་ཅད་ལ་བཏང་སྙོམས་སུ་གཏོང་བ། སྦྱིན་པ་ནམ་མཁའ་དང་མཚུངས་པ། ཚུལ་ཁྲིམས་ནམ་མཁའ་དང་མཚུངས་པ། བཟོད་པ་ནམ་མཁའ་དང་མཚུངས་པ། བརྩོན་འགྲུས་ནམ་མཁའ་དང་མཚུངས་པ། བསམ་གཏན་ནམ་མཁའ་དང་མཚུངས་པ། ཤེས་རབ་ནམ་མཁའ་དང་མཚུངས་པས་ཐམས་ཅད་མཁྱེན་པ་རྟོགས་པར་ནུས་སོ། ||| The bodhisattva Gaganagañja said, “One can realize omniscience through the practice of cultivating love that is like boundless space and through unbroken abiding in great compassion, constantly joyful and delighted faculties, and relinquishing all sense pleasures in an equanimous manner, as well as through space-like generosity, space-like discipline, space-like patience, space-like diligence, space-like concentration, and space-like insight.”
།བྱང་ཆུབ་སེམས་དཔའ་སེམས་བསྐྱེད་མ་ཐག་ཏུ་ཆོས་ཀྱི་འཁོར་ལོས་སྒྱུར་བས་སྨྲས་པ། སེམས་བསྐྱེད་པ་གང་ལས་བདུད་སྡིག་ཅན་གྱིས་གླགས་རྙེད་པར་འགྱུར་བ་དང་། དེ་བཞིན་གཤེགས་པ་མཉེས་པར་མི་འགྱུར་བ་དང་། ལྷ་མི་དགའ་བར་འགྱུར་བ་དང་། བདག་གི་དགེ་བའི་ཕྱོགས་ཡོངས་སུ་འབྲི་བར་འགྱུར་བའི་སེམས་བསྐྱེད་པ་དེ་དག་ནི་བྱང་ཆུབ་སེམས་དཔས་མི་བསྐྱེད་པར་བྱའི། ||| The bodhisattva He Who Turned the Wheel of Dharma Immediately upon Developing the Mind of Awakening said, “Bodhisattvas should not develop attitudes that will give the evil Māra an opportunity, displease the thus-gone ones, bring the gods displeasure, and cause their own virtuous qualities to diminish.
སེམས་བསྐྱེད་པ་གང་ལས་བདུད་སྡིག་ཅན་གྱིས་གླགས་རྙེད་པར་མི་འགྱུར་བ་དང་། དེ་བཞིན་གཤེགས་པ་མཉེས་པར་འགྱུར་བ་དང་། ལྷ་དག་དགའ་བར་འགྱུར་བ་དང་། བདག་གི་དགེ་བའི་ཕྱོགས་ཡོངས་སུ་འབྲི་བར་མི་འགྱུར་བའི་སེམས་བསྐྱེད་པ་དེ་དག་ནི་བསྐྱེད་པར་བྱ་སྟེ། ||| Instead, bodhisattvas should develop attitudes that give the evil Māra no opportunity, please the thus-gone ones, bring the gods pleasure, and prevent their own virtuous qualities from diminishing.
དེ་དེ་ལྟར་ཞུགས་ན་སེམས་བསྐྱེད་མ་ཐག་ཏུ་ཆོས་ཀྱི་འཁོར་ལོ་སྐོར་བར་འགྱུར་རོ། ||| If one proceeds in this way, one will turn the wheel of Dharma immediately upon developing the mind of awakening.
