༄༅། །རྒྱ་གར་སྐད་དུ། ཨཱརྱ་ཙ་ཏུར་ད་ར་ཀ་ས་མཱ་དྷི་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་ཁྱེའུ་བཞིའི་ཏིང་ངེ་འཛིན་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། བམ་པོ་དང་པོ། ||| The Noble Mahāyāna Sūtra The Four Boys’ Absorption
ཤཱཀྱའི་བདག་པོའི་རྒྱལ་པོ་བསྐལ་པ་བྱེ་བ་གྲངས་མེད་པ་ནས་ཡང་དག་པར་བསྒྲུབས་པ། དགེ་བའི་རྩ་བ་ཤིན་ཏུ་ཡོངས་སུ་དག་པ་དང་ལྡན་པ་དེ་དེ་རིང་གྱད་རྣམས་དང་ཉེ་བ་ན་ཡོད་པ་ཤིང་སཱ་ལ་ཟུང་གི་དྲུང་དུ་ལེན་པ་མེད་པར་ཡོངས་སུ་མྱ་ངན་ལས་འདའ་བར་འགྱུར་ཏེ། ||| “Blessed Śākyamuni,” they cried, “king among lords of the Śākyas, who reached perfection countless millions of eons ago, whose roots of virtue are utterly pure, will today, in the country of the Mallas, before a pair of śāla trees, pass without grasping, into parinirvāṇa.
དེང་ནི་ལྷ་དང་བཅས་པའི་འཇིག་རྟེན་གྱི་མིག་ཟུམ་པར་འགྱུར་རོ་ཞེས་དེ་དག་ཀུ་ཤའི་གྲོང་ཁྱེར་ལོགས་སུ་མངོན་པར་ཕྱོགས་ཏེ། ||| Today, the eye of this world with its gods, shall close!”
རིངས་པ་རིངས་པར་བརྟད་ཅིང་དོང་བ་དག་གིས་རིའི་རྒྱལ་པོ་རི་རབ་ཀྱི་རྩེ་མོ་དེ་དག་ཀུན་ཏུ་རབ་ཏུ་བསྒུལ་ཅིང་ཀུན་དུ་རབ་ཏུ་བསྐྱོད་དེ་རིངས་པ་རིངས་པར་བརྟད་པ་དེ་དག་གིས་རིའི་རྒྱལ་པོ་རི་རབ་དང་། རྒྱ་མཚོ་ཆེན་པོ་ཡང་གཡོས་ཤིང་འཁྲུགས་པར་གྱུར་ཏེ་དེའི་ཕྱིར་རིའི་རྒྱལ་པོ་རི་རབ་ཀྱི་རྩེ་མོ་དེ་དག་རྒྱ་མཚོ་ཆེན་པོའི་ནང་དུ་ལྷུང་བར་གྱུར་ཏོ། ། ||| they cried, and they journeyed toward Kuśinagara, traveling with such haste that the peaks of Sumeru, the king of mountains, shook and trembled; traveling with such haste that Sumeru, the king of mountains, along with its oceans, quaked and roiled so violently that those at the summit of Sumeru, the king of mountains, fell into the ocean.
དེ་ནས་ཚེ་དང་ལྡན་པ་མ་འགགས་པ་རི་རབ་ཀྱི་སྤོ་ལ་འདུག་པས་དེའི་ཚེ་སྒྲ་སྐད་ཆེན་པོ་ཕྱུང་སྟེ་ཚིགས་སུ་བཅད་པ་འདི་དག་སྨྲས་སོ། །འཇིག་རྟེན་རྣམས་ཀྱི་དེད་དཔོན་གང་ཡིན་པ། །གང་གིས་འཇིག་རྟེན་བདེ་བ་སྩོལ་མཛད་ཅིང་། །སེམས་ཅན་རྣམས་ཀྱི་སྦྱིན་གནས་གང་ཡིན་པ། །ཐུབ་པ་དེ་ནི་དེ་རིང་མྱ་ངན་འདའ། ། ||| Then Venerable Aniruddha, still seated at the summit of Sumeru, let out a great cry and spoke these verses: “The leader of worlds, Who bestows joy on those worlds, Who is worthy of beings’ offerings, The sage, will pass into nirvāṇa today.
ཡེ་ཤེས་འབྱུང་གནས་རབ་རིབ་མུན་བཅོམ་ཞིང་། །འཇིག་རྟེན་སྲོག་ཆགས་རྣམས་ཀྱི་ཕ་དང་མ། །དེ་བཞིན་སྐྱབས་དང་དཔུང་གཉེན་གང་ཡིན་པ། །ཐུབ་པ་དེ་ནི་དེ་རིང་མྱ་ངན་འདའ། ། ||| “The source of wisdom, conqueror of darkness and gloom, Father and mother to all living creatures, Our refuge and our last resort, The sage, will pass into nirvāṇa today.
ཟུག་རྔུ་འབྱིན་མཛད་སྡིག་མེད་ཉོན་མོངས་མེད། །གསོ་མཛད་དམ་པ་སྨན་པ་ཆེན་པོ་སྟེ། །མི་དགེའི་ཟུག་རྔུ་འབྱིན་མཆོག་གང་ཡིན་པ། །ཐུབ་པ་དེ་ནི་དེ་རིང་མྱ་ངན་འདའ། ། ||| “The remover of pain, free from wrongdoing and affliction, The sublime sustainer, the great physician Who removes the thorns of nonvirtuous behavior, The sage, will pass into nirvāṇa today.
གང་ཞིག་སེམས་ཅན་ཆགས་དང་སྡང་བས་བཅོམ། །རྨོངས་པས་ཟིལ་ནོན་རྒ་དང་འཆི་ལ་ཆགས། །འགགས་འགལ་ལམ་ལོག་ཞུགས་པ་གཟིགས་ནས་ནི། །འཇིག་རྟེན་ཐུགས་རྗེ་བསྐྱེད་ནས་ཆོས་སྟོན་ཅིང་། །གང་ཞིག་བདུད་སྡེ་རབ་གཏུམ་དྲག་པོའི་གཟུགས། ། ||| “Seeing beings overpowered by attachment and aversion, Crushed by ignorance, caught up in old age and death, Stuck, and following mistaken paths, He developed compassion for the world and taught the Dharma.
སྣ་ཚོགས་གཟུགས་ཅན་མཚོན་སྲ་རྡོ་རྗེ་ཐོགས། །ཁ་ཅིག་འཇིགས་པ་དུ་མ་རྣམ་སྟོན་ཅིང་། །གཞན་དག་སྣ་ཚོགས་བྲག་ཐོགས་འཁོད་གྱུར་པ། །དེ་འདྲར་རྣམ་མང་དྲག་པོའི་གཟུགས་ཅན་གྱི། །སྡེ་དག་གཟིགས་ཀྱང་མི་གཡོ་མི་འགུལ་བ། ། ||| “He to whom appeared the hordes of Māra, fierce in form, In various guises and brandishing adamantine weapons, Some flaunting many frightful features, Others wielding rocks and boulders— “Though beholding such diverse terrifying forms, He remained unmoved, unperturbed.
བདུད་ཀྱི་སྡེ་བཅོམ་འཇིག་རྟེན་མགོན་པོ་དེ། །སཱ་ལའི་ཚལ་དུ་དེ་རིང་མྱ་ངན་འདའ། ། ||| The protector of the world, who defeated those hordes of Māra, Will pass today into nirvāṇa, in the grove of śāla trees.
གང་གིས་ཕྱག་གཡས་རབ་ཏུ་བརྐྱང་མཛད་དེ། །རི་རབ་རྩེ་འདི་གྲོང་བཅས་གཡོ་མཛད་ཅིང་། །ཆོས་ཀུན་མངའ་བརྙེས་རྣམ་འདྲེན་དྲང་སྲོང་དེ། །སཱ་ལའི་ཚལ་དུ་མྱ་ངན་འདའ་བར་འགྱུར། ། ||| “He who by merely extending his right arm Can make this summit of Sumeru and its celestial cities tremble, The guide and seer who has mastered all phenomena, Will pass today into nirvāṇa, in the grove of śāla trees.
གང་གིས་བརྡབས་པ་ཕྱོགས་བཅུར་བསམ་ཡས་པའི། །སྒྲ་བསྒྲགས་མཁྱེན་པའི་ཕ་རོལ་བྱོན་གྱུར་པ། །སྟོན་པ་སེམས་ཅན་རྣམས་ཀྱི་སྙིང་པོ་དེ། །སཱ་ལའི་ཚལ་དུ་དེ་རིང་མྱ་ངན་འདའ། ། ||| “He whose words resound boundlessly in the ten directions, Who has crossed to the far shore of knowledge, The teacher, the heart of every being, Will pass today into nirvāṇa, in the grove of śāla trees.
གང་གིས་སྟོབས་ལྡན་སྡེར་བཅས་སྐྲག་མཛད་ཅིང་། །མི་གཡོ་མྱ་ངན་མེད་པ་འདུས་མ་བྱས་པ་བརྙེས། ། ||| “He who strikes fear in mighty hordes Has discovered the unshakeable, the absence of sorrow, the uncompounded.
སྲོག་ཆགས་རྣམས་ལ་ཕན་ཕྱིར་འཁོར་ལོ་བསྐོར་མཛད་ཅིང་། །ཐུབ་པས་བདེན་པ་བཞི་དག་རབ་ཏུ་བསྟན། ། ||| The sage, setting the wheel in motion for the benefit of living beings, Clearly set forth the four truths.
གང་ཞིག་ཆོ་འཕྲུལ་བསམ་གྱིས་མི་ཁྱབ་སྟེ། །སྐྲ་རྩེའི་ཁྱོན་ལ་ཞིང་རྣམས་བཀོད་མཛད་ཅིང་། །སྐུ་ལ་སྐུ་ཡི་འདུ་ཤེས་མི་མངའ་བ། །མགོན་པོ་དེ་ནི་དེ་རིང་མྱ་ངན་འདའ། ། ||| “He whose miraculous powers are inconceivable, Who can lay out many realms on the tip of a hair, Whose body is beyond any notion of physical form, The protector, will pass into nirvāṇa today.
སྟོན་པ་གྱད་ཀྱི་ཡུལ་དུ་གཤེགས་ནས་ནི། ། ||| “The teacher has gone to the Malla kingdom.
ཉེ་ན་ཡོད་པའི་ཚལ་ཁྲོད་ཞུགས་གྱུར་ཏེ། །བསམ་གཏན་ཞི་ལ་བདག་ཉིད་མཉམ་བཞག་ནས། ། ||| He has taken up residence in a nearby grove And immersed himself in the calm of concentration.
ཤིང་ཟད་མེ་ལྟར་མྱ་ངན་འདའ་བར་འགྱུར། ། ||| He will pass into nirvāṇa, like a fire going out when the wood has been used up.”
ཚེ་དང་ལྡན་པ་མ་འགགས་པས་ཚིགས་སུ་བཅད་པ་དེ་དག་སྨྲས་མ་ཐག་ཏུ་དེ་ནས་དེའི་ཚེ་སངས་རྒྱས་ཀྱི་མཐུས་འཛམ་བུའི་གླིང་ན་དགེ་སློང་དང་། དགེ་སློང་མ་དང་། དགེ་བསྙེན་དང་། དགེ་བསྙེན་མ་ཇི་སྙེད་པ་རྣམས་ལས་གནས་བརྟན་འོད་སྲུང་ཆེན་པོ་འཁོར་དང་བཅས་པ་མ་གཏོགས་པ་དང་། གཞན་ཡང་དགེ་སློང་ཉིས་བརྒྱ་རྩ་བཞི་མ་གཏོགས་པ་དེ་ལས་གཞན་པའི་འཁོར་བཞི་པོ་བཅོམ་ལྡན་འདས་ཀྱི་ཞབས་ལ་ཕྱག་འཚལ་བ་རྣམས་བཅོམ་ལྡན་འདས་ལ་བལྟ་བའི་ཐ་མར་གྱུར་པ་ནི་འདི་ཡིན་ནོ་ཞེས་གྱད་རྣམས་ཀྱི་ཉེ་བ་ན་ཡོད་པ་ཤིང་སཱ་ལ་ཟུང་གི་ཚལ་ག་ལ་བ་དེར་དོང་ངོ་། །ཚེ་དང་ལྡན་པ་མ་འགགས་པས་ཚིགས་སུ་བཅད་པ་དེ་དག་སྨྲས་མ་ཐག་ཏུ་དེ་ནས་དེའི་ཚེ་གཞན་ཡང་སྟོང་གསུམ་གྱི་སྟོང་ཆེན་པོའི་འཇིག་རྟེན་གྱི་ཁམས་ན་མངོན་པར་ཤེས་པ་མངོན་པར་ཤེས་པའི་ལྷ་དང་། ལྷའི་བུ་མོ་དང་། ཀླུ་དང་། ||| At the very moment Venerable Aniruddha finished speaking these verses, through the Buddha’s power, all the monks and nuns and male and female lay devotees in the world, the four communities who revered the Blessed One—except for Mahākāśyapa and his entourage, and 224 monks—exclaimed, “This is our last chance to see the Blessed One!”
ཀླུ་རྒན་ཕོ་དང་། ཀླུའི་བུ་མོ་དང་། གནོད་སྦྱིན་དང་། གནོད་སྦྱིན་གཞོན་ནུ་དང་། གནོད་སྦྱིན་གྱི་བུ་མོ་དང་། ཤ་ཟ་དང་། ཤ་ཟ་རྒན་པོ་དང་། ཤ་ཟ་གཞོན་ནུ་དང་། ཤ་ཟ་གཞོན་ནུ་མ་ཇི་སྙེད་པ་རྣམས་དང་། འགྲོ་བ་རྣམས་ལྷ་མ་ཡིན་དང་། ||| and departed for that grove of śāla trees in the country of the Mallas.
ནམ་མཁའ་ལྡིང་དང་། མིའམ་ཅི་དང་། ལྟོ་འཕྱེ་ཆེན་པོ་དང་། མི་དང་མི་མ་ཡིན་པ་དང་། སྐར་མ་ཇི་སྙེད་པ་དེ་དག་ཐམས་ཅད་མིག་མཆི་མས་གང་སྟེ་མྱ་ངན་བྱེད་ཅིང་སྨྲེ་སྔགས་འདོན་ལ་ངུད་མོས་འདེབས་ཤིང་ཡང་དང་ཡང་དུ་སྨྲེ་སྟེ། ||| Also at the very moment Venerable Aniruddha finished speaking these verses, all beings throughout this great trichiliocosm, the prescient gods and goddesses; the nāgas, elderly nāgas, and nāginīs; the yakṣas, the yakṣīs, and their young; the piśācas, old piśācas, and young piśācas, male and female; beings as numerous as the stars—asuras, garuḍas, kinnaras, mahoragas, humans, and nonhumans—all with their eyes filled with tears, in grief, sobbed and lamented, crying out over and over again.
