འཕགས་པ་དཀོན་མཆོག་བརྩེགས་པ་ཆེན་པོའི་ཆོས་ཀྱི་རྣམ་གྲངས་ལེའུ་སྟོང་ཕྲག་བརྒྱ་པ་ལས་ལེའུ་བཞི་པ་སྟེ། རྨི་ལམ་བསྟན་པ། བམ་པོ་དང་པོ། རྒྱ་གར་སྐད་དུ། ཨཱརྱ་སྭཔྣ་ནིར་དེ་ཤ་ནཱ་མ་མ་ཧཱ་ཡཱ་ན་སཱུ་ཏྲ། བོད་སྐད་དུ།
འཕགས་པ་རྨི་ལམ་བསྟན་པ་ཞེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། ། ||| The Noble Mahāyāna Sūtra The Teaching on Dreams
དེས་རབ་ཏུ་ཞི་བ་ལ་མངོན་པར་དགའ་བར་བྱའོ། ། ||| They should take joy in tranquility.
དེས་ན་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་འགྱུར་ཏེ། ||| They will find release in awakening through it.
བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ལས་ཀྱི་སྒྲིབ་པ་ཆུང་བ་ཡིན་ནོ། ། ||| Such bodhisattvas have few karmic obscurations.
གང་གིས་གདན་ལེགས་པར་མ་བྱས་པ་མཐོང་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If those bodhisattvas see a seat that is not well made, consider those bodhisattvas to be on the first bhūmi.
གང་གིས་གདན་ལེགས་པར་བྱས་པ་མཐོང་ན། བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they see a seat that is well made, consider those bodhisattvas to be on the second bhūmi.
གང་གིས་གདན་བྱི་དོར་བྱས་པ་མཐོང་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གསུམ་པར་བལྟའོ། ། ||| If they see a seat that has been cleaned, consider those bodhisattvas to be on the third bhūmi.
གང་གིས་གདན་ཁྲ་བོ་མཐོང་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བཞི་པར་བལྟའོ། ། ||| If they see a multicolored seat, consider those bodhisattvas to be on the fourth bhūmi.
གང་གིས་གདན་བཤམས་པ་མཐོང་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་ལྔ་པར་བལྟའོ། ། ||| If they see an arranged seat, consider those bodhisattvas to be on the fifth bhūmi.
གང་གིས་གདན་ལེགས་པར་བཤམས་པ་མཐོང་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དྲུག་པར་བལྟ་སྟེ། ||| If they see a seat that has been well arranged, consider those bodhisattvas to be on the sixth bhūmi.
བདུད་ཀྱི་ལས་ཀྱང་རྟོགས་པར་བྱའོ། ། ||| These are the signs, unless they are the activity of Māra.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་དེ་བཞིན་གཤེགས་པ་ལ་ཞལ་ཟས་འབུལ་བར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བདུན་པོ་དག་ཏུ་བལྟའོ། ། ||| 38. “Vajrapramardin, if in a dream bodhisattvas perceive themselves offering food to the Tathāgata, consider those bodhisattvas to be on one of the first seven bhūmis.
གལ་ཏེ་དེས་བརྩོན་འགྲུས་བྱས་ན་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་ཡང་འགྱུར་ཏེ། བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ལས་ཀྱི་སྒྲིབ་པ་ཆུང་བ་ཡིན་ནོ། ། ||| If they sustain their diligence, they will find release in awakening, but such bodhisattvas have minor karmic obscurations.
གང་དེ་བཞིན་གཤེགས་པ་གྲོང་དུ་གཤེགས་ཤིང་བཞེངས་པ་ལ་བསོད་སྙོམས་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If they offer alms to the Tathāgata after he has arrived in or departed a city, consider those bodhisattvas to be on the first bhūmi.
གང་དེ་བཞིན་གཤེགས་པ་གྲོང་ན་བཞུགས་པ་ལ་བསོད་སྙོམས་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they offer alms to the Tathāgata while he resides in a city, consider those bodhisattvas to be on the second bhūmi.
གང་དེ་བཞིན་གཤེགས་པ་སྒོར་གཤེགས་པ་ལ་བསོད་སྙོམས་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གསུམ་པར་བལྟའོ། ། ||| If they offer alms to the Tathāgata when he reaches a door, consider those bodhisattvas to be on the third bhūmi.
གང་དེ་བཞིན་གཤེགས་པ་སྲང་དུ་གཤེགས་པ་ལ་བསོད་སྙོམས་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བཞི་པར་བལྟའོ། ། ||| If they offer the Tathāgata alms when he is walking the streets, consider those bodhisattvas to be on the fourth bhūmi.
གང་དེ་བཞིན་གཤེགས་པ་གྲོང་ཁྱེར་གྱི་སྒོར་གཤེགས་པ་ལ་བསོད་སྙོམས་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་ལྔ་པར་བལྟའོ། ། ||| If they offer alms to the Tathāgata when he has reached the city gates, consider those bodhisattvas to be on the fifth bhūmi.
གང་དེ་བཞིན་གཤེགས་པ་དགོན་པ་ན་བཞུགས་པ་ལ་བསོད་སྙོམས་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དྲུག་པར་བལྟའོ། ། ||| If they offer alms to the Tathāgata while he is residing in the wilderness, consider those bodhisattvas to be on the sixth bhūmi.
གང་དེ་བཞིན་གཤེགས་པ་གཙུག་ལག་ཁང་དུ་གཤེགས་པ་ལ་བསོད་སྙོམས་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བདུན་པར་བལྟའོ། ། ||| If they offer alms to the Tathāgata when he has reached a monastery, consider those bodhisattvas to be on the seventh bhūmi. 39.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་འབུལ་བར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་བརྒྱད་པོ་དག་ཏུ་བལྟའོ། ། ||| “Vajrapramardin, if in a dream bodhisattvas perceive themselves offering clothes to the Tathāgata, consider those bodhisattvas to be on one of the first eight bhūmis.
དེས་ནི་མཚན་མ་མེད་པའི་ཏིང་ངེ་འཛིན་ལ་བརྩོན་པར་བྱ་སྟེ། དེས་ན་བྱང་ཆུབ་ཏུ་ངེས་པར་འབྱུང་བར་འགྱུར་རོ། ། ||| Such bodhisattvas should endeavor in the samādhi of signlessness, and thereby find release in awakening.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་གུས་པར་བྱས་ཏེ་ན་བཟའ་འབུལ་བར་བྱེད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If they respectfully offer clothes to the Tathāgata, consider those bodhisattvas to be on the first bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་དཀར་པོ་འབུལ་བར་བྱེད་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they offer the Tathāgata white clothes, consider those bodhisattvas to be on the second bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་དམར་པོ་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གསུམ་པར་བལྟའོ། ། ||| If they offer the Tathāgata red clothes, consider those bodhisattvas to be on the third bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་ཁྲ་བོ་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བཞི་པར་བལྟའོ། ། ||| If they offer the Tathāgata multicolored clothes, consider those bodhisattvas to be on the fourth bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་གསེར་གྱི་ཁ་དོག་ལྟ་བུ་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་ལྔ་པར་བལྟའོ། ། ||| If they offer the Tathāgata clothes of a golden color, consider those bodhisattvas to be on the fifth bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་རིན་པོ་ཆེས་སྤྲས་པ་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དྲུག་པར་བལྟའོ། ། ||| If they offer the Tathāgata clothes decorated with jewels, consider those bodhisattvas to be on the sixth bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་ཚོན་གྱིས་བྲིས་པ་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བདུན་པར་བལྟའོ། ། ||| If they offer the Tathāgata clothes with colored patterns, consider those bodhisattvas to be on the seventh bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་ན་བཟའ་འོད་ཆགས་པ་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་བརྒྱད་པར་བལྟའོ། ། ||| If they offer the Tathāgata radiant clothes, consider those bodhisattvas to be on the eighth bhūmi.
རྡོ་རྗེས་རབ་འཇོམས་གཞན་ཡང་བྱང་ཆུབ་སེམས་དཔའ་གང་གིས་རྨི་ལམ་ན་བདག་དེ་བཞིན་གཤེགས་པ་ལ་མེ་ཏོག་དག་འབུལ་བར་ཀུན་ཏུ་ཤེས་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དྲུག་པོ་དག་ལས་ས་གང་ཡང་རུང་བར་བལྟ་སྟེ། ||| 40. “Vajrapramardin, if in a dream bodhisattvas perceive themselves offering flowers to the Tathāgata, consider those bodhisattvas to be on one of the first six bhūmis.
གང་ཟག་དེ་ནི་ལས་ཀྱི་སྒྲིབ་པ་ཆེ་ཞིང་ལུང་མནོད་པ་ལ་བརྩོན་ཡང་ཚེགས་ཆེན་པོས་སྣང་བར་འགྱུར་རོ། ། ||| Such individuals have major karmic obscurations, and though they will make an effort to receive a prediction, it will appear only through much toil.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་མེ་ཏོག་རྙིས་པ་དག་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་དང་པོ་པར་བལྟའོ། ། ||| “If such bodhisattvas offer the Tathāgata withered flowers, consider those bodhisattvas to be on the first bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་མེ་ཏོག་སར་པ་དག་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གཉིས་པར་བལྟའོ། ། ||| If they offer the Tathāgata fresh flowers, consider those bodhisattvas to be on the second bhūmi.
གལ་ཏེ་དེ་བཞིན་གཤེགས་པ་ལ་མེ་ཏོག་ཁ་དོག་སྣ་ཚོགས་དག་འབུལ་ན་བྱང་ཆུབ་སེམས་དཔའ་དེ་ནི་ས་གསུམ་པར་བལྟའོ། ། ||| If they offer the Tathāgata flowers of various colors, consider those bodhisattvas to be on the third bhūmi.
